id,type,question,options,correctAnswer,explanation
22,single_choice,"What is the fundamental attribution error?","When you believe your ideas are normal and that the majority of people agree with you.|When you incorrectly assume a cause and effect relationship for two correlated variables.|When you believe your chances of experiencing something negative are lower and your chances of experiencing something positive are higher than others.|When you say your bad behavior is caused by the situation, but when other people display the same bad behavior, it is caused by a personality trait.","3","'Fundamental attribution error' (Lỗi quy gán cơ bản) là khuynh hướng tâm lý phổ biến: khi ta làm sai, ta đổ lỗi cho hoàn cảnh ('caused by the situation'); nhưng khi người khác làm sai hành vi y hệt, ta lại cho rằng đó là do bản chất/tính cách tồi tệ của họ ('caused by a personality trait')."
23,multiple_choice,"Which of the following are actions that can help combat implicit bias? (Select three.)","Obtaining your information from the same one or two media sources that your family and friends access.|Cultivating awareness of your own biases.|Exposing yourself to ""counter-stereotypical"" examples.|Interacting with diverse groups of people.|Surrounding yourself with others who have similar experiences.","1|2|3","Để chống lại thiên kiến ngầm ('implicit bias'), các phương pháp hiệu quả bao gồm: Tự nhận thức về thiên kiến của chính mình (Cultivating awareness), chủ động tiếp xúc với các ví dụ đi ngược lại định kiến thông thường ('counter-stereotypical' examples), và tương tác với các nhóm người đa dạng (diverse groups)."
24,single_choice,"When conducting an opinion poll, which of the following biases do you need to guard against the most when collecting your data?","Misclassification bias|Correlation bias|Sampling bias|Modeling bias","2","Khi thực hiện thăm dò ý kiến (opinion poll), rủi ro lớn nhất cần đề phòng là 'Sampling bias' (Thiên kiến lấy mẫu). Điều này xảy ra khi mẫu người được chọn để khảo sát không đại diện chính xác hoặc công bằng cho toàn bộ quần thể mà bạn muốn phân tích."
25,single_choice,"Which of the following is an example of a cognitive bias?","Misclassification bias|Modeling bias|Anchoring bias|Correlation bias","2","'Cognitive bias' (Thiên kiến nhận thức) là các lỗi hệ thống trong tư duy của con người. 'Anchoring bias' (Thiên kiến mỏ neo - xu hướng quá phụ thuộc vào mẩu thông tin đầu tiên nhận được khi đưa ra quyết định) là một ví dụ tâm lý học kinh điển của thiên kiến nhận thức."

26,single_choice,"Are criminal justice risk assessments race-neutral?","Yes, technology in itself is not racist.|No, the data is biased as it reflects historical bias.|Yes, algorithms replace human judgement and they are unbiased.|No, it is designed with intention to be unfair.","1","Dữ liệu huấn luyện thường chứa đựng 'historical bias' (thiên kiến lịch sử). Do đó, các công cụ đánh giá rủi ro tư pháp hình sự không hề trung lập về chủng tộc."
27,single_choice,"Which type of bias causes people to trust an automated decision-making system (ADS) over a human's decision?","Automation bias|Implicit bias|Confirmation bias|Complacency bias","0","'Automation bias' (Thiên kiến tự động hóa) là xu hướng con người quá tin tưởng vào quyết định của máy móc (ADS) hơn là phán đoán của chính con người."
28,multiple_choice,"How can confirmation bias impact us socially? (Select two.)","It can lead to groupthink, which can in turn halt forward progress.|It can lead to a diverse set of friends.|It can prevent us from being social with other people.|It can impede socio-political cooperation.","0|3","'Confirmation bias' (Thiên kiến xác nhận) khiến con người chỉ tìm kiếm thông tin củng cố niềm tin sẵn có. Điều này dẫn đến 'groupthink' (tư duy bầy đàn) và cản trở hợp tác chính trị - xã hội."
29,single_choice,"Which of the following describes an illusory-correlation bias?","When you correlate a variable with a confounding variable.|When you incorrectly assume a cause and effect relationship because two variables are correlated.|When you incorrectly assume a correlation because there is an illusory confounding variable.|When you correlate variables that do not exist in your data set.","1","'Illusory-correlation bias' (Thiên kiến tương quan ảo) là sai lầm khi cho rằng có mối quan hệ nhân quả (cause and effect) giữa hai biến chỉ vì chúng có vẻ tương quan với nhau."
30,single_choice,"Which of the following is one explanation for why cognitive biases exist?","We use them to help remember things.|We receive too much information and are overloaded.|They are taught to us in school.|They help us think logically instead of emotionally.","1","Thiên kiến nhận thức (cognitive biases) tồn tại như một cơ chế phòng vệ của não bộ khi bị quá tải thông tin ('overloaded'), giúp đưa ra quyết định nhanh chóng."
31,single_choice,"Which of the following is a formative ethics theory that states that maximizing happiness is the primary standard for determining what is right or wrong?","Utilitarianism|Deontology|Virtue ethics|Categorical imperative","0","'Utilitarianism' (Chủ nghĩa vị lợi) là học thuyết đạo đức cho rằng hành động đúng là hành động tối đa hóa hạnh phúc ('maximizing happiness') cho số đông."
32,multiple_choice,"Which of the following statements are promoted by the categorical imperative? (Select three.)","You have a moral duty to choose your actions based on their potential outcomes.|Act in such a way that your actions may become a universal law.|Each person must use reason to will moral laws.|Don't treat people as a means to an end; treat them always as an end.","1|2|3","'Categorical imperative' (Mệnh lệnh tuyệt đối của Kant) yêu cầu: hành động theo quy luật phổ quát, dùng lý trí, và luôn coi con người là mục đích tự thân ('an end'), không phải công cụ ('a means to an end')."
33,single_choice,"Which of the following statements accurately describes the philosophical concept of predeterminism?","All events, past, present, and future, are determined in advance.|All future events are determined by preceding events, as in a chain, but human beings may still be able to interfere with this chain of events.|All events are predestined to happen by a supernatural force.|Human beings are able to make choices whose outcomes are not already determined.","0","'Predeterminism' (Thuyết tiền định) cho rằng mọi sự kiện trong quá khứ, hiện tại và tương lai đều đã được định đoạt từ trước ('determined in advance')."
34,single_choice,"How do norms differ from morals?","Morals involve value judgments; norms do not.|Norms form the basis for morals.|Norms are universal to all cultures; morals are not.|Morals are collective; norms are more personal.","0","Đạo đức ('morals') liên quan đến các phán xét giá trị đúng/sai, trong khi chuẩn mực ('norms') chỉ là các quy tắc cư xử thông thường trong xã hội mà không nhất thiết có tính phán xét."
35,multiple_choice,"Which of the following are consequences of saying that someone or something has moral agency? (Select two.)","The moral agent follows a deontological code of ethics.|The moral agent is capable of determining right and wrong.|The moral agent can be held responsible for their actions.|The moral agent acts in a morally correct manner.","1|2","'Moral agency' (Tác nhân đạo đức) chỉ những thực thể có khả năng phân biệt đúng sai ('determining right and wrong') và phải chịu trách nhiệm cho hành động của mình ('held responsible')."
36,single_choice,"Why is deciding how to act using moral reasoning not always a feasible goal for human beings?","Human decision making is often influenced by emotion and not logic.|Most people are not educated on normative ethical theories and therefore cannot perform true moral reasoning.|Moral reasoning has few tangible benefits for most people.|Moral reasoning is too complicated to apply to a real-world situation.","0","Con người thường bị chi phối bởi cảm xúc ('influenced by emotion') thay vì logic thuần túy, do đó việc luôn áp dụng lý luận đạo đức là không khả thi."
37,multiple_choice,"Which of the following statements are true regarding the purpose of moral psychology? (Select two.)","Moral psychology seeks to understand why people act morally or immorally.|Moral psychology seeks to understand the nature of what it means to be moral.|Moral psychology seeks to understand how the human mind develops morality.|Moral psychology seeks to understand what the best way to act morally is.","0|2","Tâm lý học đạo đức ('Moral psychology') nghiên cứu lý do tại sao con người hành động đạo đức hay vô đạo đức, và cách tâm trí phát triển nhận thức này."
38,single_choice,"Which of the following is an example of applied ethics?","Moral relativism|Pluralism|Virtue ethics|Professional ethics","3","Đạo đức học ứng dụng ('Applied ethics') là việc đưa các lý thuyết triết học vào giải quyết các vấn đề thực tiễn, ví dụ như Đạo đức nghề nghiệp ('Professional ethics')."
39,single_choice,"Your organization has developed an AI system that recommends treatments for hospital patients. Some questions have been raised about the ethics of how these treatments are determined. What applied ethics domain do these concerns fall under?","Environmental ethics|Engineering ethics|Business ethics|Bioethics","3","Trong y tế và bệnh viện, các vấn đề đạo đức liên quan đến chẩn đoán/điều trị bệnh nhân thuộc về lĩnh vực Đạo đức sinh học ('Bioethics')."
40,multiple_choice,"What does it mean to say that human rights are inalienable? (Select two.)","Inalienable rights are inherent in all human beings.|Inalienable rights cannot be taken away except in extreme circumstances.|Inalienable rights are derived from tradition.|Inalienable rights are conditional.","0|1","Quyền bất khả xâm phạm ('Inalienable rights') là những quyền vốn có ('inherent') của con người từ khi sinh ra và không thể bị tước đoạt ('cannot be taken away')."
41,single_choice,"What does ""ethics by design"" mean? 1 / 1 point","A reference to the framework set forth by IEEE's Ethically Aligned Design.|A creative design approach as the focus for ethics.|An approach in which ethics is considered from the initial design stage.|A reference to one of the tenets of engineering activism.","2","'Ethics by design' (Đạo đức từ trong thiết kế) là phương pháp tiếp cận trong đó các yếu tố đạo đức được cân nhắc ngay từ giai đoạn thiết kế ban đầu ('initial design stage')."
42,single_choice,"Which of the following describes why explainability is important? 1 / 1 point","It provides interpretations of a system's actions.|It enables you to explain a system for shareholder purposes.|It is necessary so that internal stakeholders can understand how a system works.|It provides accountability and trust.","3","Tính có thể giải thích ('Explainability') rất quan trọng vì nó tạo ra trách nhiệm giải trình ('accountability') và xây dựng niềm tin ('trust') với người dùng."
43,single_choice,"Which of the following describes personhood? 1 / 1 point","Personhood is an individual's right to freedom.|Personhood is often used to dictate how something is treated.|Personhood is a concept that applies to narrow AI.|Personhood is the legal protection provided to AI systems.","1","'Personhood' (Tư cách nhân vị) là khái niệm pháp lý/đạo đức quyết định cách một thực thể được đối xử và bảo vệ ('dictate how something is treated')."
44,multiple_choice,"Which of the following describe how adopting ethical practices can be a strategic differentiator? (Select three.) 1 / 1 point","It will build customer trust.|It will encourage applicants to apply for your company.|It will ensure you comply with regulations.|It will reduce your business obligations toward customers and business partners.|It will support the development of strategic partnerships.","0|1|4","Áp dụng thực hành đạo đức giúp tạo lợi thế chiến lược: xây dựng niềm tin khách hàng ('build customer trust'), thu hút ứng viên ('encourage applicants') và hỗ trợ đối tác chiến lược."
45,single_choice,"What is the difference between beneficence and non-maleficence? 1 / 1 point","Beneficence refers to ""do only good"" and non-maleficence refers to ""do no harm.""|Non-maleficence refers only to malevolent artificial general intelligence (AGI), while beneficence can refer to any ""good"" emerging technology.|Beneficence is a less important goal for the field of AI than non-maleficence.|Beneficence and non-maleficence are quite similar and often interchangeable.","0","'Beneficence' nghĩa là hành thiện/làm điều tốt ('do only good'), trong khi 'non-maleficence' nghĩa là không làm hại ('do no harm')."
46,multiple_choice,"Which of the following are valid concerns regarding electronic personalities? (Select two.) 1 / 1 point","That they would create unfair advantages, as not everyone has access to the same rights.|That individuals would start applying for electronic personalities.|That they will make it more difficult to access information.|That they would absolve manufacturers of liability.","0|3","Việc cấp tư cách pháp nhân điện tử ('electronic personalities') cho AI gây lo ngại tạo ra lợi thế bất công ('unfair advantages') và giúp nhà sản xuất trốn tránh trách nhiệm pháp lý ('absolve liability')."
47,multiple_choice,"Which of the following are ways to participate in engineering activism? (Select two.) 1 / 1 point","Follow a code of ethics.|Perform all tasks required of you.|Engage with the public.|Follow ethics by design.","0|2","Chủ nghĩa hành động trong kỹ thuật ('Engineering activism') đòi hỏi kỹ sư tuân thủ quy tắc đạo đức và chủ động tương tác với công chúng ('Engage with the public')."
48,single_choice,"How can AI uphold justice? 1 / 1 point","The more AI-based products being used in the justice system, the more justice can be upheld.|AI systems can be designed from the start to help promote fairness and minimize bias.|AI systems can replace human judges, who are often biased.|AI can automate many of the clerical tasks involved in the justice system.","1","AI có thể bảo vệ công lý nếu nó được thiết kế ngay từ đầu để thúc đẩy sự công bằng ('promote fairness') và giảm thiểu thiên kiến ('minimize bias')."
49,multiple_choice,"Which of the following are examples of how AI can limit human autonomy? (Select two.) 1 / 1 point","Weapon systems can limit human autonomy as humans may not have decision-making capability or understand the decision making.|AI systems might impact certain vulnerable groups such as the elderly and children differently than the rest of the population, which could limit those groups' autonomy.|AI systems can assist individuals with automated, repetitive, or dangerous tasks.|AI systems can perform tasks that humans cannot, such as processing millions of data records in a matter of seconds.","0|1","AI hạn chế quyền tự chủ của con người ('limit human autonomy') trong các hệ thống vũ khí (tước quyền ra quyết định của con người) và gây tác động tiêu cực lên các nhóm yếu thế."
50,single_choice,"Which school of philosophical thought primarily advocates for the greatest good for the greatest amount of people?","Deontology|Kantian ethics|Utilitarianism|Virtue ethics","2","Trường phái triết học ủng hộ lợi ích lớn nhất cho số lượng người lớn nhất ('greatest good for the greatest amount') là Chủ nghĩa vị lợi ('Utilitarianism')."
51,single_choice,"Which type of entity are the OECD Principles on Artificial Intelligence mostly geared towards?","Private corporations|National governments|Municipal governments|Individuals","1","Bộ nguyên tắc OECD về AI chủ yếu được thiết kế làm kim chỉ nam cho các chính phủ quốc gia ('National governments') trong việc hoạch định chính sách."
52,single_choice,"Which of the following principles are most commonly cited in AI-based ethical frameworks?","Fairness and non-discrimination|Transparency and explainability|Human control and autonomy|Happiness and spiritual contentment","1","Minh bạch và khả năng giải thích ('Transparency and explainability') là hai nguyên tắc được trích dẫn thường xuyên nhất trong hầu hết các khung đạo đức AI hiện nay."
53,single_choice,"Which of the following frameworks primarily promotes human rights?","The Montreal Declaration|The Beijing AI Principles|The Asilomar AI Principles|The Toronto Declaration","3","Tuyên bố Toronto ('The Toronto Declaration') là khung đạo đức đặc biệt nhấn mạnh vào việc bảo vệ quyền con người ('human rights') trong hệ thống học máy."
54,single_choice,"Which of the following best describes capability caution as referenced in the Asilomar AI Principles?","We should keep limits on on what artificial general intelligence (AGI) is capable of.|Given a lack of consensus, we should avoid strong assumptions regarding upper limits on future AI capabilities.|Should there be a greater reliance on AI, measures should be taken to ensure that humans are still capable of finding work.|If there is no understanding of the internal mechanisms of AI, then AI development should be halted.","1","'Capability caution' (Thận trọng về năng lực) khuyên không nên đưa ra các giả định cứng nhắc về giới hạn tối đa của AI ('avoid strong assumptions') khi chưa có sự đồng thuận."
55,single_choice,"Which of the following describes the principle of transparency in the context of AI systems?","Transparency enables human observers to understand the decision-making process of an AI system.|Transparency enables human observers to reproduce the decision-making process of an AI system.|Transparency enables human observers to tweak the decision-making process of an AI system.|Transparency enables human observers to see inside the decision-making process of an AI system.","3","Nguyên tắc minh bạch ('Transparency') yêu cầu hệ thống phải cho phép con người nhìn thấu và hiểu được quá trình ra quyết định bên trong ('see inside the decision-making process')."
56,single_choice,"Which of the following is a case study that best represents the principle of professional responsibility?","The IEEE Ethically Aligned Design's discussion on classical ethics|The Asilomar AI Principles' definition of capability caution|The Beijing AI Principles' tenets about the use of AI The American Medical|Association's definition of AI as augmented intelligence","3","Hiệp hội Y khoa Hoa Kỳ định nghĩa AI là 'augmented intelligence' (trí tuệ tăng cường) để hỗ trợ thay vì thay thế bác sĩ, đây là ví dụ điển hình của trách nhiệm nghề nghiệp ('professional responsibility')."
57,single_choice,"If you are attempting to build a new framework for the research and development (R&D) of AI, which of the following frameworks might you look at first for its emphasis in this area?","The Beijing AI Principles|The G20 AI Principles|The Montreal Declaration for a Responsible Development of Artificial Intelligence|The American Medical Association's definition of artificial intelligence","0","Nguyên tắc AI Bắc Kinh ('Beijing AI Principles') đặc biệt chú trọng vào các quy chuẩn đạo đức trong khâu Nghiên cứu và Phát triển (R&D)."
58,single_choice,"In AI, the principle of privacy is most commonly referred to in the context of which of the following concepts?","Personal protection|Human control|Data protection|Transparency","2","Trong ngữ cảnh AI, nguyên tắc quyền riêng tư ('privacy') thường được hiểu đồng nghĩa với bảo vệ dữ liệu ('Data protection')."
59,single_choice,"Which of the following describes an ethical framework?","Ethical frameworks raise timeless ethical questions that are not easily put into action.|Ethical frameworks apply meta-ethical theories to everyday business operations.|Ethical frameworks consolidate regulatory requirements for an industry.|Ethical frameworks seek to mitigate ethical concerns by creating actionable steps.","3","Khung đạo đức ('Ethical framework') không chỉ bàn lý thuyết mà tìm cách giảm thiểu rủi ro thông qua các bước hành động cụ thể ('creating actionable steps')."
60,single_choice,"Why does the trolley problem pose an ethical predicament?","There are so many potential outcomes that it becomes difficult to choose one that is most ethical.|The moral responsibility is split between you and the person controlling the trolley.|You have to make a choice between two scenarios where choosing one leads to loss of life in the other.|You as the actor don't have sufficient control over the circumstance.","2","Bài toán xe gòong ('Trolley problem') là thế tiến thoái lưỡng nan vì dù chọn cách nào ('choosing one leads to loss of life') thì cũng dẫn đến hậu quả chết người."
61,multiple_choice,"Which of the following ethical considerations should have priority in an emergency situation like the use of contact-tracing solutions during a pandemic? (Select two.)","Privacy|Bias|Accountability|Explainability","0|2","Trong tình huống khẩn cấp (như dùng app truy vết dịch bệnh), Quyền riêng tư ('Privacy') và Trách nhiệm giải trình ('Accountability') là hai yếu tố đạo đức cần được ưu tiên hàng đầu."
62,single_choice,"In using AI-enabled solutions within the context of medical imaging analysis, which of the following is the most important ethical consideration?","Privacy|Security|Bias|Explainability","3","Trong phân tích hình ảnh y khoa, tính có thể giải thích ('Explainability') là quan trọng nhất để bác sĩ hiểu và tin tưởng chẩn đoán của AI."
63,single_choice,"If an AI-enabled system enables addictive behavior, which of the following makes for the most compelling argument to stop development work on that system?","The system, as designed, acts counter to the well-being of the users.|The user will share more data with the system because of increased use.|The process for obtaining consent has not been made transparent to the user.|There is a lack of accountability on the part of the user since they overuse the service.","0","Lập luận mạnh mẽ nhất để dừng phát triển một AI gây nghiện là hệ thống đó đi ngược lại sự an lạc/sức khỏe của người dùng ('acts counter to the well-being of the users')."
64,single_choice,"Why do smart toys raise additional ethical concerns over those that are raised in the course of other products and services that use AI?","They are used in the privacy of homes rather than in public settings, like other products or services.|It is difficult to obtain informed consent for the use of the smart toy.|The smart toys store personal data on the device, which can be stolen.|Children are more susceptible to manipulation and therefore need extra protective measures.","3","Đồ chơi thông minh (smart toys) đáng lo ngại vì trẻ em rất dễ bị thao túng ('susceptible to manipulation') và cần các biện pháp bảo vệ đặc biệt."
65,single_choice,"Which of the following software development principles is essential in the real-world deployment of AI-enabled software applications in critical scenarios like self-driving cars?","Architectural design analysis|Robustness to adversarial examples|Version control of the AI models deployed|Continuous integration and deployment of patch updates","1","Đối với các ứng dụng sống còn như xe tự lái, hệ thống AI phải có độ bền/tính chống chịu trước các ví dụ đánh lừa ('Robustness to adversarial examples')."
