id,type,question,options,correctAnswer,explanation
11,multiple_choice,Which of the following is a good policy to enforce on passwords? Check all that apply.,A short password length|A long password length|The use of common words|A mixture of symbols and numbers,1|3,"Chính sách mật khẩu mạnh cần đảm bảo độ dài (long password length) và kết hợp đa dạng các ký tự như chữ hoa, chữ thường, số và ký tự đặc biệt (mixture of symbols and numbers)."
12,multiple_choice,Which of the following are part of the hardware lifecycle? Check all that apply.,Deployment|Network Connectivity|Procurement|Retirement,0|2|3,"Vòng đời thiết bị phần cứng (Hardware lifecycle) bao gồm 4 giai đoạn chính: Mua sắm (Procurement), Triển khai (Deployment), Bảo trì (Maintenance), và Thu hồi/Thanh lý (Retirement)."
13,single_choice,_________ is the stage where hardware is purchased or re-used for any employee.,Purchased|Procurement|Deployment|Retirement,1,"Procurement (Mua sắm/Cung ứng) là giai đoạn đầu tiên trong hardware lifecycle, nơi thiết bị được thu mua hoặc cấp phát lại cho nhân viên."
14,single_choice,Vendor qualification and risk mitigation is a step of which phase of the contract vendor lifecycle?,Post-contract|Qualification|Pre-contract|Risk management,2,"Pre-contract (Tiền hợp đồng) là giai đoạn đánh giá năng lực và giảm thiểu rủi ro của nhà cung cấp trước khi chính thức ký kết hợp đồng."
15,multiple_choice,Which of the following are management steps of the vendor lifecycle?,Vendor information management and onboarding.|Performance management monitoring.|Vendor offboarding.|Contract analysis.,0|1|2,"Quy trình quản lý nhà cung cấp bao gồm: tiếp nhận và Onboarding (Pre-contract), giám sát hiệu suất (Contract delivery), và thanh lý Offboarding (Post-contract)."
16,multiple_choice,Whose responsibility might it be to form organizational computer and network policies? Select all that apply.,The sysadmin|Board of directors|Chief Security Officer|Chief Executive Officer,0|2|3,"Tùy quy mô doanh nghiệp, việc thiết lập chính sách IT/Network có thể do Sysadmin, Giám đốc an ninh thông tin (CSO), hoặc Giám đốc điều hành (CEO) đảm nhiệm."
17,multiple_choice,Which of these are common responsibilities of systems administrators? Check all that apply.,"Help users to pick the right desktop chair|Constantly troubleshoot problems, such as network issues|Work in the background to make sure a company's IT infrastructure is always working|Help users with issues, such as lost passwords and login problems",1|2|3,"Nhiệm vụ của Sysadmin bao gồm: vận hành hệ thống IT ổn định, hỗ trợ người dùng khắc phục sự cố tài khoản/đăng nhập, và xử lý các lỗi kỹ thuật/mạng."
18,single_choice,Which type of server most closely resembles a desktop computer in appearance?,Tower server|DNS server|Rack server|Blade server,0,"Tower server được thiết kế dưới dạng thùng đứng riêng lẻ, có ngoại hình tương tự như một máy tính để bàn (desktop PC) thông thường."
19,multiple_choice,Which of the following are server types that a sysadmin for a small company might manage? Select all that apply.,SSH|SSD|Email|VR,0|2,"SSH Server (dùng để quản trị từ xa) và Email Server là các loại máy chủ phổ biến mà Sysadmin quản lý. SSD là linh kiện phần cứng lưu trữ, VR là công nghệ thực tế ảo."
20,single_choice,"Which of these terms describe a facility that stores hundreds, if not thousands, of servers?",Web server|KVM switch|Data center|SSH server,2,"Data center (Trung tâm dữ liệu) là tòa nhà/nhà trạm chuyên dụng chứa hàng trăm đến hàng nghìn máy chủ và thiết bị hạ tầng IT."
21,multiple_choice,Which of the following are considerations when developing computer policies? (Choose all that apply),"Should users be able to decide the brightness of their monitor?|Should a password be set on an employee's company phone?|Should users be able to view non-work-related websites, like Facebook?|Should users be able to install software",1|2|3,"Chính sách sử dụng máy tính tập trung vào bảo mật và quyền hạn (mật khẩu, truy cập web, cài đặt phần mềm), không can thiệp vào cài đặt cá nhân như độ sáng màn hình."
22,single_choice,A user is setting their computer's hostname and username. In which stage of the hardware lifecycle does this scenario belong to?,Procurement|Maintenance|Retirement|Deployment,3,"Cấu hình tên máy (hostname), tạo tài khoản người dùng và cài đặt ban đầu thuộc giai đoạn Triển khai (Deployment)."
23,single_choice,"When a machine is having issues, an IT Support Specialist has to file an RMA, or Return Merchandise Authorization form, with the vendor of the machine. Which stage of the hardware lifecycle does this scenario belong to?",Retirement|Procurement|Maintenance|Deployment,2,"Gửi form RMA để sửa chữa hoặc đổi trả thiết bị bị lỗi trong quá trình sử dụng thuộc giai đoạn Bảo trì (Maintenance)."
24,single_choice,The IT department sets up a user account and software. Which stage of the hardware lifecycle does this situation belong to?,Retirement|Deployment|Procurement|Maintenance,1,"Cài đặt phần mềm và thiết lập tài khoản cho thiết bị mới cấp phát cho người dùng nằm trong giai đoạn Deployment."
25,single_choice,Which of the following is not one of the main stages of the hardware lifecycle?,Procurement|Deployment|Maintenance|Recycling,3,"4 giai đoạn chuẩn của hardware lifecycle gồm: Procurement, Deployment, Maintenance, và Retirement. Recycling (Tái chế) không nằm trong 4 giai đoạn chính này."
26,multiple_choice,Which of the following are considered part of the physical infrastructure service? Check all that apply.,Desktop|Laptop|Rack server|Operating systems,0|1|2,"Dịch vụ hạ tầng vật lý (Physical infrastructure) bao gồm các phần cứng vật lý như máy tính để bàn (Desktop), Laptop, và Rack server. Hệ điều hành là phần mềm."
27,multiple_choice,Which of the following are considered a network service? Check all that apply.,DNS|Wireless Internet|Email server|Blade server,0|1,"Network services bao gồm các dịch vụ liên quan đến kết nối và giao thức mạng như DNS (phân giải tên miền) và Wireless Internet (Wifi)."
28,single_choice,"Amazon Web Services, Linode, Windows Azure, and Google Compute Engine are examples of ________.",NaaS providers|IaaS Providers|Shopping places|Computer brands,1,"AWS, Azure, GCP, Linode là các nhà cung cấp dịch vụ hạ tầng dưới dạng dịch vụ (IaaS - Infrastructure as a Service), cho phép thuê máy chủ ảo."
29,multiple_choice,Which of the following are considered a software service? Check all that apply.,Word processors|Wireless Internet|Chat applications|Email applications,0|2|3,"Software services là các ứng dụng phần mềm được cung cấp cho người dùng như phần mềm soạn thảo, ứng dụng chat và ứng dụng email."
30,single_choice,What type of service is an all-in-one solution to building and deploying a web application?,PaaS|NaaS|IaaS|SaaS.,0,"PaaS (Platform as a Service) cung cấp trọn gói nền tảng (môi trường chạy code, cơ sở dữ liệu...) giúp lập trình viên phát triển và triển khai ứng dụng web dễ dàng."
31,single_choice,Which one of the following operating systems would be best suited for running a server?,Ubuntu Server|MacOS|Ubuntu|Windows 10,0,"Ubuntu Server là hệ điều hành được tối ưu hóa chuyên biệt cho máy chủ (loại bỏ giao diện đồ họa nặng nề, tập trung hiệu năng và độ ổn định)."
32,multiple_choice,Which of the following are benefits of virtualizing servers? Check all that apply.,Better performance than a dedicated server.|Better hardware resource utilization.|Low RAM memory requirement.|Easier maintenance.,1|3,"Ảo hóa máy chủ (Server Virtualization) giúp tối ưu hóa hiệu suất sử dụng phần cứng (Hardware utilization) và giúp việc bảo trì, quản lý dễ dàng hơn."
33,multiple_choice,Which of the following are ways that can be used to run services?,SSH|Virtualized instance on a server.|VPN|Dedicated hardware,1|3,"Các dịch vụ IT có thể được vận hành theo 2 cách chính: Chạy trực tiếp trên phần cứng riêng (Dedicated hardware) hoặc chạy trên máy chủ ảo (Virtualized instance)."
34,multiple_choice,Which of the following is needed in order to use SSH to connect to a machine? Check all that apply.,A VPN connection.|An SSH server on the machine you want to connect to.|An SSH client on the machine from which the connection begins.|A virtual server to connect to.,1|2,"Để kết nối SSH, máy bắt đầu kết nối cần có SSH Client và máy đích nhận kết nối phải đang bật SSH Server."
35,multiple_choice,Which of the following are samples of remote access tools? Select all that apply.,OpenSSH|WinRM|RDP|RAM,0|1|2,"OpenSSH (Linux), WinRM (Windows CLI), và RDP (Windows GUI) đều là các công cụ quản trị/truy cập máy tính từ xa. RAM là bộ nhớ trong."
36,single_choice,What is one benefit of using TFTP over SFTP?,Added security|Simpler transfer without authentication|The encrypted transfer of data|The user authentication requirement,1,"TFTP (Trivial FTP) truyền tải file đơn giản và nhanh chóng hơn vì không yêu cầu xác thực người dùng (authentication) như SFTP."
37,single_choice,What service can you use to keep time synchronized across the machines on your fleet?,FTP|Kerberos|NTP|SFTP,2,"NTP (Network Time Protocol) là giao thức dùng để đồng bộ thời gian chuẩn xác giữa tất cả các máy tính trong cùng mạng."
38,multiple_choice,What features does a proxy offer? Check all that apply.,Network privacy|Network traffic monitoring|Internet traffic filtering|The ability for employees to share information more easily,0|1|2,"Proxy server đóng vai trò trung gian giúp ẩn danh (privacy), giám sát lưu lượng (monitoring) và lọc/chặn các trang web không mong muốn (filtering)."
39,single_choice,"If you want to point a domain name to a web server or use hostnames within your company, what network protocol can you use?",DHCP|DNS|NTP|SFTP,1,"DNS (Domain Name System) được dùng để ánh ánh tên miền (domain name) hoặc tên máy (hostname) sang địa chỉ IP của web server."
40,single_choice,"If you don't want to use static IP addresses, but want to dynamically assign IP addresses to computers instead, what network protocol can you use?",TFTP|Kerberos|NTP|DHCP,3,"DHCP (Dynamic Host Configuration Protocol) tự động cấp phát địa chỉ IP động cho các thiết bị khi kết nối vào mạng."
41,single_choice,Google's GSuite (now called Google Workspace) is an example of which Cloud service?,Infrastructure as a Service (IaaS)|Platform as a Service (PaaS)|Software as a Service (SaaS)|Directory as a Service (DaaS),2,"Google Workspace cung cấp các ứng dụng văn phòng trực tiếp cho người dùng qua web, đây là mô hình Phần mềm dưới dạng dịch vụ (SaaS)."
42,multiple_choice,Which of the following are cons that come from using a Cloud Service? Select all that apply.,The need to depend on a provider for service|Recurring cost|A simplified user interface|Having to purchase expensive networking hardware,0|1,"Nhược điểm khi dùng Cloud là phải phụ thuộc vào nhà cung cấp (Vendor lock-in/Dependency) và phát sinh chi phí duy trì hàng tháng/năm (Recurring cost)."
43,multiple_choice,Which of the following are typically included with server operating systems to help optimize server functionality? Select all that apply.,More RAM capacity|A simplified user interface|Allow more network connections|Added security,0|2|3,"Hệ điều hành máy chủ được tối ưu để hỗ trợ dung lượng RAM lớn hơn, chịu tải nhiều kết nối mạng đồng thời hơn và tăng cường các tính năng bảo mật."
44,single_choice,You are setting up a website for your company. You have purchased a domain name for the site and have decided to host your web content yourself. What might you need to set up to point your new domain name to where web content is located?,A VNC client|An authoritative DNS server|A proxy server|A TFTP server,1,"Authoritative DNS Server là máy chủ DNS nắm giữ bản ghi gốc (như A record) để trỏ tên miền của bạn về đúng địa chỉ IP máy chủ web."
45,single_choice,What does DHCP do?,DHCP sets up an authoritative DNS server a network.|DHCP keeps the clock synchronized on machines connected to a network.|DHCP assigns IP addresses to computers on a network.|DHCP maps domain names to IP addresses.,2,"DHCP có nhiệm vụ tự động cấu hình và cấp phát địa chỉ IP cho các máy tính trong mạng."
46,single_choice,You’re an IT Support Specialist who has just made some updates to a running service’s configuration files. How can you update the service’s configuration without interrupting the service?,start the service|restart the service|reload the service|stop then start the service,2,"Thực hiện Reload dịch vụ sẽ buộc dịch vụ đọc lại file cấu hình mới mà không cần phải tắt/khởi động lại process, giúp không ngắt kết nối của người dùng."
47,single_choice,"You’re an IT Support Specialist and you’re trying to make changes to DNS with dnsmasq. However, you’re running into some issues and you want to troubleshoot your setup. In which mode should you run dnsmasq?",troubleshoot|flag|query|debug,3,"Chạy dnsmasq ở chế độ Debug mode sẽ xuất chi tiết các dòng log hệ thống, hỗ trợ hiệu quả cho việc tìm và sửa lỗi (troubleshooting)."
48,single_choice,Complete the Qwiklab Service Management in Linux before answering this question. You check the status of the cups service on a Linux machine. What status would be printed if the service is active?,cupsd is running.|cupsd is active.|cupsd OK.|running,0,"Trong Linux, khi kiểm tra trạng thái dịch vụ in ấn CUPS đang hoạt động, lệnh sẽ trả về thông báo 'cupsd is running.'"
49,single_choice,Complete the Qwiklab Service Management in Windows before answering this question. You want to stop the Themes service of a Windows machine. How can you stop this service from the Windows GUI?,"Navigate to the Services menu, scroll through the services to find Themes, right-click Themes, and select Pause from the dropdown menu.|Navigate to the Services menu, scroll through the services to find Themes, and select Stop from the dropdown menu.|Navigate to the Performance menu, scroll through the services to find Themes, right-click Themes, and select Interrupt from the dropdown menu.|Navigate to the Services menu, scroll through the services to find Themes, right-click Themes, and select Stop from the dropdown menu.",3,"Để dừng dịch vụ qua giao diện Windows GUI: Mở cửa sổ Services -> tìm dịch vụ Themes -> click chuột phải và chọn Stop."
50,single_choice,Complete the Qwiklab Service Management in Windows before answering this question. You want to install some web-serving features that are available on a Windows system but are not currently installed. What kind of PowerShell CLI do you need to have open to run the commands that enable these features?,guest user PowerShell CLI|power user PowerShell CLI|normal user PowerShell CLI|administrator PowerShell CLI,3,"Việc cài đặt thêm tính năng/Role hệ thống trên Windows bắt buộc phải mở PowerShell dưới quyền Administrator (Administrator PowerShell CLI)."
51,multiple_choice,What are some communication services you can utilize in your organization? Check all that apply.,Email|Chat applications|DNS|Phones,0|1|3,"Các dịch vụ giao tiếp (Communication services) trong doanh nghiệp bao gồm: Email, ứng dụng nhắn tin (Chat apps) và hệ thống điện thoại (Phones)."
52,multiple_choice,What's the difference between POP3 and IMAP? Check all that apply.,POP3 can only download email to one local device.|IMAP can only download email to one local device.|POP3 is used for sending emails.|IMAP can download emails onto multiple devices.,0|3,"POP3 tải email về một thiết bị duy nhất và thường xóa trên server; trong khi IMAP đồng bộ email trên nhiều thiết bị khác nhau."
53,single_choice,True or false: Commercial-use and personal-use software licenses are essentially the same thing.,True|False,1,"Sai (False). Bản quyền phần mềm dùng cho thương mại (Commercial) và cá nhân (Personal) có điều khoản pháp lý và chi phí hoàn toàn khác nhau."
54,multiple_choice,What are the differences between TLS and SSL? Check all that apply.,TLS is the successor to SSL.|TLS is more secure than SSL.|SSL is more secure than TLS.|SSL is the successor to TLS.,0|1,"TLS là phiên bản kế thừa tiên tiến hơn của SSL, cung cấp khả năng mã hóa và độ bảo mật cao hơn SSL."
55,single_choice,What is the name of a protocol that lets users share files over a network?,Apache|DNS|CUPS|NFS,3,"NFS (Network File System) là giao thức truyền tải cho phép chia sẻ file giữa các máy tính trong cùng mạng nội bộ."
56,multiple_choice,Which two of these methods could you use to set up printing in an organization?,Setting up a print server|Using MySQL|Using FAT32|Using a Cloud service to set up printers,0|3,"Để triển khai hệ thống in ấn trong doanh nghiệp, bạn có thể dựng máy chủ in (Print server) hoặc dùng giải pháp in ấn đám mây (Cloud print service)."
57,single_choice,"When you have a web server, what service is used to enable HTTP requests to be processed?",The web server|An HTTP server|A database server|HTTP status codes,1,"HTTP server (ví dụ như Apache, Nginx) là thành phần phần mềm chịu trách nhiệm tiếp nhận và xử lý các yêu cầu HTTP Request từ trình duyệt."
58,single_choice,Fill in the blank: You can use a(n) _______________to store large amounts of customer data for a website.,DNS server|NFS server|database server|HTTP server,2,"Database server (như MySQL, PostgreSQL) là dịch vụ chuyên dùng để lưu trữ và quản lý dữ liệu cấu trúc khối lượng lớn của website."
59,single_choice,"What is software that can modify, steal or delete data, and is a threat to the practice of BYOD (Bring Your Own Device)?",Malware|MDM software|DLP software|MFA software,0,"Malware (mã độc) là phần mềm độc hại có thể chỉnh sửa, đánh cắp hoặc xóa dữ liệu, gây nguy cơ bảo mật lớn cho mô hình BYOD."
60,single_choice,"HTTP status codes that begin with 4xx, like 404, indicate:",Client-side errors|Redirections|Server-side errors|Nowhere; these codes are successful,0,"Mã trạng thái 4xx (như 404 Not Found) báo hiệu lỗi từ phía khách hàng/người dùng (Client-side errors) như nhập sai đường dẫn."
61,single_choice,"HTTP status codes that begin with 5xx, like 501, indicate:",Client-side errors|Nowhere; these codes are successful|Server-side errors|Redirections,2,"Mã trạng thái 5xx (như 500 Internal Server Error) báo hiệu sự cố phát sinh từ phía máy chủ (Server-side errors)."
62,single_choice,What are tools that are built into browsers to help diagnose issues with the browsers?,Developer tools|HTTP web servers|Database servers|Platform services,0,"Developer tools (Công cụ dành cho nhà phát triển) được tích hợp sẵn trên trình duyệt để kiểm tra cấu trúc web, debug và chẩn đoán lỗi."
63,single_choice,What do HTTP status codes beginning with 2xx indicate?,Client-side errors|Redirection|Successful request|Server-side errors,2,"Mã trạng thái 2xx (như 200 OK) đại diện cho yêu cầu HTTP được gửi và xử lý thành công (Successful request)."
64,single_choice,Which of these leads to a 404 error?,"You accidentally type in the wrong readable name, and you get to a different site than you wanted.|You type in the human readable name for a site that no longer exists.|You type in the URL of a site instead of the human readable name (something ending with.com, .edu or any dot ending).|You type in a good address or readable name for a site, but the server holding the site is having problems.",1,"Lỗi 404 Not Found xuất hiện khi bạn truy cập vào một địa chỉ URL/trang web không tồn tại hoặc đã bị xóa."
65,multiple_choice,Which of the following are popular paid-for options for setting up IM services for your organization? Select all that apply.,Slack|IMAP|XMPP|HipChat,0|3,"Slack và HipChat là các ứng dụng nhắn tin tức thời (Instant Messaging) trả phí phổ biến dành cho doanh nghiệp."
66,single_choice,"Which email protocol is capable of sending emails?","IMAP|MX DNS|POP3|SMTP",3,"SMTP (Simple Mail Transfer Protocol) là giao thức chuẩn duy nhất được sử dụng để gửi email."
67,multiple_choice,"Which of the following statements is true about cloud software services? Select all that apply.","When setting up cloud services for your company, you might need to purchase added features for businesses and enterprises.|There are no stipulations (licensing agreements) on how cloud services software is used.|There are never limits on who can use cloud services software.|Software used as a business is usually different from software used as a consumer.",0|3,"Dịch vụ cloud cho doanh nghiệp thường yêu cầu mua thêm các tính năng nâng cao (enterprise features) và phần mềm dùng cho doanh nghiệp thường có sự khác biệt so với phiên bản cá nhân."
68,single_choice,"If you manage an organization's website on a server, how do you enable TLS on the server so that the site can use HTTPS?","Type HTTPS in your site URL instead of just HTTP|Enable SSL version 2.0 on your web server|Install a digital certificate of trust on your web server|Reinstall your server OS and agree to a special licensing agreement",2,"Để kích hoạt TLS và chạy HTTPS, bạn cần cài đặt một chứng chỉ số tin cậy (digital certificate of trust / SSL certificate) trên web server."
69,single_choice,"If you don't want to set up your own dedicated hardware to use for network file storage, what are your other options?","Set up an HTTP server|Set up a NAS|Use a database server|Use a cloud file storage provider",3,"Sử dụng nhà cung cấp lưu trữ đám mây (cloud file storage provider) giúp lưu trữ file qua mạng mà không cần tự trang bị thiết bị phần cứng riêng."
70,multiple_choice,"Which file system protocols are intended for network use? Select all that apply.","NFS|SMB|Fat32|HTTPS",0|1,"NFS (Network File System) và SMB (Server Message Block) là hai giao thức hệ thống tệp mạng chuyên dùng để chia sẻ file giữa các máy tính."
71,multiple_choice,"Company B is setting up commercial printing services on their network. Which of these are advantages of centrally managed commercial printers? Select all that apply.","It allows the ability to deploy printer driver software so that your users can print from their computers|It provides a central interface to collect diagnostic reports, such as low toner levels|Physically distant printers can be more easily managed|Printers can be managed one at a time",0|1|2,"Quản lý máy in tập trung giúp tự động triển khai driver, theo dõi báo cáo chẩn đoán (như hết mực) và dễ dàng quản lý máy in ở các vị trí địa lý khác nhau."
72,multiple_choice,"Which statements are true about setting up a web server? Select all that apply.","Web server setup does not require DNS|DNS needs to be set up to allow outside access to the server via the Internet|Web content is stored on the server's localhost|Apache is the most used web server on the Web",1|2|3,"Cần có DNS để người dùng ngoài Internet truy cập web server, nội dung web lưu trực tiếp trên localhost của server, và Apache là một trong những web server phổ biến nhất."
73,multiple_choice,"Which of these are examples of database software? Select all that apply.","CUPS|Apache|PostgreSQL|MySQL",2|3,"PostgreSQL và MySQL là các hệ quản trị cơ sở dữ liệu (database software). CUPS là dịch vụ in ấn, Apache là web server."
74,single_choice,"When a website is having issues on the server side, what number does the HTTP status code start with?","6xx|4xx|2xx|5xx",3,"Mã trạng thái HTTP bắt đầu bằng 5xx (như 500 Internal Server Error) báo hiệu lỗi phát sinh từ phía máy chủ (server-side errors)."
75,single_choice,"What does a directory server provide?","A network time service.|A real-time communication service.|A replication service.|A lookup service for an organization.",3,"Directory Service cung cấp dịch vụ tra cứu (lookup service) giúp người dùng và hệ thống tìm kiếm thông tin về tài nguyên mạng cũng như địa chỉ của chúng trong tổ chức."
76,multiple_choice,"What benefits does replication provide? Check all that apply.","Virtualization|Decreased latency|Redundancy|Enhanced security",1|2,"Tính năng Replication (nhân bản) trong Directory Server giúp tạo tính dự phòng (Redundancy) bằng nhiều bản sao dữ liệu, đồng thời giảm độ trễ (Decreased latency) khi khách hàng truy vấn."
77,single_choice,"What is the most popular directory services protocol used today?","Directory Access Protocol|Directory Operational Binding Management Protocol|Directory System Protocol|Lightweight Directory Access Protocol",3,"LDAP (Lightweight Directory Access Protocol) là giao thức Directory Service phổ biến và được sử dụng rộng rãi nhất hiện nay."
78,single_choice,"Active Directory is the LDAP implementation for _______________.","MAC|Linux|Ubuntu|Microsoft",3,"Active Directory (AD) là bản triển khai giao thức LDAP do Microsoft phát triển dành cho hệ điều hành Windows."
79,single_choice,"The containers in a Directory Service are referred to as _______________.","organized structure|user accounts|organizational units (OUs)|subfolders",2,"Trong Directory Service, các container chứa đối tượng hoặc các thư mục con được gọi là Organizational Units (OUs)."
80,multiple_choice,"Which of these are examples of centralized management? Check all that apply.","Role-based access control|Centralized configuration management|Copying configurations to various systems|Local authentication",0|1,"Quản lý tập trung (Centralized management) bao gồm phân quyền theo vai trò (Role-based access control) và quản lý cấu hình tập trung (Centralized configuration management) từ một điểm duy nhất."
81,multiple_choice,"Which of these are components of an LDAP entry? Check all that apply.","Uncommon Name|Common Name|Organizational User|Distinguished Name",1|3,"Một LDAP entry bao gồm Common Name (CN - mô tả đối tượng) và Distinguished Name (DN - tên định danh duy nhất của entry)."
82,single_choice,"What does the LDAP Bind operation do?","Modifies entries in a directory server|Looks up information in a directory server|Authenticates a client to the directory server|Changes the password for a user account on the directory server",2,"Thao tác Bind trong LDAP dùng để xác thực (Authenticate) Client với Directory Server."
83,multiple_choice,"Which of the following are authentication types supported by the LDAP Bind operation? Check all that apply.","Anonymous|Simple|Complex|SASL",0|1|3,"Thao tác LDAP Bind hỗ trợ 3 cơ chế xác thực: Anonymous (vô danh), Simple (mật khẩu văn bản thuần), và SASL (xác thực bảo mật)."
84,multiple_choice,"Which of the following are services provided for the Directory Services?","Local authentication|Authorization|Centralized Authentication|Accounting",1|2|3,"Directory Services cung cấp mô hình dịch vụ AAA gồm Centralized Authentication (xác thực tập trung), Authorization (phân quyền) và Accounting (ghi log/kế toán)."
85,single_choice,"What is the difference between a policy and a preference?","A policy can be modified by a local user, while a preference is enforced by AD.|They are the exact same thing.|A policy is used to set a preference.|A policy is enforced by AD, while a preference can be modified by a local user.",3,"Policy là thiết lập bắt buộc được Active Directory áp dụng định kỳ, trong khi Preference là thiết lập mặc định mà người dùng cục bộ có thể thay đổi được."
86,single_choice,"Select the right order of enforcement of GPOs:","OU --> Domain --> Site|Domain --> Site --> OU|Site --> Domain --> OU|Site --> OU --> Domain",2,"Thứ tự áp dụng GPO theo quy tắc LSDOU là: Local -> Site -> Domain -> Organizational Unit (OU). Policy áp dụng sau sẽ ghi đè policy trước."
87,single_choice,"What can be used to determine what policies will be applied to a given machine?","gpupdate|A control panel|An RSOP report|A test domain",2,"Báo cáo RSOP (Resultant Set of Policy) dùng để kiểm tra chi tiết các chính sách GPO thực tế sẽ được áp dụng lên một máy tính."
88,multiple_choice,"Which of the following could prevent logging into a domain-joined computer? Check all that apply.","Your computer is connected to Wifi|Unable to reach the domain controller|The user account is locked|The time and date are incorrect",1|2|3,"Không kết nối được Domain Controller, tài khoản bị khóa, hoặc thời gian hệ thống bị lệch (lỗi Kerberos clock sync) sẽ ngăn cản đăng nhập vào máy thuộc Domain."
89,single_choice,"How does a client discover the address of a domain controller?","It makes a DNS query, asking for the SRV record for the domain|It sends a broadcast to the local network|It is provided via DHCP|It is pushed via an AD GPO",0,"Client tìm kiếm địa chỉ của Domain Controller bằng cách thực hiện truy vấn DNS để hỏi bản ghi SRV record của Domain."
90,single_choice,"How are things organized in a directory server?","By a hierarchical model of objects and containers|By a series of nested groups|By a relational database structure|By a flat text file",0,"Directory Server tổ chức dữ liệu theo mô hình cấu trúc cây phân cấp (Hierarchical model) gồm các Container và đối tượng (Objects)."
91,multiple_choice,"Which of the following are examples of Lightweight Directory Access Protocol (LDAP)-based directory server software? (Choose all that apply)","ADUC|OpenLDAP|Microsoft's Active Directory|RDP",1|2,"OpenLDAP và Microsoft's Active Directory là các phần mềm Directory Server chạy trên nền tảng giao thức LDAP."
