﻿ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q11,Thế vận hội Olympic,オリンピック,ボーナス,エイプリル・フール,スポーツ,A,"A. オリンピック (Olympic), B. ボーナス (Thưởng), C. エイプリル・フール (Cá tháng 4) (Cá tháng 4)",オリンピックを見ます。(Tôi xem Olympic.)
Q12,"Tiền thưởng, phần thưởng",給料,ボーナス,お礼,用事,B,"A. Tiền lương, B. Tiền thưởng, C. Quà cảm ơn, D. Việc bận",ボーナスをもらいました。(Tôi đã nhận được tiền thưởng.)
Q13,"Ngưỡng mộ, ghen tị",痛い,危ない,羨ましい,嬉しい,C,"A. Đau, B. Nguy hiểm, C. Ghen tị/ngưỡng mộ, D. Vui",あなたが羨ましいです。(Tôi rất ghen tị/ngưỡng mộ bạn.)
Q14,"Thắng, chiến thắng",負ける,勝つ,売れる,別れる,B,"A. Thua, B. Thắng, C. Bán chạy, D. Chia tay",試合に勝ちました。(Đã chiến thắng trận đấu.)
Q15,"Rủ, mời (ai đó)",誘う,勝つ,生まれる,亡くなる,A,"A. 誘う (さそう) (Rủ), B. 勝つ (かつ - Thắng), C. 生まれる (うまれる - Được sinh ra), D. 亡くなる (なくなる - Qua đời)",友達を誘って映画に行きます。(Rủ bạn bè đi xem phim.)
Q16,"Mất, qua đời",別れる,負ける,亡くなる,やめる,C,"A. Chia tay, B. Thua, C. Mất/qua đời, D. Từ bỏ",祖父が亡くなりました。(Ông tôi đã qua đời.)
Q17,Chia tay,別れる,勝つ,誘う,売れる,A,"A. 別れる (わかれる) (Chia tay), B. 勝つ (かつ - Thắng), C. 誘う (さそう - Rủ), D. 売れる (うれる - Bán chạy)",彼女と別れました。(Tôi đã chia tay bạn gái.)
Q18,"Thua, bại trận",勝つ,負ける,亡くなる,やめる,B,"A. Thắng, B. Thua, C. Qua đời, D. Từ bỏ",試合に負けました。(Đã thua trận đấu.)
Q19,"Bán đắt hàng, nổi tiếng",生まれる,売れる,別れる,誘う,B,"A. Sinh ra, B. Bán đắt hàng (うれる), C. Chia tay, D. Mời",この本はよく売れています。(Quyển sách này bán rất chạy.)
Q20,Được sinh ra,生まれる,亡くなる,勝つ,負ける,A,"A. 生まれる (うまれる) (Được sinh ra), B. Qua đời, C. Thắng, D. Thua",赤ちゃんが生まれました。(Em bé đã được sinh ra.)
Q21,やめる,"Từ bỏ, nghỉ (việc, học)",Bắt đầu,Chiến thắng,Giật mình,A,"A. やめる (Từ bỏ), B. 始める (はじまる - Bắt đầu), C. 優勝する (ゆうしょうする - Vô địch), D. びっくりする (Giật mình)",タバコをやめました。(Tôi đã bỏ thuốc lá.)
Q22,優勝 (する),Thất bại,"Chiến thắng, vô địch",Kỷ lục,Cố gắng,B,"A. 失敗 (しっぱい - Thất bại), B. 優勝(ゆうしょう) (Vô địch), C. 記録 (きろく - Kỷ lục), D. 頑張る (がんばる - Cố gắng)",大会で優勝しました。(Tôi đã vô địch giải đấu.)
Q23,びっくり (する),Tức giận,Khóc,Giật mình,Cười,C,"A. 怒る (おこる - Tức giận), B. 泣く (なく - Khóc), C. びっくりする (Giật mình), D. 笑う (わらう - Cười)",大きい音にびっくりしました。(Tôi giật mình vì tiếng động lớn.)
Q24,しかも,"Hơn thế nữa, không những thế",Vì vậy,Tuy nhiên,Nhưng,A,"A. しかも (Hơn nữa), B. だから (Vì vậy), C. しかし (Tuy nhiên), D. でも (Nhưng)","この店は美味しい、しかも安い。(Quán này ngon, hơn nữa lại rẻ.)"
Q25,まじで,Xin lỗi,Cảm ơn,Thật á? Thật sao?,Đúng vậy,C,"A. ごめん (Xin lỗi), B. ありがとう (Cảm ơn), C. まじで (Lối nói suồng sã), D. そうです (Đúng vậy)",まじで？信じられない。(Thật á? Không thể tin được.)
Q26,やばい,Tuyệt vời,Chết rồi! (Giật mình/Lo lắng),An toàn,Không sao,B,"A. 素晴らしい (Tuyệt vời), B. やばい (Chết dở), C. 安全 (あんぜん - An toàn), D. 大丈夫 (だいじょうぶ - Không sao)","時間がない、やばい！(Không có thời gian rồi, chết dở!)"
Q27,エイプリル・フール,Giáng sinh,Năm mới,Cá tháng Tư,Valentine,C,"A. クリスマス (Giáng sinh), B. お正月 (Năm mới), C. エイプリル・フール (Cá tháng 4), D. バレンタイン (Valentine)",今日はエイプリル・フールです。(Hôm nay là Cá tháng Tư.)
Q28,お礼,Xin lỗi,Chào hỏi,Lời/Quà cảm ơn,Từ biệt,C,"A. 謝罪 (しゃざい - Xin lỗi), B. 挨拶 (あいさつ - Chào hỏi), C. お礼 (おれい) (Quà cảm ơn), D. お別れ (おわかれ - Từ biệt)",お礼の手紙を書きます。(Viết thư cảm ơn.)
Q29,用事,Công việc công ty,"Việc quan trọng, việc bận",Cuộc họp,Lịch trình,B,"A. 仕事 (しごと - Công việc), B. 用事 (ようじ) (Việc bận), C. 会議 (かいぎ - Cuộc họp), D. 予定 (よてい - Kế hoạch)",用事があるので帰ります。(Vì có việc bận nên tôi về.)
Q30,電池,Đồng hồ,Điện thoại,Bóng đèn,Cục pin,D,"A. 時計 (とけい - Đồng hồ), B. 電話 (でんわ - Điện thoại), C. 電球 (でんきゅう - Bóng đèn), D. 電池 (でんち) (Cục pin)",電池が切れました。(Đã hết pin.)
Q31,Dự báo thời tiết,天気予報,交通,将来,形,A,"A. 天気予報 (てんきよほう) (Dự báo thời tiết), B. Giao thông, C. Tương lai, D. Hình dáng",天気予報を見ます。(Xem dự báo thời tiết.)
Q32,Giao thông,電池,用事,お礼,交通,D,"A. Pin, B. Việc bận, C. Lời cảm ơn, D. 交通 (こうつう) (Giao thông)",ここは交通が便利です。(Ở đây giao thông thuận tiện.)
Q33,Hình dáng,将来,形,痛い,危ない,B,"A. Tương lai, B. 形 (かたち) (Hình dáng), C. Đau, D. Nguy hiểm",丸い形をしています。(Có hình tròn.)
Q34,Tương lai,交通,天気予報,将来,形,C,"A. Giao thông, B. Dự báo thời tiết, C. 将来 (しょうらい) (Tương lai), D. Hình dáng",将来、医者になりたいです。(Tương lai tôi muốn làm bác sĩ.)
Q35,"Đau, đau đớn",危ない,痛い,羨ましい,嬉しい,B,"A. Nguy hiểm, B. 痛い (いたい) (Đau), C. Ghen tị, D. Vui",頭が痛いです。(Đau đầu.)
Q36,Nguy hiểm,危ない,痛い,羨ましい,悲しい,A,"A. 危ない (あぶない) (Nguy hiểm), B. Đau, C. Ghen tị, D. Buồn",危ないから、走らないで。(Nguy hiểm nên đừng chạy.)
Q37,Chuyển nhà,引っ越す,誘う,負ける,別れる,A,"A. 引っ越す (ひっこす) (Chuyển nhà), B. Mời, C. Thua, D. Chia tay",来月、東京へ引っ越します。(Tháng sau tôi chuyển nhà đến Tokyo.)
Q38,Làm như thế này,こうやって,あそこ,どこ,だれ,A,"A. こうやって (Làm như thế này), B. Đằng kia, C. Ở đâu, D. Ai",こうやって作ります。(Làm theo cách như thế này.)
Q39,Lời nói dối,うそ,じしん,かじ,ひるね,A,"A. 嘘 (うそ) (Nói dối), B. Động đất, C. Hỏa hoạn, D. Ngủ trưa",それは嘘です。(Đó là lời nói dối.)
Q40,Sách giáo khoa,きょうかしょ,さいしょ,オリンピック,ボーナス,A,"A. 教科書 (きょうかしょ) (Sách giáo khoa), B. Đầu tiên, C. Olympic, D. Tiền thưởng",教科書を忘れた。(Tôi quên sách giáo khoa rồi.)
Q41,Kỳ thi (Kanji),試験,試合,計算,計画,A,"A. 試験 (しけん) (Kỳ thi), B. Trận đấu, C. Tính toán, D. Kế hoạch",明日は試験があります。(Ngày mai có kỳ thi.)
Q42,Trận thi đấu,試験,試合,説明,小説,B,"A. Kỳ thi, B. 試合 (しあい) (Trận đấu), C. Giải thích, D. Tiểu thuyết",テニスの試合に出ます。(Tham gia trận thi đấu tennis.)
Q43,Mặc thử,試着します,安心します,心配します,思い出します,A,"A. 試着します (しちゃくします) (Mặc thử), B. Yên tâm, C. Lo lắng, D. Nhớ ra",この服を試着してもいいですか。(Tôi mặc thử bộ đồ này được không?)
Q44,時計 (とけい),Đồng hồ đeo tay,Kế hoạch,Đồng hồ,Tính toán,C,"A. 腕時計 (うでどけい - Đồng hồ đeo tay), B. 計画 (けいかく - Kế hoạch), C. 時計 (とけい - Đồng hồ), D. 計算 (けいさん - Tính toán)",新しい時計を買いました。(Tôi đã mua cái đồng hồ mới.)
Q45,腕時計 (うでどけい),Đồng hồ treo tường,Đồng hồ đeo tay,Tính toán,Kế hoạch,B,"A. 掛け時計 (かけどけい - Đồng hồ treo tường), B. 腕時計 (うでどけい - Đồng hồ đeo tay), C. 計算 (けいさん - Tính toán), D. 計画 (けいかく - Kế hoạch)",腕時計をプレゼントします。(Tặng đồng hồ đeo tay.)
Q46,計算 (けいさん),Thiết kế,Đo lường,Tính toán,Kế hoạch,C,"A. 設計 (せっけい - Thiết kế), B. 測る (はかる - Đo), C. 計算 (けいさん - Tính toán), D. 計画 (けいかく - Kế hoạch)",計算が早いです。(Tính toán nhanh.)
Q47,計画 (けいかく),Trận đấu,Kỳ thi,Kế hoạch,Tiểu thuyết,C,"A. 試合 (しあい - Trận đấu), B. 試験 (しけん - Kỳ thi), C. 計画 (けいかく - Kế hoạch), D. 小説 (しょうせつ - Tiểu thuyết)",旅行の計画を立てます。(Lập kế hoạch du lịch.)
Q48,小説 (しょうせつ),Sách giáo khoa,Tiểu thuyết,Giải thích,Bản đồ,B,"A. 教科書 (きょうかしょ - Sách giáo khoa), B. 小説 (しょうせつ - Tiểu thuyết), C. 説明 (せつめい - Giải thích), D. 地図 (ちず - Bản đồ)",恋愛小説を読みます。(Đọc tiểu thuyết tình yêu.)
Q49,説明 (せつめい),Lo lắng,Giải thích,Yên tâm,Kỳ lạ,B,"A. 心配, B. 説明 (せつめい) (Giải thích), C. 安心, D. 不思議 (Kỳ lạ)",先生が文法を説明します。(Giáo viên giải thích ngữ pháp.)
Q50,説明会,Buổi hướng dẫn/giải thích,Kỳ thi,Trận đấu,Nhà máy,A,"A. 説明会 (せつめいかい) (Buổi giải thích), B. 試験 (しけん - Kỳ thi), C. 試合 (しあい - Trận đấu), D. 工場 (こうじょう - Nhà máy)",会社の説明会に行きます。(Đi đến buổi giới thiệu của công ty.)
Q51,説明書,Sách giáo khoa,Bản đồ,Sách hướng dẫn,Tiểu thuyết,C,"A. 教科書 (きょうかしょ - Sách giáo khoa), B. 地図 (ちず - Bản đồ), C. 説明書 (せつめいしょ) (Sách hướng dẫn), D. 小説 (しょうせつ - Tiểu thuyết)",説明書を読んでください。(Hãy đọc sách hướng dẫn.)
Q52,安心します (あんしんします),Lo lắng,Nhớ ra,Nghĩ,"Yên tâm, an tâm",D,"A. 心配する (しんぱいする - Lo lắng), B. 思い出す (おもいだす - Nhớ ra), C. 思う (おもう - Nghĩ), D. 安心する (あんしんする - Yên tâm)",彼の顔を見て安心しました。(Nhìn thấy mặt anh ấy nên tôi an tâm.)
Q53,心配します (しんぱいします),Lo lắng,Yên tâm,Kỳ lạ,Tính cách,A,"A. 心配する (しんぱいする - Lo lắng), B. 安心する (あんしんする - Yên tâm), C. 不思議 (ふしぎ - Kỳ lạ), D. 性格 (せいかく - Tính cách)",母はいつも私を心配します。(Mẹ luôn lo lắng cho tôi.)
Q54,思います (おもいます),Nhớ ra,Lo lắng,"Nghĩ, cảm thấy",Mặc thử,C,"A. 思い出す (おもいだす - Nhớ ra), B. 心配する (しんぱいする - Lo lắng), C. 思う (おもう - Nghĩ), D. 試着する (しちゃくする - Mặc thử)",彼はいい人だと思います。(Tôi nghĩ anh ấy là người tốt.)
Q55,思い出します (おもいだします),Lo lắng,Yên tâm,Nghĩ,Nhớ ra,D,"A. 心配する (しんぱいする - Lo lắng), B. 安心する (あんしんする - Yên tâm), C. 思う (おもう - Nghĩ), D. 思い出す (おもいだす - Nhớ ra)",昔のことを思い出しました。(Tôi đã nhớ ra chuyện ngày xưa.)
Q56,不思議 (ふしぎ),"Kỳ lạ, khó hiểu",An toàn,Nguy hiểm,Đau đớn,A,"A. 不思議 (ふしぎ - Kỳ lạ), B. 安全 (あんぜん - An toàn), C. 危ない (あぶない - Nguy hiểm), D. 痛い (いたい - Đau)",不思議な話を聞きました。(Đã nghe một câu chuyện kỳ lạ.)
Q57,女性 (じょせい),Nam giới,"Nữ giới, phụ nữ",Tính cách,Tương lai,B,"A. 男性 (だんせい - Nam giới), B. 女性 (じょせい - Nữ giới), C. 性格 (せいかく - Tính cách), D. 将来 (しょうらい - Tương lai)",女性用の靴を売っています。(Đang bán giày cho nữ giới.)
Q58,男性 (だんせい),Nữ giới,Trẻ sơ sinh,"Nam giới, đàn ông",Người quen,C,"A. 女性 (じょせい - Nữ giới), B. 赤ちゃん (あかちゃん - Em bé), C. 男性 (だんせい - Nam giới), D. 知り合い (しりあい - Người quen)",男性の客が多いです。(Nhiều khách hàng là nam giới.)
Q59,性格 (せいかく),Tính cách,Tương lai,Giao thông,Hình dáng,A,"A. 性格 (せいかく - Tính cách), B. 将来 (しょうらい - Tương lai), C. 交通 (こうつう - Giao thông), D. 形 (かたち - Hình dáng)",彼女は性格がいいです。(Cô ấy có tính cách tốt.)
Q60,地図 (ちず),Mặt đất,Tàu điện ngầm,Động đất,Bản đồ,D,"A. 地面 (じめん - Mặt đất), B. 地下鉄 (ちかてつ - Tàu điện ngầm), C. 地震 (じしん - Động đất), D. 地図 (ちず - Bản đồ)",地図を見て行きます。(Xem bản đồ rồi đi.)
Q61,Tàu điện ngầm,地下鉄,地面,地震,地図,A,"A. 地下鉄 (ちかてつ) (Tàu điện ngầm), B. Mặt đất, C. Động đất, D. Bản đồ",地下鉄で通勤します。(Đi làm bằng tàu điện ngầm.)
Q62,地面 (じめん),Sân bay,Mặt đất,Bầu trời,Không khí,B,"A. 空港 (くうこう - Sân bay), B. 地面 (じめん - Mặt đất), C. 空, D. 空気 (Không khí)",地面が濡れています。(Mặt đất đang ướt.)
Q63,地震 (じしん) có nghĩa là gì?,Hỏa hoạn,Sấm sét,Bão,Động đất,D,"A. 火事 (かじ - Hỏa hoạn), B. 雷 (かみなり - Sấm sét), C. 台風 (たいふう - Cơn bão), D. 地震 (じしん - Động đất)",日本は地震が多いです。(Nhật Bản có nhiều động đất.)
Q64,池 (いけ),Biển,Sông,Ao,Hồ,C,"A. 海 (うみ - Biển), B. 川 (かわ - Sông), C. 池 (いけ - Ao), D. 湖 (みずうみ - Hồ)",池に魚がいます。(Trong ao có cá.)
Q65,工事 (こうじ),Nhà máy,"Thi công, công trình",Bản đồ,Tính toán,B,"A. 工場 (こうじょう - Nhà máy), B. 工事 (こうじ - Công trình), C. 地図 (ちず - Bản đồ), D. 計算 (けいさん - Tính toán)",今、道路の工事をしています。(Bây giờ đang thi công đường.)
Q66,Nhà máy,空港,工事,工場,池,C,"A. Sân bay, B. Thi công, C. 工場 (こうじょう) (Nhà máy), D. Ao",工場で働いています。(Đang làm việc ở nhà máy.)
Q67,Bầu trời,空,空気,空港,地面,A,"A. 空 (そら) (Bầu trời), B. Không khí, C. Sân bay, D. Mặt đất",空が青いです。(Bầu trời xanh.)
Q68,空港 (くうこう),Nhà ga,Bến xe,Bến cảng,Sân bay,D,"A. 駅 (えき - Nhà ga), B. バス停 (ばすてい - Trạm xe bus), C. 港 (みなと - Bến cảng), D. 空港 (くうこう - Sân bay)",空港へ友達を迎えに行きます。(Đến sân bay đón bạn.)
Q69,空気 (くうき),Thời tiết,Bầu trời,Không khí,Gió,C,"A. 天気 (てんき - Thời tiết), B. 空, C. 空気 (Không khí), D. 風 (かぜ - Gió)",田舎は空気がきれいです。(Ở quê không khí trong lành.)
Q70,Âm On của chữ 試 (THÍ) là gì?,シ,ケイ,セツ,シン,A,"A. シ (Trong 試合 - しあい, 試験 - しけん), B. Kế, C. Thuyết, D. Tâm",試験 (しけん - Kỳ thi).
Q71,Âm On của chữ 計 (KẾ) là gì?,シ,ケイ,セツ,シン,B,"A. Thí, B. ケイ (Trong 時計 - とけい, 計画 - けいかく), C. Thuyết, D. Tâm",計算 (けいさん - Tính toán).
Q72,Âm On của chữ 説 (THUYẾT) là gì?,シ,ケイ,セツ / ゼイ,シン,C,"A. Thí, B. Kế, C. セツ / ゼイ (Trong 小説 - しょうせつ, 説明 - せつめい), D. Tâm",説明 (せつめい - Giải thích).
Q73,Âm On của chữ 心 (TÂM) là gì?,シ,ケイ,セツ,シン,D,"A. Thí, B. Kế, C. Thuyết, D. シン (Trong 安心 - あんしん, 心配 - しんぱい)",心配 (しんぱい - Lo lắng).
Q74,Âm On của chữ 思 (TƯ) là gì?,シン,シ,セイ,チ,B,"A. Tâm, B. シ (Trong 不思議 - ふしぎ), C. Tính, D. Địa",不思議 (ふしぎ - Kỳ lạ).
Q75,Âm On của chữ 性 (TÍNH) là gì?,シン,シ,セイ / ショウ,チ,C,"A. Tâm, B. Tư, C. セイ / ショウ (Trong 女性 - じょせい, 性格 - せいかく), D. Địa",男性 (だんせい - Nam giới).
Q76,Âm On của chữ 地 (ĐỊA) là gì?,チ / ジ,シ,セイ,コウ,A,"A. チ / ジ (Trong 地図 - ちず, 地震 - じしん), B. Tư, C. Tính, D. Công",地面 (じめん - Mặt đất).
Q77,Âm On của chữ 空 (KHÔNG) là gì?,チ,シ,クウ,コウ,C,"A. Địa, B. Tư, C. クウ (Trong 空港 - くうこう, 空気 - くうき), D. Công",空気 (くうき - Không khí).
Q78,Chữ Hán 試着 có cách đọc là gì?,しけん,しあい,しちゃく,せつめい,C,"A. 試験 (しけん - Kỳ thi), B. 試合 (しあい - Trận đấu), C. 試着 (しちゃく) (Mặc thử), D. 説明 (せつめい - Giải thích)",服を試着する。(Mặc thử quần áo.)
Q79,Chữ Hán 腕時計 có cách đọc là gì?,とけい,うでどけい,けいかく,けいさん,B,"A. 時計 (とけい - Đồng hồ), B. 腕時計 (うでどけい) (Đồng hồ đeo tay), C. 計画 (けいかく - Kế hoạch), D. 計算 (けいさん - Tính toán)",腕時計を見る。(Xem đồng hồ đeo tay.)
Q80,Từ vựng 昼寝 (ひるね) có nghĩa là gì?,Ngủ nướng,Thức khuya,Đi ngủ,Ngủ trưa,D,"A. 寝坊 (ねぼう - Ngủ nướng), B. 徹夜 (てつや - Thức khuya), C. 就寝 (しゅうしん - Đi ngủ), D. 昼寝 (ひるね - Ngủ trưa)",子供が昼寝をしています。(Đứa trẻ đang ngủ trưa.)
Q81,Từ trái nghĩa với 負ける (thua) là?,亡くなる,やめる,勝つ,別れる,C,"A. Qua đời, B. Bỏ, C. 勝つ (かつ - thắng) (Thắng), D. Chia tay",試合に勝つ。(Chiến thắng trận đấu.)
Q82,"Khi gặp chuyện giật mình hoặc lo lắng, giới trẻ Nhật hay nói:",まじで,やばい,しかも,お礼,B,"A. Thật á, B. やばい (Chết dở!) (Chết dở), C. Hơn nữa, D. Quà cảm ơn","やばい、遅刻する！(Chết dở, trễ giờ rồi!)"
Q83,Chữ Hán 地下鉄 đọc là gì?,ちず,じめん,じしん,ちかてつ,D,"A. 地図 (ちず - Bản đồ), B. 地面 (じめん - Mặt đất), C. 地震 (じしん - Động đất), D. 地下鉄 (ちかてつ) (Tàu điện ngầm)",地下鉄に乗ります。(Lên tàu điện ngầm.)
Q84,Từ nào sau đây mang nghĩa là Cục pin?,池,電池,電話,時計,B,"A. Ao, B. 電池 (でんち) (Cục pin), C. Điện thoại, D. Đồng hồ",リモコンの電池を替える。(Thay pin điều khiển.)
Q85,引越し（する）có nghĩa là gì?,Di chuyển,Chuyển phát,Chuyển nhà,Vận chuyển,C,"A. 移動 (いどう - Di chuyển), B. 発送 (はっそう - Gửi đi), C. 引越しする (ひっこしする) (Chuyển nhà), D. 運ぶ (はこぶ - Vận chuyển)",新しいアパートに引越しします。(Chuyển nhà đến căn hộ mới.)
Q86,Chữ Hán 女性 đọc là gì?,だんせい,じょせい,せいかく,しょうらい,B,"A. 男性 (だんせい - Nam giới), B. 女性 (じょせい) (Nữ giới), C. 性格 (せいかく - Tính cách), D. 将来 (しょうらい - Tương lai)",彼女は美しい女性です。(Cô ấy là người phụ nữ đẹp.)
Q87,Từ vựng 羨ましい (うらやましい) thuộc loại từ gì?,Danh từ,Động từ nhóm 1,Tính từ đuôi い,Tính từ đuôi な,C,"A. Danh từ, B. Động từ, C. Tính từ đuôi い (うらやましい - ghen tị), D. Tính từ な",羨ましい人生。(Một cuộc đời đáng ghen tị.)
Q88,Chữ Hán 計画 có nghĩa là gì?,Tính toán,Kỳ thi,Kế hoạch,Bản đồ,C,"A. 計算 (けいさん - Tính toán), B. 試験 (しけん - Kỳ thi), C. 計画 (けいかく) (Kế hoạch), D. 地図 (ちず - Bản đồ)",計画を変更します。(Thay đổi kế hoạch.)
Q89,Động từ 生まれる có nghĩa là:,Qua đời,Chia tay,Bán chạy,Được sinh ra,D,"A. 亡くなる (なくなる - Qua đời), B. 別れる (わかれる - Chia tay), C. 売れる (うれる - Bán chạy), D. 生まれる (うまれる) (Được sinh ra)",新しい命が生まれる。(Sinh mệnh mới được sinh ra.)
Q90,Chữ Hán 工事 có cách đọc là:,こうじょう,くうこう,こうじ,くうき,C,"A. 工場 (こうじょう - Nhà máy), B. 空港 (くうこう - Sân bay), C. 工事 (こうじ) (Công trình), D. 空気 (くうき - Không khí)",工事が終わりました。(Công trình đã thi công xong.)
Q91,Ý nghĩa của 思い出します (おもいだします) là:,Nghĩ,Nhớ ra,Lo lắng,Yên tâm,B,"A. 思います (Nghĩ), B. 思い出します (Nhớ ra), C. 心配します (しんぱいします - Lo lắng), D. 安心します (あんしんします - Yên tâm)",彼の名前を思い出しました。(Tôi đã nhớ ra tên anh ấy.)
Q92,Từ vựng 今週末 (こんしゅうまつ) bao gồm những chữ Hán nào?,Kim - Tuần - Mạt,Kế - Tuần - Mạt,Kim - Nhật - Mạt,Kim - Tuần - Bản,A,A. 今 (Kim) 週 (Tuần) 末 (Mạt),今週末は雨が降ります。(Cuối tuần này trời sẽ mưa.)
Q93,オリンピック nghĩa là gì?,Olympic,Bóng đá,Thể thao,Giải thưởng,A,A. オリンピック (Olympic),オリンピックが始まります。(Kỳ thi Olympic bắt đầu.)
Q94,エイプリル・フール là ngày nào?,1/1,14/2,1/4,25/12,C,"A. Tết, B. Valentine, C. Cá tháng Tư (April Fool), D. Noel",4月1日はエイプリル・フールです。(1/4 là ngày Cá tháng Tư.)
Q95,Chữ Hán 説明書 có nghĩa là gì?,Kỳ thi,Tiểu thuyết,Sách hướng dẫn,Sách giáo khoa,C,"A. 試験 (しけん - Kỳ thi), B. 小説 (しょうせつ - Tiểu thuyết), C. 説明書 (せつめいしょ) (Sách hướng dẫn), D. 教科書 (きょうかしょ - Sách giáo khoa)",説明書をなくしました。(Đã làm mất sách hướng dẫn.)
Q96,Từ vựng 交通 (こうつう) có nghĩa là:,Giao thông,Thời tiết,Bản đồ,Nhà máy,A,"A. 交通 (こうつう - Giao thông), B. 天気 (てんき - Thời tiết), C. 地図 (ちず - Bản đồ), D. 工場 (こうじょう - Nhà máy)",交通ルールを守ります。(Tuân thủ luật giao thông.)
Q97,"Khi muốn hỏi 'Thật á?' bằng cách nói suồng sã, ta dùng:",しかも,まじで,やばい,こうやって,B,"A. Hơn nữa, B. まじで (Thật á?), C. Chết dở, D. Làm như thế này","え、まじで？(Hả, thật á?)"
Q98,Chữ Hán 痛い (いたい) có nghĩa là:,Nguy hiểm,Đau,Khó,Dễ,B,"A. 危ない (あぶない - Nguy hiểm), B. 痛い (いたい - Đau), C. 難しい (むずかしい - Khó), D. 易しい (やさしい - Dễ)",胃が痛いです。(Đau dạ dày.)
Q99,Chữ Hán 小説 (しょうせつ) có nghĩa là:,Sách giáo khoa,Truyện tranh,Tiểu thuyết,Tạp chí,C,"A. 教科書 (きょうかしょ - Sách giáo khoa), B. 漫画 (まんが - Truyện tranh), C. 小説 (しょうせつ - Tiểu thuyết), D. 雑誌 (ざっし - Tạp chí)",小説を書きます。(Viết tiểu thuyết.)
Q100,Chữ Hán 性格 (せいかく) có nghĩa là:,Giới tính,Tính cách,Sở thích,Kế hoạch,B,"A. 性別 (せいべつ - Giới tính), B. 性格 (せいかく - Tính cách), C. 趣味 (しゅみ - Sở thích), D. 計画 (けいかく - Kế hoạch)",彼は性格が明るいです。(Anh ấy có tính cách vui vẻ.)
