ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q14,Từ 'タイマー' có nghĩa là gì?,Hẹn giờ,Cảm cúm,"Tủ, giá...",Bán,A,"A. Hẹn giờ (タイマー), B. Cảm cúm (風邪 (かぜ)), C. Tủ, giá... (棚 (たな)), D. Bán (売る (うる))",タイマーをセットします。(Cài đặt hẹn giờ.)
Q15,Từ '変える' có nghĩa là gì?,"Thay đổi, đổi","Cản, ngăn, đỗ (xe)",Chuẩn bị,Mạnh,A,"A. Thay đổi, đổi (変える (かえる)), B. Cản, ngăn, đỗ (xe) (止める (とめる)), C. Chuẩn bị (用意する (よういする)), D. Mạnh (強い (つよい))",髪の色を変えます。(Thay đổi màu tóc.)
Q16,Từ '沸かす' có nghĩa là gì?,Làm nóng (bồn tắm); đun (nước sôi),Làm rách,"Làm rơi, đánh rơi","Giúp đỡ, cứu",A,"A. Làm nóng (bồn tắm); đun (nước sôi) (沸かす (わかす)), B. Làm rách (破る (やぶる)), C. Làm rơi, đánh rơi (落とす (おとす)), D. Giúp đỡ, cứu (助ける (たすける))",お湯を沸かします。(Đun nước sôi.)
Q17,Từ '勉強' có nghĩa là gì?,Chữa khỏi,"Làm rơi, đánh rơi",Học tập,Chữ Hán,C,"A. Chữa khỏi (治す (なおす)), B. Làm rơi, đánh rơi (落とす (おとす)), C. Học tập (勉強 (べんきょう)), D. Chữ Hán (漢字 (かんじ))",日本語の勉強をしています。(Đang học tiếng Nhật.)
Q18,Từ '寝室' có nghĩa là gì?,"Thay đổi, đổi","Tôi, tớ (đại từ nam giới)",Căng thẳng,Phòng ngủ,D,"A. Thay đổi, đổi (変える (かえる)), B. Tôi, tớ (đại từ nam giới) (僕 (ぼく)), C. Căng thẳng (緊張する (きんちょうする)), D. Phòng ngủ (寝室 (しんしつ))",寝室で寝ます。(Ngủ ở phòng ngủ.)
Q19,Từ '落とす' có nghĩa là gì?,Dầu,Đồ chơi xếp hình,"Làm rơi, đánh rơi",Được treo,C,"A. Dầu (油 (あぶら)), B. Đồ chơi xếp hình (パズル), C. Làm rơi, đánh rơi (落とす (おとす)), D. Được treo (かかる)",財布を落としました。(Tôi đã đánh rơi ví.)
Q20,Từ '冷える' có nghĩa là gì?,Làm bẩn,Lạnh,Chữ Hán,Hẹn giờ,B,"A. Làm bẩn (汚す (よごす)), B. Lạnh (冷える (ひえる)), C. Chữ Hán (漢字 (かんじ)), D. Hẹn giờ (タイマー)",ビールが冷えています。(Bia đang lạnh.)
Q21,Từ '発見' có nghĩa là gì?,Gió,"Phát kiến, phát hiện",Phòng ngủ,"Cản, ngăn, đỗ (xe)",B,"A. Gió (風 (かぜ)), B. Phát kiến, phát hiện (発見 (はっけん)), C. Phòng ngủ (寝室 (しんしつ)), D. Cản, ngăn, đỗ (xe) (止める (とめる))",新しい星を発見しました。(Đã phát hiện ra ngôi sao mới.)
Q22,Từ 'データ' có nghĩa là gì?,Màu vàng,Dữ liệu,"Côn trùng, con sâu","Tôi, tớ (đại từ nam giới)",B,"A. Màu vàng (黄色 (きいろ)), B. Dữ liệu (データ), C. Côn trùng, con sâu (虫 (むし)), D. Tôi, tớ (đại từ nam giới) (僕 (ぼく))",パソコンのデータを保存します。(Lưu dữ liệu máy tính.)
Q23,Từ '漢字' có nghĩa là gì?,Chữ Hán,Chuẩn bị,"Ấm lên, nóng lên",Trang trí,A,"A. Chữ Hán (漢字 (かんじ)), B. Chuẩn bị (用意する (よういする)), C. Ấm lên, nóng lên (暖まる (あたたまる)), D. Trang trí (飾る (かざる))",漢字を書くのは難しいです。(Viết chữ Hán rất khó.)
Q24,Từ '発明' có nghĩa là gì?,Phát minh,Cảm cúm,Chuẩn bị,Chữ Hán,A,"A. Phát minh (発明 (はつめい)), B. Cảm cúm (風邪 (かぜ)), C. Chuẩn bị (用意する (よういする)), D. Chữ Hán (漢字 (かんじ))",新しい機械を発明します。(Phát minh ra máy móc mới.)
Q25,Từ 'つく' có nghĩa là gì?,Đồ chơi xếp hình,"(Điện, đèn...) bật",Màu sắc,Làm hỏng,B,"A. Đồ chơi xếp hình (パズル), B. (Điện, đèn...) bật (つく), C. Màu sắc (色 (いろ)), D. Làm hỏng (壊す (こわす))",部屋の電気がつきました。(Đèn trong phòng đã bật.)
Q26,Từ '勉強します' có nghĩa là gì?,Làm hỏng,Chữ Hán,Học,Cảm cúm,C,"A. Làm hỏng (壊す (こわす)), B. Chữ Hán (漢字 (かんじ)), C. Học (勉強します (べんきょうします)), D. Cảm cúm (風邪 (かぜ))",図書館で勉強します。(Học ở thư viện.)
Q27,Từ '捨てる' có nghĩa là gì?,Màu nâu,Vứt,Được treo,Bởi vì...,B,"A. Màu nâu (茶色 (ちゃいろ)), B. Vứt (捨てる (すてる)), C. Được treo (かかる), D. Bởi vì... (だって)",ゴミを捨てます。(Vứt rác.)
Q28,Từ '並べる' có nghĩa là gì?,〜 ấy nhỉ?,Dữ liệu,Sắp xếp,"Dự định, kế hoạch",C,"A. 〜 ấy nhỉ? (〜っけ), B. Dữ liệu (データ), C. Sắp xếp (並べる (ならべる)), D. Dự định, kế hoạch (予定 (よてい))",机を並べます。(Sắp xếp bàn ghế.)
Q29,Từ '黄色い' có nghĩa là gì?,Được thay đổi,"Thay đổi, đổi",Vàng (tính từ),Màu sắc,C,"A. Được thay đổi (変わる (かわる)), B. Thay đổi, đổi (変える (かえる)), C. Vàng (tính từ) (黄色い (きいろい)), D. Màu sắc (色 (いろ))",黄色いシャツを着ます。(Mặc áo sơ mi vàng.)
Q30,Từ '茶色' có nghĩa là gì?,Cơm tối,"Để nguyên, giữ nguyên như thế",Màu nâu,Bán,C,"A. Cơm tối (晩ご飯 (ばんごはん)), B. Để nguyên, giữ nguyên như thế (そのままで), C. Màu nâu (茶色 (ちゃいろ)), D. Bán (売る (うる))",茶色の靴を買いました。(Đã mua đôi giày màu nâu.)
Q31,Từ '動く' có nghĩa là gì?,Vàng (tính từ),Bởi vì...,"Di chuyển, chuyển động","Hàng tối, mỗi tối",C,"A. Vàng (tính từ) (黄色い (きいろい)), B. Bởi vì... (だって), C. Di chuyển, chuyển động (動く (うごく)), D. Hàng tối, mỗi tối (毎晩 (まいばん))",エレベーターが動きます。(Thang máy chuyển động.)
Q32,Từ '壊す' có nghĩa là gì?,Trồng (cây),Màu vàng,Căng thẳng,Làm hỏng,D,"A. Trồng (cây) (植える (うえる)), B. Màu vàng (黄色 (きいろ)), C. Căng thẳng (緊張する (きんちょうする)), D. Làm hỏng (壊す (こわす))",時計を壊しました。(Làm hỏng đồng hồ.)
Q33,Từ '今晩' có nghĩa là gì?,Trang trí,Tối nay,Phong cảnh,Quyết định (cái gì đó),B,"A. Trang trí (飾る (かざる)), B. Tối nay (今晩 (こんばん)), C. Phong cảnh (景色 (けしき)), D. Quyết định (cái gì đó) (決めます (きめます))",今晩、映画を見ます。(Tối nay sẽ xem phim.)
Q34,Từ '風' có nghĩa là gì?,Gió,Vàng (tính từ),Dữ liệu,Làm hỏng,A,"A. Gió (風 (かぜ)), B. Vàng (tính từ) (黄色い (きいろい)), C. Dữ liệu (データ), D. Làm hỏng (壊す (こわす))",強い風が吹いています。(Gió thổi mạnh.)
Q35,Từ '虫' có nghĩa là gì?,"Côn trùng, con sâu",Thần tượng,Đồ chơi xếp hình,Dán,A,"A. Côn trùng, con sâu (虫 (むし)), B. Thần tượng (アイドル), C. Đồ chơi xếp hình (パズル), D. Dán (貼る (はる))",虫が飛んでいます。(Côn trùng đang bay.)
Q36,Từ '決まります' có nghĩa là gì?,Dầu,"Hàng tối, mỗi tối","Được nuôi nấng; lớn lên, trưởng thành",(cái gì đó) Được quyết định,D,"A. Dầu (油 (あぶら)), B. Hàng tối, mỗi tối (毎晩 (まいばん)), C. Được nuôi nấng; lớn lên, trưởng thành (育つ (そだつ)), D. (cái gì đó) Được quyết định (決まります (きまります))",会議の日が決まりました。(Ngày họp đã được quyết định.)
Q37,Từ '植える' có nghĩa là gì?,Đầy đủ,Trồng (cây),Màu nâu,Cảm cúm,B,"A. Đầy đủ (ちゃんと), B. Trồng (cây) (植える (うえる)), C. Màu nâu (茶色 (ちゃいろ)), D. Cảm cúm (風邪 (かぜ))",庭に花を植えます。(Trồng hoa trong vườn.)
Q38,Từ '緊張する' có nghĩa là gì?,"Khỏi (bệnh, ốm)",Dầu,Căng thẳng,Quyết định (cái gì đó),C,"A. Khỏi (bệnh, ốm) (治る (なおる)), B. Dầu (油 (あぶら)), C. Căng thẳng (緊張する (きんちょうする)), D. Quyết định (cái gì đó) (決めます (きめます))",面接で緊張しました。(Tôi đã căng thẳng trong buổi phỏng vấn.)
Q39,Từ '汚す' có nghĩa là gì?,Bắt đầu,Được treo,Cơm tối,Làm bẩn,D,"A. Bắt đầu (開始する (かいしする)), B. Được treo (かかる), C. Cơm tối (晩ご飯 (ばんごはん)), D. Làm bẩn (汚す (よごす))",服を汚してしまいました。(Tôi lỡ làm bẩn quần áo.)
Q40,Từ '色' có nghĩa là gì?,Phong cảnh,Bán,Màu sắc,Chữ Hán,C,"A. Phong cảnh (景色 (けしき)), B. Bán (売る (うる)), C. Màu sắc (色 (いろ)), D. Chữ Hán (漢字 (かんじ))",好きな色は何ですか。(Bạn thích màu gì?)
Q41,Từ '大切' có nghĩa là gì?,Màu vàng,"Hàng tối, mỗi tối",Học tập,Quan trọng,D,"A. Màu vàng (黄色 (きいろ)), B. Hàng tối, mỗi tối (毎晩 (まいばん)), C. Học tập (勉強 (べんきょう)), D. Quan trọng (大切 (たいせつ))",家族は大切です。(Gia đình là quan trọng.)
Q42,Từ 'パズル' có nghĩa là gì?,"(Nước bồn tắm) nóng lên, (nước) sôi lên",Đồ chơi xếp hình,Bắt đầu,Lạnh,B,"A. (Nước bồn tắm) nóng lên, (nước) sôi lên (沸く (わく)), B. Đồ chơi xếp hình (パズル), C. Bắt đầu (開始する (かいしする)), D. Lạnh (冷える (ひえる))",子供がパズルで遊んでいます。(Đứa trẻ đang chơi xếp hình.)
Q43,Từ '植わる' có nghĩa là gì?,Thần tượng,Được trồng,"Cản, ngăn, đỗ (xe)","Tủ, giá...",B,"A. Thần tượng (アイドル), B. Được trồng (植わる (うわる)), C. Cản, ngăn, đỗ (xe) (止める (とめる)), D. Tủ, giá... (棚 (たな))",庭に木が植わっています。(Cây được trồng trong vườn.)
Q44,Từ '用意する' có nghĩa là gì?,"Di chuyển, chuyển động","Giúp đỡ, cứu",Thần tượng,Chuẩn bị,D,"A. Di chuyển, chuyển động (動く (うごく)), B. Giúp đỡ, cứu (助ける (たすける)), C. Thần tượng (アイドル), D. Chuẩn bị (用意する (よういする))",パーティーの用意をします。(Chuẩn bị cho bữa tiệc.)
Q45,Từ '結構' có nghĩa là gì?,Mở bán,"Khá ~, tương đối ~","Dự định, kế hoạch",Làm nóng (bồn tắm); đun (nước sôi),B,"A. Mở bán (発売 (はつばい)), B. Khá ~, tương đối ~ (結構 (けっこう)), C. Dự định, kế hoạch (予定 (よてい)), D. Làm nóng (bồn tắm); đun (nước sôi) (沸かす (わかす))",この料理は結構美味しいです。(Món này khá ngon.)
Q46,Từ '割る' có nghĩa là gì?,Làm vỡ,Trang trí,Học,Bão,A,"A. Làm vỡ (割る (わる)), B. Trang trí (飾る (かざる)), C. Học (勉強します (べんきょうします)), D. Bão (台風 (たいふう))",コップを割ってしまいました。(Tôi lỡ làm vỡ cái cốc.)
Q47,Từ '〜っけ' có nghĩa là gì?,"(Nước bồn tắm) nóng lên, (nước) sôi lên",〜 ấy nhỉ?,"Làm khô, hong khô",Được treo,B,"A. (Nước bồn tắm) nóng lên, (nước) sôi lên (沸く (わく)), B. 〜 ấy nhỉ? (〜っけ), C. Làm khô, hong khô (乾かす (かわかす)), D. Được treo (かかる)",明日のテストは何時だっけ？(Bài kiểm tra ngày mai lúc mấy giờ ấy nhỉ?)
Q48,Từ '育つ' có nghĩa là gì?,Gió,Lạnh,"Được nuôi nấng; lớn lên, trưởng thành","Để nguyên, giữ nguyên như thế",C,"A. Gió (風 (かぜ)), B. Lạnh (冷える (ひえる)), C. Được nuôi nấng; lớn lên, trưởng thành (育つ (そだつ)), D. Để nguyên, giữ nguyên như thế (そのままで)",子供が元気に育ちます。(Đứa trẻ lớn lên khỏe mạnh.)
Q49,Từ '変わる' có nghĩa là gì?,Được thay đổi,Dữ liệu,Làm hỏng,"Tủ, giá...",A,"A. Được thay đổi (変わる (かわる)), B. Dữ liệu (データ), C. Làm hỏng (壊す (こわす)), D. Tủ, giá... (棚 (たな))",信号が赤に変わりました。(Đèn giao thông đã chuyển sang màu đỏ.)
Q50,Từ '予定' có nghĩa là gì?,"Tôi, tớ (đại từ nam giới)","Dự định, kế hoạch",Chữa khỏi,Quyết định (cái gì đó),B,"A. Tôi, tớ (đại từ nam giới) (僕 (ぼく)), B. Dự định, kế hoạch (予定 (よてい)), C. Chữa khỏi (治す (なおす)), D. Quyết định (cái gì đó) (決めます (きめます))",休みの予定を立てます。(Lập kế hoạch cho ngày nghỉ.)
Q51,Từ nào sau đây có nghĩa là 'Vứt'?,決まります,捨てる,沸かす,飾る,B,"A. 決まります (きまります - (cái gì đó) Được quyết định), B. 捨てる (すてる - Vứt), C. 沸かす (わかす - Làm nóng (bồn tắm); đun (nước sôi)), D. 飾る (かざる - Trang trí)",ゴミを捨てます。(Vứt rác.)
Q52,Từ nào sau đây có nghĩa là 'Phong cảnh'?,発売,景色,動く,用意する,B,"A. 発売 (はつばい - Mở bán), B. 景色 (けしき - Phong cảnh), C. 動く (うごく - Di chuyển, chuyển động), D. 用意する (よういする - Chuẩn bị)",山からの景色がきれいです。(Phong cảnh từ trên núi rất đẹp.)
Q53,Từ nào sau đây có nghĩa là 'Phòng ngủ'?,毎晩,寝室,茶色,変える,B,"A. 毎晩 (まいばん - Hàng tối, mỗi tối), B. 寝室 (しんしつ - Phòng ngủ), C. 茶色 (ちゃいろ - Màu nâu), D. 変える (かえる - Thay đổi, đổi)",寝室で寝ます。(Ngủ ở phòng ngủ.)
Q54,Từ nào sau đây có nghĩa là 'Bởi vì...'?,治る,決めます,風邪,だって,D,"A. 治る (なおる - Khỏi (bệnh, ốm)), B. 決めます (きめます - Quyết định (cái gì đó)), C. 風邪 (かぜ - Cảm cúm), D. だって (Bởi vì...)",だって、雨が降っているから。(Bởi vì trời đang mưa mà.)
Q55,Từ nào sau đây có nghĩa là 'Dầu'?,暖まる,大切,油,風,C,"A. 暖まる (あたたまる - Ấm lên, nóng lên), B. 大切 (たいせつ - Quan trọng), C. 油 (あぶら - Dầu), D. 風 (かぜ - Gió)",油で野菜を炒めます。(Xào rau bằng dầu.)
Q56,Từ nào sau đây có nghĩa là 'Trang trí'?,飾る,〜っけ,暖まる,発売,A,"A. 飾る (かざる - Trang trí), B. 〜っけ (〜 ấy nhỉ?), C. 暖まる (あたたまる - Ấm lên, nóng lên), D. 発売 (はつばい - Mở bán)",部屋に花を飾ります。(Trang trí hoa trong phòng.)
Q57,Từ nào sau đây có nghĩa là 'Màu sắc'?,色,発見,割る,発売,A,"A. 色 (いろ - Màu sắc), B. 発見 (はっけん - Phát kiến, phát hiện), C. 割る (わる - Làm vỡ), D. 発売 (はつばい - Mở bán)",好きな色は何ですか。(Bạn thích màu gì?)
Q58,Từ nào sau đây có nghĩa là 'Màu nâu'?,発音,茶色,止める,景色,B,"A. 発音 (はつおん - Phát âm), B. 茶色 (ちゃいろ - Màu nâu), C. 止める (とめる - Cản, ngăn, đỗ (xe)), D. 景色 (けしき - Phong cảnh)",茶色の靴を買いました。(Đã mua đôi giày màu nâu.)
Q59,Từ nào sau đây có nghĩa là 'Gió'?,発音,寝室,風,沸かす,C,"A. 発音 (はつおん - Phát âm), B. 寝室 (しんしつ - Phòng ngủ), C. 風 (かぜ - Gió), D. 沸かす (わかす - Làm nóng (bồn tắm); đun (nước sôi))",強い風が吹いています。(Gió thổi mạnh.)
Q60,Từ nào sau đây có nghĩa là 'Màu sắc'?,僕,今晩,売る,色,D,"A. 僕 (ぼく - Tôi, tớ (đại từ nam giới)), B. 今晩 (こんばん - Tối nay), C. 売る (うる - Bán), D. 色 (いろ - Màu sắc)",好きな色は何ですか。(Bạn thích màu gì?)
Q61,Từ nào sau đây có nghĩa là 'Đầy đủ'?,ちゃんと,落とす,建つ,油,A,"A. ちゃんと (Đầy đủ), B. 落とす (おとす - Làm rơi, đánh rơi), C. 建つ (たつ - Được xây dựng), D. 油 (あぶら - Dầu)",毎日ちゃんと食べます。(Mỗi ngày đều ăn đầy đủ.)
Q62,"Từ nào sau đây có nghĩa là 'Thay đổi, đổi'?",変える,用意する,そのままで,〜っけ,A,"A. 変える (かえる - Thay đổi, đổi), B. 用意する (よういする - Chuẩn bị), C. そのままで (Để nguyên, giữ nguyên như thế), D. 〜っけ (〜 ấy nhỉ?)",髪の色を変えます。(Thay đổi màu tóc.)
Q63,Từ nào sau đây có nghĩa là 'Phòng ngủ'?,治る,暖まる,景色,寝室,D,"A. 治る (なおる - Khỏi (bệnh, ốm)), B. 暖まる (あたたまる - Ấm lên, nóng lên), C. 景色 (けしき - Phong cảnh), D. 寝室 (しんしつ - Phòng ngủ)",寝室で寝ます。(Ngủ ở phòng ngủ.)
Q64,Từ nào sau đây có nghĩa là 'Phát minh'?,だって,晩ご飯,沸かす,発明,D,"A. だって (Bởi vì...), B. 晩ご飯 (ばんごはん - Cơm tối), C. 沸かす (わかす - Làm nóng (bồn tắm); đun (nước sôi)), D. 発明 (はつめい - Phát minh)",新しい機械を発明します。(Phát minh ra máy móc mới.)
Q65,Từ nào sau đây có nghĩa là 'Mở bán'?,壊す,かかる,消す,発売,D,"A. 壊す (こわす - Làm hỏng), B. かかる (Được treo), C. 消す (けす - Tắt / xóa), D. 発売 (はつばい - Mở bán)",新しいゲームが発売されました。(Game mới đã được mở bán.)
Q66,"Từ nào sau đây có nghĩa là 'Cản, ngăn, đỗ (xe)'?",景色,アイドル,植わる,止める,D,"A. 景色 (けしき - Phong cảnh), B. アイドル (Thần tượng), C. 植わる (うわる - Được trồng), D. 止める (とめる - Cản, ngăn, đỗ (xe))",ここに車を止めます。(Đỗ xe ở đây.)
Q67,Từ nào sau đây có nghĩa là 'Vàng (tính từ)'?,植わる,黄色い,並べる,アイドル,B,"A. 植わる (うわる - Được trồng), B. 黄色い (きいろい - Vàng (tính từ)), C. 並べる (ならべる - Sắp xếp), D. アイドル (Thần tượng)",黄色いシャツを着ます。(Mặc áo sơ mi vàng.)
Q68,Từ nào sau đây có nghĩa là 'Được treo'?,かかる,パズル,発見,決めます,A,"A. かかる (Được treo), B. パズル (Đồ chơi xếp hình), C. 発見 (はっけん - Phát kiến, phát hiện), D. 決めます (きめます - Quyết định (cái gì đó))",壁に絵がかかっています。(Bức tranh được treo trên tường.)
Q69,"Từ nào sau đây có nghĩa là 'Khỏi (bệnh, ốm)'?",治る,建つ,壊す,僕,A,"A. 治る (なおる - Khỏi (bệnh, ốm)), B. 建つ (たつ - Được xây dựng), C. 壊す (こわす - Làm hỏng), D. 僕 (ぼく - Tôi, tớ (đại từ nam giới))",風邪が治りました。(Bệnh cảm đã khỏi.)
Q70,Từ nào sau đây có nghĩa là 'Bắt đầu'?,開始する,発明,茶色,漢字,A,"A. 開始する (かいしする - Bắt đầu), B. 発明 (はつめい - Phát minh), C. 茶色 (ちゃいろ - Màu nâu), D. 漢字 (かんじ - Chữ Hán)",テストを開始します。(Bắt đầu bài kiểm tra.)
Q71,Từ nào sau đây có nghĩa là 'Mạnh'?,漢字,データ,晩ご飯,強い,D,"A. 漢字 (かんじ - Chữ Hán), B. データ (Dữ liệu), C. 晩ご飯 (ばんごはん - Cơm tối), D. 強い (つよい - Mạnh)",彼は力が強いです。(Anh ấy có sức mạnh lớn.)
Q72,Từ nào sau đây có nghĩa là 'Mạnh'?,景色,パズル,強い,植える,C,"A. 景色 (けしき - Phong cảnh), B. パズル (Đồ chơi xếp hình), C. 強い (つよい - Mạnh), D. 植える (うえる - Trồng (cây))",彼は力が強いです。(Anh ấy có sức mạnh lớn.)
Q73,Từ nào sau đây có nghĩa là 'Chữa khỏi'?,貼る,治す,消す,虫,B,"A. 貼る (はる - Dán), B. 治す (なおす - Chữa khỏi), C. 消す (けす - Tắt / xóa), D. 虫 (むし - Côn trùng, con sâu)",薬を飲んで風邪を治します。(Uống thuốc để chữa khỏi cảm.)
Q74,Từ nào sau đây có nghĩa là 'Thần tượng'?,石油,暖まる,アイドル,出発,C,"A. 石油 (せきゆ - Dầu mỏ), B. 暖まる (あたたまる - Ấm lên, nóng lên), C. アイドル (Thần tượng), D. 出発 (しゅっぱつ - Xuất phát)",彼女は人気のアイドルです。(Cô ấy là thần tượng được yêu thích.)
Q75,"Từ nào sau đây có nghĩa là 'Di chuyển, chuyển động'?",パズル,治る,動く,捨てる,C,"A. パズル (Đồ chơi xếp hình), B. 治る (なおる - Khỏi (bệnh, ốm)), C. 動く (うごく - Di chuyển, chuyển động), D. 捨てる (すてる - Vứt)",エレベーターが動きます。(Thang máy chuyển động.)
Q76,"Từ nào sau đây có nghĩa là 'Khá ~, tương đối ~'?",〜っけ,変える,乾かす,結構,D,"A. 〜っけ (〜 ấy nhỉ?), B. 変える (かえる - Thay đổi, đổi), C. 乾かす (かわかす - Làm khô, hong khô), D. 結構 (けっこう - Khá ~, tương đối ~)",この料理は結構美味しいです。(Món này khá ngon.)
Q77,Từ nào sau đây có nghĩa là 'Cảm cúm'?,風邪,パズル,強い,治す,A,"A. 風邪 (かぜ - Cảm cúm), B. パズル (Đồ chơi xếp hình), C. 強い (つよい - Mạnh), D. 治す (なおす - Chữa khỏi)",風邪を引きました。(Đã bị cảm cúm.)
Q78,Từ nào sau đây có nghĩa là '〜 ấy nhỉ?'?,〜っけ,台風,売る,破る,A,"A. 〜っけ (〜 ấy nhỉ?), B. 台風 (たいふう - Bão), C. 売る (うる - Bán), D. 破る (やぶる - Làm rách)",明日のテストは何時だっけ？(Bài kiểm tra ngày mai lúc mấy giờ ấy nhỉ?)
Q79,"Từ nào sau đây có nghĩa là 'Phát kiến, phát hiện'?",並べる,漢字,発見,壊す,C,"A. 並べる (ならべる - Sắp xếp), B. 漢字 (かんじ - Chữ Hán), C. 発見 (はっけん - Phát kiến, phát hiện), D. 壊す (こわす - Làm hỏng)",新しい星を発見しました。(Đã phát hiện ra ngôi sao mới.)
Q80,Từ nào sau đây có nghĩa là 'Trồng (cây)'?,植える,治す,色んな,暖まる,A,"A. 植える (うえる - Trồng (cây)), B. 治す (なおす - Chữa khỏi), C. 色んな (いろんな - Nhiều (loại)), D. 暖まる (あたたまる - Ấm lên, nóng lên)",庭に花を植えます。(Trồng hoa trong vườn.)
Q81,Từ nào sau đây có nghĩa là 'Màu nâu'?,勉強,黄色い,沸かす,茶色,D,"A. 勉強 (べんきょう - Học tập), B. 黄色い (きいろい - Vàng (tính từ)), C. 沸かす (わかす - Làm nóng (bồn tắm); đun (nước sôi)), D. 茶色 (ちゃいろ - Màu nâu)",茶色の靴を買いました。(Đã mua đôi giày màu nâu.)
