ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q15,Từ '法律' có nghĩa là gì?,Nhà nghiên cứu,Đeo (kính),Sản phẩm,Pháp luật,D,"A. Nhà nghiên cứu (研究者 (けんきゅうしゃ)), B. Đeo (kính) (かける), C. Sản phẩm (商品 (しょうひん)), D. Pháp luật (法律 (ほうりつ))",大学で法律を学びます。(Học pháp luật ở trường đại học.)
Q16,Từ '歩きます' có nghĩa là gì?,Đi bộ,"Ngừng, dừng lại, tạnh (mưa)",Ý nghĩa,"Hủy bỏ, ngừng (giữa chừng)",A,"A. Đi bộ (歩きます (あるきます)), B. Ngừng, dừng lại, tạnh (mưa) (止みます (やみます)), C. Ý nghĩa (意味 (いみ)), D. Hủy bỏ, ngừng (giữa chừng) (中止 (ちゅうし))",公園を歩きます。(Đi bộ trong công viên.)
Q17,Từ '止みます' có nghĩa là gì?,Mùi vị,Y tá,"Ngừng, dừng lại, tạnh (mưa)",Sự nghiên cứu,C,"A. Mùi vị (味 (あじ)), B. Y tá (看護師 (かんごし)), C. Ngừng, dừng lại, tạnh (mưa) (止みます (やみます)), D. Sự nghiên cứu (研究 (けんきゅう))",雨が止みます。(Mưa tạnh.)
Q18,Từ '仕方がない' có nghĩa là gì?,Hứng thú,(Màu) xanh da trời,Vòng cổ,Không có cách nào,D,"A. Hứng thú (興味 (きょうみ)), B. (Màu) xanh da trời (青い (あおい)), C. Vòng cổ (ネックレス), D. Không có cách nào (仕方がない (しかたがない))",雨だから仕方がない。(Trời mưa nên không còn cách nào khác.)
Q19,Từ 'ねえ' có nghĩa là gì?,Tăng lên,Áo khoác,Này (từ để gọi người thân quen),Đi bộ,C,"A. Tăng lên (増える (ふえる)), B. Áo khoác (上着 (うわぎ)), C. Này (từ để gọi người thân quen) (ねえ), D. Đi bộ (歩きます (あるきます))","ねえ、ちょっと聞いて。(Này, nghe tôi nói một chút.)"
Q20,Từ '化粧品' có nghĩa là gì?,Người giàu có,Mỹ phẩm,Ý nghĩa,Tôi xin phép làm phiền nhé,B,"A. Người giàu có (お金持ち (おかねもち)), B. Mỹ phẩm (化粧品 (けしょうひん)), C. Ý nghĩa (意味 (いみ)), D. Tôi xin phép làm phiền nhé (お邪魔します (おじゃまします))",デパートで化粧品を買います。(Mua mỹ phẩm ở cửa hàng bách hóa.)
Q21,Từ '黄色い' có nghĩa là gì?,(Màu) vàng,Tăng lên,Tháo ~,Hứng thú,A,"A. (Màu) vàng (黄色い (きいろい)), B. Tăng lên (増える (ふえる)), C. Tháo ~ (外す (はずす)), D. Hứng thú (興味 (きょうみ))",黄色い花が咲きました。(Bông hoa màu vàng đã nở.)
Q22,Từ 'はく' có nghĩa là gì?,"Tất, đôi tất",Áo khoác,Hiệu thuốc,"Mặc (quần, váy...); đi (tất, giày...)",D,"A. Tất, đôi tất (靴下 (くつした)), B. Áo khoác (上着 (うわぎ)), C. Hiệu thuốc (ドラッグストア), D. Mặc (quần, váy...); đi (tất, giày...) (はく)",ズボンをはきます。(Mặc quần.)
Q23,Từ '外す' có nghĩa là gì?,Tháo ~,Xuất khẩu,"Quàng, quấn",Mỹ phẩm,A,"A. Tháo ~ (外す (はずす)), B. Xuất khẩu (輸出する (ゆしゅつする)), C. Quàng, quấn (巻く (まく)), D. Mỹ phẩm (化粧品 (けしょうひん))",時計を外します。(Tháo đồng hồ.)
Q24,Từ '見つける' có nghĩa là gì?,Tìm thấy,Mùi vị,(Màu) xanh da trời,Khuyên tai,A,"A. Tìm thấy (見つける (みつける)), B. Mùi vị (味 (あじ)), C. (Màu) xanh da trời (青い (あおい)), D. Khuyên tai (ピアス)",なくした時計を見つけました。(Tôi đã tìm thấy chiếc đồng hồ bị mất.)
Q25,Từ '信号' có nghĩa là gì?,Trẻ,Lý do,"Kính râm, kính mát","Tín hiệu, đèn giao thông",D,"A. Trẻ (若い (わかい)), B. Lý do (理由 (りゆう)), C. Kính râm, kính mát (サングラス), D. Tín hiệu, đèn giao thông (信号 (しんごう))",信号が赤になりました。(Đèn giao thông đã chuyển sang màu đỏ.)
Q26,Từ '青い' có nghĩa là gì?,Nghiên cứu,Áo khoác,(Màu) xanh da trời,Sản phẩm,C,"A. Nghiên cứu (研究する (けんきゅうする)), B. Áo khoác (上着 (うわぎ)), C. (Màu) xanh da trời (青い (あおい)), D. Sản phẩm (商品 (しょうひん))",青い空がきれいです。(Bầu trời xanh thật đẹp.)
Q27,Từ '使います' có nghĩa là gì?,Xuất khẩu,Sử dụng,"Có khi nào, có lẽ nào","Hủy bỏ, ngừng (giữa chừng)",B,"A. Xuất khẩu (輸出する (ゆしゅつする)), B. Sử dụng (使います (つかいます)), C. Có khi nào, có lẽ nào (もしかして), D. Hủy bỏ, ngừng (giữa chừng) (中止 (ちゅうし))",パソコンを使います。(Sử dụng máy tính.)
Q28,Từ '被る' có nghĩa là gì?,Nhập khẩu,Đội ~,Tìm thấy,Tôi xin phép làm phiền nhé,B,"A. Nhập khẩu (輸入する (ゆにゅうする)), B. Đội ~ (被る (かぶる)), C. Tìm thấy (見つける (みつける)), D. Tôi xin phép làm phiền nhé (お邪魔します (おじゃまします))",帽子を被ります。(Đội mũ.)
Q29,Từ '靴下' có nghĩa là gì?,"Tất, đôi tất","Mặc (quần, váy...); đi (tất, giày...)",Sử dụng,Người cao tuổi,A,"A. Tất, đôi tất (靴下 (くつした)), B. Mặc (quần, váy...); đi (tất, giày...) (はく), C. Sử dụng (使います (つかいます)), D. Người cao tuổi (お年寄り (おとしより))",新しい靴下をはきます。(Đi đôi tất mới.)
Q30,Từ '〜について' có nghĩa là gì?,Sử dụng (cách nói trang trọng),Giảm xuống,"Về ~ (chủ đề, vấn đề nào đó)",Lý do,C,"A. Sử dụng (cách nói trang trọng) (使用します (しようします)), B. Giảm xuống (減る (へる)), C. Về ~ (chủ đề, vấn đề nào đó) (〜について), D. Lý do (理由 (りゆう))",日本の文化について発表します。(Phát biểu về văn hóa Nhật Bản.)
Q31,Từ '暗証番号' có nghĩa là gì?,Nhập khẩu,Mỹ phẩm,Mật khẩu,Sản phẩm,C,"A. Nhập khẩu (輸入する (ゆにゅうする)), B. Mỹ phẩm (化粧品 (けしょうひん)), C. Mật khẩu (暗証番号 (あんしょうばんごう)), D. Sản phẩm (商品 (しょうひん))",暗証番号を入力します。(Nhập mật khẩu.)
Q32,Từ '後で' có nghĩa là gì?,Màu nâu,Pha (cà phê),"Chốc nữa, lát nữa",(Màu) nâu,C,"A. Màu nâu (茶色 (ちゃいろ)), B. Pha (cà phê) (いれる), C. Chốc nữa, lát nữa (後で (あとで)), D. (Màu) nâu (茶色い (ちゃいろい))",後で電話します。(Lát nữa tôi sẽ gọi điện.)
Q33,Từ 'ドラッグストア' có nghĩa là gì?,Này (từ để gọi người thân quen),Số điện thoại,Người giúp việc nhà,Hiệu thuốc,D,"A. Này (từ để gọi người thân quen) (ねえ), B. Số điện thoại (電話番号 (でんわばんごう)), C. Người giúp việc nhà (メイド), D. Hiệu thuốc (ドラッグストア)",ドラッグストアで薬を買います。(Mua thuốc ở hiệu thuốc.)
Q34,Từ '散歩します' có nghĩa là gì?,"Đi dạo, tản bộ",Sử dụng,"Về ~ (chủ đề, vấn đề nào đó)",Tìm thấy,A,"A. Đi dạo, tản bộ (散歩します (さんぽします)), B. Sử dụng (使います (つかいます)), C. Về ~ (chủ đề, vấn đề nào đó) (〜について), D. Tìm thấy (見つける (みつける))",犬と散歩します。(Đi dạo với chó.)
Q35,Từ '絵本' có nghĩa là gì?,Đeo (trang sức),"Về ~ (chủ đề, vấn đề nào đó)",Số điện thoại,"Truyện tranh, truyện ehon",D,"A. Đeo (trang sức) (つける), B. Về ~ (chủ đề, vấn đề nào đó) (〜について), C. Số điện thoại (電話番号 (でんわばんごう)), D. Truyện tranh, truyện ehon (絵本 (えほん))",子供に絵本を読みます。(Đọc truyện tranh cho con nghe.)
Q36,Từ '中止' có nghĩa là gì?,"Hủy bỏ, ngừng (giữa chừng)",Bảo tàng mỹ thuật,Sử dụng,"Lấy; tháo, bỏ",A,"A. Hủy bỏ, ngừng (giữa chừng) (中止 (ちゅうし)), B. Bảo tàng mỹ thuật (美術館 (びじゅつかん)), C. Sử dụng (使います (つかいます)), D. Lấy; tháo, bỏ (取る (とる))",試合が中止になりました。(Trận đấu đã bị hủy bỏ.)
Q37,Từ '取る' có nghĩa là gì?,Xuất khẩu,"Có khi nào, có lẽ nào","Lấy; tháo, bỏ","Kính râm, kính mát",C,"A. Xuất khẩu (輸出する (ゆしゅつする)), B. Có khi nào, có lẽ nào (もしかして), C. Lấy; tháo, bỏ (取る (とる)), D. Kính râm, kính mát (サングラス)",眼鏡を取ります。(Tháo kính ra.)
Q38,Từ 'つける' có nghĩa là gì?,Hứng thú,Tìm thấy,Đeo (trang sức),Không có cách nào,C,"A. Hứng thú (興味 (きょうみ)), B. Tìm thấy (見つける (みつける)), C. Đeo (trang sức) (つける), D. Không có cách nào (仕方がない (しかたがない))",ネックレスをつけます。(Đeo vòng cổ.)
Q39,Từ '輸出する' có nghĩa là gì?,Sự nghiên cứu,(Màu) xanh da trời,Xuất khẩu,Tăng lên,C,"A. Sự nghiên cứu (研究 (けんきゅう)), B. (Màu) xanh da trời (青い (あおい)), C. Xuất khẩu (輸出する (ゆしゅつする)), D. Tăng lên (増える (ふえる))",日本から車を輸出します。(Xuất khẩu ô tô từ Nhật Bản.)
Q40,Từ 'お邪魔します' có nghĩa là gì?,Pháp luật,Nhà nghiên cứu,Tôi xin phép làm phiền nhé,"Chốc nữa, lát nữa",C,"A. Pháp luật (法律 (ほうりつ)), B. Nhà nghiên cứu (研究者 (けんきゅうしゃ)), C. Tôi xin phép làm phiền nhé (お邪魔します (おじゃまします)), D. Chốc nữa, lát nữa (後で (あとで))",お邪魔します。(Tôi xin phép làm phiền nhé.)
Q41,Từ 'ネックレス' có nghĩa là gì?,Vòng cổ,Tôi xin phép làm phiền nhé,Tìm thấy,Đội ~,A,"A. Vòng cổ (ネックレス), B. Tôi xin phép làm phiền nhé (お邪魔します (おじゃまします)), C. Tìm thấy (見つける (みつける)), D. Đội ~ (被る (かぶる))",彼女にネックレスをプレゼントします。(Tặng vòng cổ cho bạn gái.)
Q42,Từ '意味' có nghĩa là gì?,Tăng lên,Sự nghiên cứu,"Con, đứa trẻ",Ý nghĩa,D,"A. Tăng lên (増える (ふえる)), B. Sự nghiên cứu (研究 (けんきゅう)), C. Con, đứa trẻ (子 (こ)), D. Ý nghĩa (意味 (いみ))",この言葉の意味が分かりません。(Tôi không hiểu ý nghĩa của từ này.)
Q43,Từ '商品' có nghĩa là gì?,Tìm thấy,Đội ~,Y tá,Sản phẩm,D,"A. Tìm thấy (見つける (みつける)), B. Đội ~ (被る (かぶる)), C. Y tá (看護師 (かんごし)), D. Sản phẩm (商品 (しょうひん))",新しい商品が売れました。(Sản phẩm mới đã được bán.)
Q44,Từ '調味料' có nghĩa là gì?,Gia vị,"Con, đứa trẻ",Màu nâu,Trẻ,A,"A. Gia vị (調味料 (ちょうみりょう)), B. Con, đứa trẻ (子 (こ)), C. Màu nâu (茶色 (ちゃいろ)), D. Trẻ (若い (わかい))",スープに調味料を入れます。(Cho gia vị vào súp.)
Q45,Từ '輸入する' có nghĩa là gì?,"Lấy; tháo, bỏ",Trẻ,Nhập khẩu,Lý do,C,"A. Lấy; tháo, bỏ (取る (とる)), B. Trẻ (若い (わかい)), C. Nhập khẩu (輸入する (ゆにゅうする)), D. Lý do (理由 (りゆう))",ベトナムから米を輸入します。(Nhập khẩu gạo từ Việt Nam.)
Q46,Từ '茶色い' có nghĩa là gì?,Sử dụng (cách nói trang trọng),Ý nghĩa,(Màu) nâu,"Lấy; tháo, bỏ",C,"A. Sử dụng (cách nói trang trọng) (使用します (しようします)), B. Ý nghĩa (意味 (いみ)), C. (Màu) nâu (茶色い (ちゃいろい)), D. Lấy; tháo, bỏ (取る (とる))",茶色い靴を買いました。(Đã mua đôi giày màu nâu.)
Q47,Từ '巻く' có nghĩa là gì?,"Truyện tranh, truyện ehon",Đại sứ quán,Đeo (kính),"Quàng, quấn",D,"A. Truyện tranh, truyện ehon (絵本 (えほん)), B. Đại sứ quán (大使館 (たいしかん)), C. Đeo (kính) (かける), D. Quàng, quấn (巻く (まく))",マフラーを巻きます。(Quàng khăn.)
Q48,Từ 'いれる' có nghĩa là gì?,Pha (cà phê),Tháo ~,Xuất khẩu,Người cao tuổi,A,"A. Pha (cà phê) (いれる), B. Tháo ~ (外す (はずす)), C. Xuất khẩu (輸出する (ゆしゅつする)), D. Người cao tuổi (お年寄り (おとしより))",お客様にコーヒーをいれます。(Pha cà phê cho khách.)
Q49,Từ '歴史' có nghĩa là gì?,Lịch sử,"Lấy; tháo, bỏ",Xuất khẩu,Tôi xin phép làm phiền nhé,A,"A. Lịch sử (歴史 (れきし)), B. Lấy; tháo, bỏ (取る (とる)), C. Xuất khẩu (輸出する (ゆしゅつする)), D. Tôi xin phép làm phiền nhé (お邪魔します (おじゃまします))",日本の歴史を勉強します。(Tôi học lịch sử Nhật Bản.)
Q50,Từ 'メイド' có nghĩa là gì?,Người giúp việc nhà,"Có khi nào, có lẽ nào",Này (từ để gọi người thân quen),Cái mũ,A,"A. Người giúp việc nhà (メイド), B. Có khi nào, có lẽ nào (もしかして), C. Này (từ để gọi người thân quen) (ねえ), D. Cái mũ (帽子 (ぼうし))",部屋をメイドに掃除してもらいます。(Nhờ người giúp việc dọn phòng.)
Q51,Từ nào sau đây có nghĩa là 'Mùi vị'?,味,若い,青い,止まります,A,"A. 味 (あじ - Mùi vị), B. 若い (わかい - Trẻ), C. 青い (あおい - (Màu) xanh da trời), D. 止まります (とまります - (Xe) dừng, đỗ)",このスープは味が薄いです。(Súp này vị nhạt.)
Q52,Từ nào sau đây có nghĩa là 'Người giàu có'?,減る,お金持ち,使用します,お邪魔します,B,"A. 減る (へる - Giảm xuống), B. お金持ち (おかねもち - Người giàu có), C. 使用します (しようします - Sử dụng (cách nói trang trọng)), D. お邪魔します (おじゃまします - Tôi xin phép làm phiền nhé)",彼はお金持ちです。(Anh ấy là người giàu có.)
Q53,"Từ nào sau đây có nghĩa là 'Quàng, quấn'?",巻く,つける,サングラス,黄色い,A,"A. 巻く (まく - Quàng, quấn), B. つける (Đeo (trang sức)), C. サングラス (Kính râm, kính mát), D. 黄色い (きいろい - (Màu) vàng)",マフラーを巻きます。(Quàng khăn.)
Q54,Từ nào sau đây có nghĩa là 'Pháp luật'?,美術館,止みます,いれる,法律,D,"A. 美術館 (びじゅつかん - Bảo tàng mỹ thuật), B. 止みます (やみます - Ngừng, dừng lại, tạnh (mưa)), C. いれる (Pha (cà phê)), D. 法律 (ほうりつ - Pháp luật)",大学で法律を学びます。(Học pháp luật ở trường đại học.)
Q55,Từ nào sau đây có nghĩa là 'Người cao tuổi'?,ネックレス,仕方がない,お年寄り,茶色い,C,"A. ネックレス (Vòng cổ), B. 仕方がない (しかたがない - Không có cách nào), C. お年寄り (おとしより - Người cao tuổi), D. 茶色い (ちゃいろい - (Màu) nâu)",お年寄りに席を譲ります。(Nhường ghế cho người cao tuổi.)
Q56,"Từ nào sau đây có nghĩa là 'Chốc nữa, lát nữa'?",後で,子,上着,メイド,A,"A. 後で (あとで - Chốc nữa, lát nữa), B. 子 (こ - Con, đứa trẻ), C. 上着 (うわぎ - Áo khoác), D. メイド (Người giúp việc nhà)",後で電話します。(Lát nữa tôi sẽ gọi điện.)
Q57,Từ nào sau đây có nghĩa là 'Xuất khẩu'?,ねえ,取る,研究,輸出する,D,"A. ねえ (Này (từ để gọi người thân quen)), B. 取る (とる - Lấy; tháo, bỏ), C. 研究 (けんきゅう - Sự nghiên cứu), D. 輸出する (ゆしゅつする - Xuất khẩu)",日本から車を輸出します。(Xuất khẩu ô tô từ Nhật Bản.)
Q58,Từ nào sau đây có nghĩa là 'Đi bộ'?,使用します,ネックレス,研究者,歩きます,D,"A. 使用します (しようします - Sử dụng (cách nói trang trọng)), B. ネックレス (Vòng cổ), C. 研究者 (けんきゅうしゃ - Nhà nghiên cứu), D. 歩きます (あるきます - Đi bộ)",公園を歩きます。(Đi bộ trong công viên.)
Q59,Từ nào sau đây có nghĩa là 'Cái mũ'?,帽子,サングラス,ネックレス,中止,A,"A. 帽子 (ぼうし - Cái mũ), B. サングラス (Kính râm, kính mát), C. ネックレス (Vòng cổ), D. 中止 (ちゅうし - Hủy bỏ, ngừng (giữa chừng))",日差しが強いから帽子を被ります。(Vì nắng gắt nên đội mũ.)
Q60,Từ nào sau đây có nghĩa là 'Giảm xuống'?,意味,減る,美術館,巻く,B,"A. 意味 (いみ - Ý nghĩa), B. 減る (へる - Giảm xuống), C. 美術館 (びじゅつかん - Bảo tàng mỹ thuật), D. 巻く (まく - Quàng, quấn)",人口が減ります。(Dân số giảm xuống.)
Q61,Từ nào sau đây có nghĩa là 'Pha (cà phê)'?,サングラス,もしかして,大使館,いれる,D,"A. サングラス (Kính râm, kính mát), B. もしかして (Có khi nào, có lẽ nào), C. 大使館 (たいしかん - Đại sứ quán), D. いれる (Pha (cà phê))",お客様にコーヒーをいれます。(Pha cà phê cho khách.)
Q62,Từ nào sau đây có nghĩa là 'Nhà nghiên cứu'?,歩きます,若い,商品,研究者,D,"A. 歩きます (あるきます - Đi bộ), B. 若い (わかい - Trẻ), C. 商品 (しょうひん - Sản phẩm), D. 研究者 (けんきゅうしゃ - Nhà nghiên cứu)",彼は有名な研究者です。(Anh ấy là một nhà nghiên cứu nổi tiếng.)
Q63,Từ nào sau đây có nghĩa là 'Nhập khẩu'?,輸入する,上着,茶色い,はく,A,"A. 輸入する (ゆにゅうする - Nhập khẩu), B. 上着 (うわぎ - Áo khoác), C. 茶色い (ちゃいろい - (Màu) nâu), D. はく (Mặc (quần, váy...); đi (tất, giày...))",ベトナムから米を輸入します。(Nhập khẩu gạo từ Việt Nam.)
Q64,Từ nào sau đây có nghĩa là 'Nhập khẩu'?,興味,研究,かける,輸入する,D,"A. 興味 (きょうみ - Hứng thú), B. 研究 (けんきゅう - Sự nghiên cứu), C. かける (Đeo (kính)), D. 輸入する (ゆにゅうする - Nhập khẩu)",ベトナムから米を輸入します。(Nhập khẩu gạo từ Việt Nam.)
Q65,"Từ nào sau đây có nghĩa là 'Kính râm, kính mát'?",サングラス,メイド,見つける,お年寄り,A,"A. サングラス (Kính râm, kính mát), B. メイド (Người giúp việc nhà), C. 見つける (みつける - Tìm thấy), D. お年寄り (おとしより - Người cao tuổi)",海でサングラスをかけます。(Đeo kính râm ở biển.)
Q66,Từ nào sau đây có nghĩa là 'Vòng cổ'?,巻く,ネックレス,電話番号,意味,B,"A. 巻く (まく - Quàng, quấn), B. ネックレス (Vòng cổ), C. 電話番号 (でんわばんごう - Số điện thoại), D. 意味 (いみ - Ý nghĩa)",彼女にネックレスをプレゼントします。(Tặng vòng cổ cho bạn gái.)
Q67,Từ nào sau đây có nghĩa là 'Nhà nghiên cứu'?,かける,ねえ,研究者,〜について,C,"A. かける (Đeo (kính)), B. ねえ (Này (từ để gọi người thân quen)), C. 研究者 (けんきゅうしゃ - Nhà nghiên cứu), D. 〜について (Về ~ (chủ đề, vấn đề nào đó))",彼は有名な研究者です。(Anh ấy là một nhà nghiên cứu nổi tiếng.)
Q68,Từ nào sau đây có nghĩa là 'Sử dụng'?,帽子,使います,お金持ち,若い,B,"A. 帽子 (ぼうし - Cái mũ), B. 使います (つかいます - Sử dụng), C. お金持ち (おかねもち - Người giàu có), D. 若い (わかい - Trẻ)",パソコンを使います。(Sử dụng máy tính.)
Q69,Từ nào sau đây có nghĩa là 'Nghiên cứu'?,使用します,看護師,研究する,信号,C,"A. 使用します (しようします - Sử dụng (cách nói trang trọng)), B. 看護師 (かんごし - Y tá), C. 研究する (けんきゅうする - Nghiên cứu), D. 信号 (しんごう - Tín hiệu, đèn giao thông)",大学で経済を研究します。(Nghiên cứu kinh tế ở đại học.)
Q70,Từ nào sau đây có nghĩa là 'Mỹ phẩm'?,歩きます,見つける,サングラス,化粧品,D,"A. 歩きます (あるきます - Đi bộ), B. 見つける (みつける - Tìm thấy), C. サングラス (Kính râm, kính mát), D. 化粧品 (けしょうひん - Mỹ phẩm)",デパートで化粧品を買います。(Mua mỹ phẩm ở cửa hàng bách hóa.)
Q71,Từ nào sau đây có nghĩa là 'Y tá'?,子,減る,使います,看護師,D,"A. 子 (こ - Con, đứa trẻ), B. 減る (へる - Giảm xuống), C. 使います (つかいます - Sử dụng), D. 看護師 (かんごし - Y tá)",姉は病院で看護師をしています。(Chị gái tôi làm y tá ở bệnh viện.)
Q72,"Từ nào sau đây có nghĩa là 'Lấy; tháo, bỏ'?",帽子,看護師,いれる,取る,D,"A. 帽子 (ぼうし - Cái mũ), B. 看護師 (かんごし - Y tá), C. いれる (Pha (cà phê)), D. 取る (とる - Lấy; tháo, bỏ)",眼鏡を取ります。(Tháo kính ra.)
Q73,Từ nào sau đây có nghĩa là 'Sản phẩm'?,商品,止みます,使用します,美術館,A,"A. 商品 (しょうひん - Sản phẩm), B. 止みます (やみます - Ngừng, dừng lại, tạnh (mưa)), C. 使用します (しようします - Sử dụng (cách nói trang trọng)), D. 美術館 (びじゅつかん - Bảo tàng mỹ thuật)",新しい商品が売れました。(Sản phẩm mới đã được bán.)
Q74,Từ nào sau đây có nghĩa là 'Tìm thấy'?,仕方がない,見つける,研究,取る,B,"A. 仕方がない (しかたがない - Không có cách nào), B. 見つける (みつける - Tìm thấy), C. 研究 (けんきゅう - Sự nghiên cứu), D. 取る (とる - Lấy; tháo, bỏ)",なくした時計を見つけました。(Tôi đã tìm thấy chiếc đồng hồ bị mất.)
Q75,"Từ nào sau đây có nghĩa là 'Có khi nào, có lẽ nào'?",もしかして,茶色い,味,意味,A,"A. もしかして (Có khi nào, có lẽ nào), B. 茶色い (ちゃいろい - (Màu) nâu), C. 味 (あじ - Mùi vị), D. 意味 (いみ - Ý nghĩa)",もしかして、彼は来ないの？(Có lẽ nào anh ấy sẽ không đến?)
