ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q32,Từ '主人公' có nghĩa là gì?,Tuyển thủ,Nhân vật chính,Đồng nghiệp,Tài xế,B,"A. Tuyển thủ (選手 (せんしゅ)), B. Nhân vật chính (主人公 (しゅじんこう)), C. Đồng nghiệp (同僚 (どうりょう)), D. Tài xế",この映画の主人公は誰ですか。(Nhân vật chính của bộ phim này là ai?)
Q33,Từ '広い' có nghĩa là gì?,Xa,Rộng,Hẹp,"To, lớn",B,"A. Xa (遠い (とおい)), B. Rộng (広い (ひろい)), C. Hẹp, D. To, lớn (大きな (おおきな))",広い部屋ですね。(Căn phòng rộng nhỉ.)
Q34,Từ '広告' có nghĩa là gì?,Quảng cáo,Ngoại thương,Công viên,Tạp chí,A,"A. Quảng cáo (広告 (こうこく)), B. Ngoại thương, C. Công viên (公園 (こうえん)), D. Tạp chí",新聞の広告を見ます。(Xem quảng cáo trên báo.)
Q35,Từ '去年' có nghĩa là gì?,Năm sau,Năm ngoái,Tháng trước,Năm nay,B,"A. Năm sau, B. Năm ngoái (去年 (きょねん)), C. Tháng trước, D. Năm nay",去年、日本へ行きました。(Năm ngoái tôi đã đi Nhật.)
Q36,Từ '転ぶ' có nghĩa là gì?,Chữa bệnh,"Ngã, té",Lái xe,Bắt đầu,B,"A. Chữa bệnh, B. Ngã, té (転ぶ (ころぶ)), C. Lái xe (運転する (うんてんする)), D. Bắt đầu (始める (はじめる))",道で転びました。(Đã bị ngã trên đường.)
Q37,Từ '運転する' có nghĩa là gì?,Lái xe,Gọi món,Bắt đầu,Ngã,A,"A. Lái xe (運転する (うんてんする)), B. Gọi món, C. Bắt đầu (始める (はじめる)), D. Ngã",毎日、車を運転します。(Mỗi ngày đều lái xe ô tô.)
Q38,Từ '運転手' có nghĩa là gì?,Đồng nghiệp,Tuyển thủ,"Tài xế, người lái xe",Người quen,C,"A. Đồng nghiệp (同僚 (どうりょう)), B. Tuyển thủ (選手 (せんしゅ)), C. Tài xế, người lái xe (運転手 (うんてんしゅ)), D. Người quen (知り合い (しりあい))",タクシーの運転手。(Tài xế taxi.)
Q39,Từ '自転車' có nghĩa là gì?,Xe đạp,Tàu điện,Xe máy,Ô tô,A,"A. Xe đạp (自転車 (じてんしゃ)), B. Tàu điện, C. Xe máy, D. Ô tô",自転車で学校へ行きます。(Đi đến trường bằng xe đạp.)
Q40,Từ '遊園地' có nghĩa là gì?,Sở thú,Nhà trẻ,Khu vui chơi,Công viên,C,"A. Sở thú (動物園 (どうぶつえん)), B. Nhà trẻ (保育園 (ほいくえん)), C. Khu vui chơi (遊園地 (ゆうえんち)), D. Công viên (公園 (こうえん))",週末に遊園地へ行きます。(Cuối tuần đi khu vui chơi.)
Q41,Từ '動物園' có nghĩa là gì?,Sở thú,Công viên,Khu vui chơi,Nhà trẻ,A,"A. Sở thú (動物園 (どうぶつえん)), B. Công viên (公園 (こうえん)), C. Khu vui chơi (遊園地 (ゆうえんち)), D. Nhà trẻ (保育園 (ほいくえん))",動物園でパンダを見ました。(Đã xem gấu trúc ở sở thú.)
Q42,Từ '保育園' có nghĩa là gì?,Nhà trẻ,Công viên,Khu vui chơi,Sở thú,A,"A. Nhà trẻ (保育園 (ほいくえん)), B. Công viên (公園 (こうえん)), C. Khu vui chơi (遊園地 (ゆうえんち)), D. Sở thú (動物園 (どうぶつえん))",子供を保育園に迎えに行く。(Đi đón con ở nhà trẻ.)
Q43,Từ '台所' có nghĩa là gì?,Bão,Nhà vệ sinh,Nhà bếp,Phòng ngủ,C,"A. Bão (台風 (たいふう)), B. Nhà vệ sinh, C. Nhà bếp (台所 (だいどころ)), D. Phòng ngủ",台所で料理を作ります。(Nấu ăn ở nhà bếp.)
Q44,Từ '台風' có nghĩa là gì?,Mưa,Gió,Bão,Động đất,C,"A. Mưa, B. Gió, C. Bão (台風 (たいふう)), D. Động đất",台風が近づいています。(Bão đang đến gần.)
Q45,Từ '開始' có nghĩa là gì?,Kết thúc,Hoàn thành,Sử dụng,"Bắt đầu, khởi đầu",D,"A. Kết thúc, B. Hoàn thành, C. Sử dụng (利用する (りようする)), D. Bắt đầu, khởi đầu (開始 (かいし))",試合開始の時間です。(Thời gian bắt đầu trận đấu.)
Q46,Từ '治す' có nghĩa là gì?,Ngã,Bắt đầu,"Chữa, trị bệnh",Khỏi bệnh,C,"A. Ngã, B. Bắt đầu (始める (はじめる)), C. Chữa, trị bệnh (治す (なおす)), D. Khỏi bệnh",医者が病気を治します。(Bác sĩ chữa bệnh.)
Q47,Từ '治る' có nghĩa là gì?,"Khỏi (bệnh), lành (vết thương)",Chữa bệnh,Bắt đầu,Lái xe,A,"A. Khỏi (bệnh), lành (vết thương) (治る (なおる)), B. Chữa bệnh, C. Bắt đầu (始める (はじめる)), D. Lái xe (運転する (うんてんする))",風邪が治りました。(Đã khỏi cảm.)
Q48,Từ '政治' có nghĩa là gì?,Chính trị,Ý nghĩa,Ngoại thương,Tình trạng,A,"A. Chính trị (政治 (せいじ)), B. Ý nghĩa (意味 (いみ)), C. Ngoại thương, D. Tình trạng",政治に興味があります。(Có hứng thú với chính trị.)
Q49,Từ '正しい' có nghĩa là gì?,"Đúng, chính xác",Sai,Xa,Rộng,A,"A. Đúng, chính xác (正しい (ただしい)), B. Sai, C. Xa (遠い (とおい)), D. Rộng (広い (ひろい))",正しい答えを選んでください。(Hãy chọn câu trả lời đúng.)
Q50,Từ 'お正月' có nghĩa là gì?,Năm ngoái,Tết,Mùa xuân,Giáng sinh,B,"A. Năm ngoái (去年 (きょねん)), B. Tết (お正月 (おしょうがつ)), C. Mùa xuân, D. Giáng sinh",お正月に神社へ行きます。(Đi đền vào ngày Tết.)
Q51,Từ nào sau đây có nghĩa là 'Hứng thú'?,興味,場所,選手,意味,A,"A. 興味 (きょうみ - Hứng thú), B. 場所 (ばしょ - Địa điểm, nơi), C. 選手 (せんしゅ - Tuyển thủ), D. 意味 (いみ - Ý nghĩa)",日本の文化に興味があります。(Tôi có hứng thú với văn hóa Nhật Bản.)
Q52,Từ nào sau đây có nghĩa là 'Ý nghĩa'?,興味,意味,調子,紹介,B,"A. 興味 (きょうみ - Hứng thú), B. 意味 (いみ - Ý nghĩa), C. 調子 (ちょうし - Tình trạng (cơ thể, máy móc)), D. 紹介",この言葉の意味が分かりません。(Tôi không hiểu ý nghĩa của từ này.)
Q53,"Từ nào sau đây có nghĩa là 'Địa điểm, nơi'?",同僚,場所,具合,選手,B,"A. 同僚 (どうりょう - Đồng nghiệp), B. 場所 (ばしょ - Địa điểm, nơi), C. 具合 (ぐあい - Tình trạng sức khoẻ), D. 選手 (せんしゅ - Tuyển thủ)",待ち合わせの場所は駅の前です。(Địa điểm hẹn gặp là trước nhà ga.)
Q54,Từ nào sau đây có nghĩa là 'Người quen'?,主人公,知り合い,同僚,選手,B,"A. 主人公 (しゅじんこう - Nhân vật chính), B. 知り合い (しりあい - Người quen), C. 同僚 (どうりょう - Đồng nghiệp), D. 選手 (せんしゅ - Tuyển thủ)",パーティーで知り合いに会いました。(Tôi đã gặp người quen ở bữa tiệc.)
Q55,Từ nào sau đây có nghĩa là 'Tuyển thủ'?,運転手,知り合い,選手,同僚,C,"A. 運転手 (うんてんしゅ - Tài xế, người lái xe), B. 知り合い (しりあい - Người quen), C. 選手 (せんしゅ - Tuyển thủ), D. 同僚 (どうりょう - Đồng nghiệp)",彼は有名なサッカーの選手です。(Anh ấy là một cầu thủ bóng đá nổi tiếng.)
Q56,"Từ nào sau đây có nghĩa là 'Tình trạng (cơ thể, máy móc)'?",興味,意味,調子,気分,C,"A. 興味 (きょうみ - Hứng thú), B. 意味 (いみ - Ý nghĩa), C. 調子 (ちょうし - Tình trạng (cơ thể, máy móc)), D. 気分 (きぶん - Tâm trạng)",今日は体の調子がいいです。(Hôm nay tình trạng cơ thể tôi rất tốt.)
Q57,Từ nào sau đây có nghĩa là 'Nhạc kịch'?,ミュージカル,チャット,デート,貿易,A,"A. ミュージカル (Nhạc kịch), B. チャット (Tán gẫu, chat), C. デート (Hẹn hò), D. 貿易 (ぼうえき - Ngoại thương, thương mại)",週末にミュージカルを見に行きます。(Cuối tuần tôi sẽ đi xem nhạc kịch.)
Q58,"Từ nào sau đây có nghĩa là 'Tán gẫu, chat'?",ミュージカル,チャット,広告,デート,B,"A. ミュージカル (Nhạc kịch), B. チャット (Tán gẫu, chat), C. 広告 (こうこく - Quảng cáo), D. デート (Hẹn hò)",友達とチャットをしています。(Tôi đang chat với bạn.)
Q59,Từ nào sau đây có nghĩa là 'Xa'?,近い,苦い,広い,遠い,D,"A. 近い, B. 苦い (にがい - Đắng), C. 広い (ひろい - Rộng), D. 遠い (とおい - Xa)",家から学校まで遠いです。(Từ nhà đến trường rất xa.)
Q60,"Từ nào sau đây có nghĩa là 'Được, tốt (lịch sự)'?",遠い,広い,苦い,よろしい,D,"A. 遠い (とおい - Xa), B. 広い (ひろい - Rộng), C. 苦い (にがい - Đắng), D. よろしい (Được, tốt (lịch sự))",こちらでよろしいですか。(Ở đây có được không ạ?)
Q61,Từ nào sau đây có nghĩa là 'Đắng'?,甘い,苦い,遠い,大きな,B,"A. 甘い, B. 苦い (にがい - Đắng), C. 遠い (とおい - Xa), D. 大きな (おおきな - To, lớn)",この薬はとても苦いです。(Thuốc này rất đắng.)
Q62,"Từ nào sau đây có nghĩa là 'To, lớn'?",苦い,小さな,広い,大きな,D,"A. 苦い (にがい - Đắng), B. 小さな, C. 広い (ひろい - Rộng), D. 大きな (おおきな - To, lớn)",大きな声で話してください。(Hãy nói lớn tiếng lên.)
Q63,Từ nào sau đây có nghĩa là 'Hợp với'?,似合う,始める,紹介する,利用する,A,"A. 似合う (にあう - Hợp với), B. 始める (はじめる - Bắt đầu), C. 紹介する (しょうかいする - Giới thiệu), D. 利用する (りようする - Sử dụng)",その服、よく似合っていますね。(Bộ đồ đó rất hợp với bạn.)
Q64,Từ nào sau đây có nghĩa là 'Bắt đầu'?,終わる,する,注文する,始める,D,"A. 終わる, B. する, C. 注文する (ちゅうもんする - Gọi món, đặt mua), D. 始める (はじめる - Bắt đầu)",日本語の勉強を始めます。(Bắt đầu học tiếng Nhật.)
Q65,"Từ nào sau đây có nghĩa là 'Gọi món, đặt mua'?",利用する,カットする,注文する,紹介する,C,"A. 利用する (りようする - Sử dụng), B. カットする (Cắt, chia), C. 注文する (ちゅうもんする - Gọi món, đặt mua), D. 紹介する (しょうかいする - Giới thiệu)",レストランで料理を注文します。(Gọi món ở nhà hàng.)
Q66,Từ nào sau đây có nghĩa là 'Hình như'?,だから,なんで,実は,確か,D,"A. だから (Bởi vậy, vậy nên), B. なんで (Tại sao), C. 実は (じつは - Thật ra), D. 確か (たしか - Hình như)",確か、彼は今日休みです。(Hình như hôm nay anh ấy nghỉ.)
Q67,Từ nào sau đây có nghĩa là 'Giữ gìn sức khoẻ'?,なんで,実は,お大事に,だから,C,"A. なんで (Tại sao), B. 実は (じつは - Thật ra), C. お大事に (おだいじに - Giữ gìn sức khoẻ), D. だから (Bởi vậy, vậy nên)",風邪ですね。お大事に。(Cảm rồi nhỉ. Hãy giữ gìn sức khoẻ nhé.)
Q68,Từ nào sau đây có nghĩa là 'Thật ra'?,どうやって,なんで,実は,確か,C,"A. どうやって (Làm thế nào), B. なんで (Tại sao), C. 実は (じつは - Thật ra), D. 確か (たしか - Hình như)","実は、明日から旅行に行きます。(Thật ra, từ ngày mai tôi sẽ đi du lịch.)"
Q69,Từ nào sau đây có nghĩa là 'Đồng nghiệp'?,選手,知り合い,同僚,運転手,C,"A. 選手 (せんしゅ - Tuyển thủ), B. 知り合い (しりあい - Người quen), C. 同僚 (どうりょう - Đồng nghiệp), D. 運転手 (うんてんしゅ - Tài xế, người lái xe)",会社の同僚と飲みに行きます。(Đi uống với đồng nghiệp công ty.)
Q70,"Từ nào sau đây có nghĩa là 'Ngoại thương, thương mại'?",政治,着物,貿易,デート,C,"A. 政治 (せいじ - Chính trị), B. 着物 (きもの - Kimono), C. 貿易 (ぼうえき - Ngoại thương, thương mại), D. デート (Hẹn hò)",貿易の仕事をしています。(Đang làm công việc ngoại thương.)
Q71,Từ nào sau đây có nghĩa là 'Kimono'?,着物,気分,貿易,デート,A,"A. 着物 (きもの - Kimono), B. 気分 (きぶん - Tâm trạng), C. 貿易 (ぼうえき - Ngoại thương, thương mại), D. デート (Hẹn hò)",お正月に着物を着ます。(Mặc kimono vào ngày Tết.)
Q72,Từ nào sau đây có nghĩa là 'Tình trạng sức khoẻ'?,政治,気分,具合,興味,C,"A. 政治 (せいじ - Chính trị), B. 気分 (きぶん - Tâm trạng), C. 具合 (ぐあい - Tình trạng sức khoẻ), D. 興味 (きょうみ - Hứng thú)",今日は具合が悪いです。(Hôm nay tình trạng sức khoẻ không tốt.)
Q73,Từ nào sau đây có nghĩa là 'Tâm trạng'?,デート,気分,具合,貿易,B,"A. デート (Hẹn hò), B. 気分 (きぶん - Tâm trạng), C. 具合 (ぐあい - Tình trạng sức khoẻ), D. 貿易 (ぼうえき - Ngoại thương, thương mại)",気分がいいです。(Tâm trạng đang tốt.)
Q74,Từ nào sau đây có nghĩa là 'Hẹn hò'?,デート,ミュージカル,着物,チャット,A,"A. デート (Hẹn hò), B. ミュージカル (Nhạc kịch), C. 着物 (きもの - Kimono), D. チャット (Tán gẫu, chat)",週末は彼女とデートです。(Cuối tuần có hẹn với bạn gái.)
Q75,Từ nào sau đây có nghĩa là 'Sử dụng'?,利用する,注文する,紹介する,カットする,A,"A. 利用する (りようする - Sử dụng), B. 注文する (ちゅうもんする - Gọi món, đặt mua), C. 紹介する (しょうかいする - Giới thiệu), D. カットする (Cắt, chia)",図書館を利用します。(Sử dụng thư viện.)
Q76,Từ nào sau đây có nghĩa là 'Giới thiệu'?,利用する,カットする,紹介する,始める,C,"A. 利用する (りようする - Sử dụng), B. カットする (Cắt, chia), C. 紹介する (しょうかいする - Giới thiệu), D. 始める (はじめる - Bắt đầu)",友達を紹介します。(Giới thiệu bạn bè.)
Q77,"Từ nào sau đây có nghĩa là 'Cắt, chia'?",利用する,注文する,紹介する,カットする,D,"A. 利用する (りようする - Sử dụng), B. 注文する (ちゅうもんする - Gọi món, đặt mua), C. 紹介する (しょうかいする - Giới thiệu), D. カットする (Cắt, chia)",髪をカットします。(Cắt tóc.)
Q78,Từ nào sau đây có nghĩa là 'Tại sao'?,なんで,どうやって,だから,確か,A,"A. なんで (Tại sao), B. どうやって (Làm thế nào), C. だから (Bởi vậy, vậy nên), D. 確か (たしか - Hình như)",なんで遅れたの？(Tại sao lại đến muộn?)
Q79,"Từ nào sau đây có nghĩa là 'Bởi vậy, vậy nên'?",確か,なんで,どうやって,だから,D,"A. 確か (たしか - Hình như), B. なんで (Tại sao), C. どうやって (Làm thế nào), D. だから (Bởi vậy, vậy nên)",雨が降っている。だから出かけない。(Trời đang mưa. Bởi vậy nên không đi ra ngoài.)
Q80,Từ nào sau đây có nghĩa là 'Làm thế nào'?,だから,どうやって,実は,なんで,B,"A. だから (Bởi vậy, vậy nên), B. どうやって (Làm thế nào), C. 実は (じつは - Thật ra), D. なんで (Tại sao)",駅までどうやって行きますか。(Đến nhà ga đi bằng cách nào?)
Q81,Từ nào sau đây có nghĩa là 'Công viên'?,保育園,公園,遊園地,動物園,B,"A. 保育園 (ほいくえん - Nhà trẻ), B. 公園 (こうえん - Công viên), C. 遊園地 (ゆうえんち - Khu vui chơi), D. 動物園 (どうぶつえん - Sở thú)",公園で散歩します。(Đi dạo ở công viên.)
Q82,Từ nào sau đây có nghĩa là 'Nhân vật chính'?,運転手,主人公,同僚,選手,B,"A. 運転手 (うんてんしゅ - Tài xế, người lái xe), B. 主人公 (しゅじんこう - Nhân vật chính), C. 同僚 (どうりょう - Đồng nghiệp), D. 選手 (せんしゅ - Tuyển thủ)",この映画の主人公は誰ですか。(Nhân vật chính của bộ phim này là ai?)
Q83,Từ nào sau đây có nghĩa là 'Rộng'?,狭い,大きな,遠い,広い,D,"A. 狭い, B. 大きな (おおきな - To, lớn), C. 遠い (とおい - Xa), D. 広い (ひろい - Rộng)",広い部屋ですね。(Căn phòng rộng nhỉ.)
Q84,Từ nào sau đây có nghĩa là 'Quảng cáo'?,雑誌,公園,貿易,広告,D,"A. 雑誌, B. 公園 (こうえん - Công viên), C. 貿易 (ぼうえき - Ngoại thương, thương mại), D. 広告 (こうこく - Quảng cáo)",新聞の広告を見ます。(Xem quảng cáo trên báo.)
Q85,Từ nào sau đây có nghĩa là 'Năm ngoái'?,去年,今年,来年,先月,A,"A. 去年 (きょねん - Năm ngoái), B. 今年, C. 来年, D. 先月",去年、日本へ行きました。(Năm ngoái tôi đã đi Nhật.)
Q86,"Từ nào sau đây có nghĩa là 'Ngã, té'?",運転する,始める,転ぶ,治す,C,"A. 運転する (うんてんする - Lái xe), B. 始める (はじめる - Bắt đầu), C. 転ぶ (ころぶ - Ngã, té), D. 治す (なおす - Chữa, trị bệnh)",道で転びました。(Đã bị ngã trên đường.)
Q87,Từ nào sau đây có nghĩa là 'Lái xe'?,始める,転ぶ,注文する,運転する,D,"A. 始める (はじめる - Bắt đầu), B. 転ぶ (ころぶ - Ngã, té), C. 注文する (ちゅうもんする - Gọi món, đặt mua), D. 運転する (うんてんする - Lái xe)",毎日、車を運転します。(Mỗi ngày đều lái xe ô tô.)
Q88,"Từ nào sau đây có nghĩa là 'Tài xế, người lái xe'?",知り合い,同僚,選手,運転手,D,"A. 知り合い (しりあい - Người quen), B. 同僚 (どうりょう - Đồng nghiệp), C. 選手 (せんしゅ - Tuyển thủ), D. 運転手 (うんてんしゅ - Tài xế, người lái xe)",タクシーの運転手。(Tài xế taxi.)
Q89,Từ nào sau đây có nghĩa là 'Xe đạp'?,バイク,自動車,自転車,電車,C,"A. バイク, B. 自動車, C. 自転車 (じてんしゃ - Xe đạp), D. 電車",自転車で学校へ行きます。(Đi đến trường bằng xe đạp.)
