﻿ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q15,ただいま,Bạn đã về rồi đấy à!,Hẹn gặp lại,Cảm ơn nhiều,Tôi đã về rồi đây,D,"A. おかえり (Bạn đã về rồi đấy à!), B. またね (Hẹn gặp lại), C. ありがとう (Cảm ơn), D. ただいま (Tôi đã về rồi đây)",ただいま、帰りました。(Tôi đã về rồi đây.)
Q16,Ngắn,みじかい,きびしい,おなじ,まっくら,A,"A. 短い (みじかい - Ngắn), B. 厳しい (きびしい - Nghiêm khắc, khắt khe), C. 同じ (おなじ - Giống nhau), D. 真っ暗 (まっくら - Tối om)",髪が短いです。(Tóc ngắn.)
Q17,かみなり,Cơn bão,Sấm sét,Tai nạn,Xăng dầu,B,"A. 台風 (たいふう - Cơn bão), B. 雷 (かみなり - Sấm sét), C. 事故 (じこ - Tai nạn), D. ガソリン (Xăng dầu)",雷が鳴ります。(Sấm sét.)
Q18,Người nổi tiếng,りょこうきゃく,ゆうめいじん,かれ,しりあい,B,"A. 旅行客 (りょこうきゃく - Khách du lịch), B. 有名人 (ゆうめいじん - Người nổi tiếng), C. 彼 (かれ - Anh ấy), D. 知り合い (しりあい - Người quen)",彼は有名人です。(Anh ấy là người nổi tiếng.)
Q19,とどく,"Được gửi đến, đưa đến","Bị mất, biến mất",Tạnh mưa,Rơi xuống,A,"A. 届く (とどく - Được gửi đến), B. なくなる (Mất, biến mất), C. 止む (やむ - Dừng, tạnh mưa), D. 落ちる (おちる - Rơi xuống)",荷物が届きます。(Hành lý được gửi đến.)
Q20,Có lẽ,すぐに,だいぶ,きっと,もしかしたら,D,"A. すぐに (Ngay lập tức), B. だいぶ (Khá là, đáng kể), C. きっと (Nhất định, chắc chắn), D. もしかしたら (Có lẽ)",もしかしたら、雨が降るかもしれません。(Có lẽ trời sẽ mưa.)
Q21,しょうち,Thông báo,"Đồng ý, hiểu rõ",Động vật,Y học,B,"A. お知らせ (おしらせ - Thông báo), B. 承知 (しょうち - Hiểu rõ), C. 動物 (どうぶつ - Động vật), D. 医学 (いがく - Y học)",承知しました。(Tôi đã hiểu rõ.)
Q22,Bác sĩ nha khoa (Nha sĩ),いしゃ,はいしゃ,ゆうめいじん,かれ,B,"A. 医者 (いしゃ - Bác sĩ), B. 歯医者 (はいしゃ - Nha sĩ), C. 有名人 (ゆうめいじん - Người nổi tiếng), D. 彼 (かれ - Anh ấy)",歯医者に行きます。(Đi nha sĩ.)
Q23,たんき,"Nóng nảy, dễ nổi nóng",Vận động,Cảm động,Khắt khe,A,"A. 短気 (たんき - Nóng nảy), B. 運動 (うんどう - Vận động), C. 感動 (かんどう - Cảm động), D. 厳しい (きびしい - Nghiêm khắc, khắt khe)",彼は短気です。(Anh ấy dễ nổi nóng.)
Q24,Bất động sản,どうが,ふどうさん,ちょうみりょう,りょかん,B,"A. 動画 (どうが - Video), B. 不動産 (ふどうさん - Bất động sản), C. 調味料 (ちょうみりょう - Gia vị), D. 旅館 (りょかん - Nhà nghỉ kiểu Nhật)",不動産の会社。(Công ty bất động sản.)
Q25,おかえり (なさい),Tôi đi đây,Bạn đã về rồi đấy à!,Xin lỗi,Làm ơn,B,"A. いってきます (Tôi đi đây), B. おかえり (Bạn đã về rồi đấy à!), C. すみません (Xin lỗi), D. おねがいします (Làm ơn)",おかえりなさい。(Bạn đã về rồi đấy à.)
Q26,"Cảm lạnh, cảm cúm",かぜ,じこ,かみなり,るす,A,"A. 風邪 (かぜ - Cảm lạnh, cảm cúm), B. 事故 (じこ - Tai nạn), C. 雷 (かみなり - Sấm sét), D. 留守 (るす - Vắng nhà)",風邪を引きました。(Đã bị cảm.)
Q27,せんたくもの,Hàng thật,Quần áo giặt/đồ cần giặt,Lối vào,Máu,B,"A. 本物 (ほんもの - Hàng thật), B. 洗濯物 (せんたくもの - Đồ bẩn cần giặt), C. 入り口 (いりぐち - Lối vào), D. 血 (ち - Máu)",洗濯物が多いです。(Nhiều đồ cần giặt.)
Q28,Ngày thường,ガソリン,りょかん,へいじつ,ゆうえんち,C,"A. ガソリン (Xăng dầu), B. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), C. 平日 (へいじつ - Ngày thường), D. 遊園地 (ゆうえんち - Khu giải trí)",平日は忙しいです。(Ngày thường thì bận.)
Q29,あがる,Giảm xuống,Đi bộ,Trả lời,"Leo lên, tăng lên",D,"A. 下がる (さがる - Giảm xuống), B. 歩く (あるく - Đi bộ), C. 答える (こたえる - Trả lời), D. 上がる (あがる - Leo lên)",値段が上がります。(Giá tăng lên.)
Q30,Gia vị,ちょうみりょう,せんたくもの,ほんもの,ガソリン,A,"A. 調味料 (ちょうみりょう - Gia vị), B. 洗濯物 (せんたくもの - Đồ bẩn cần giặt), C. 本物 (ほんもの - Hàng thật), D. ガソリン (Xăng dầu)",調味料を買います。(Mua gia vị.)
Q31,かわく,"Khô (quần áo, không khí...)",Chen lấn,Hủy bỏ,Đụng phải,A,"A. 乾く (かわく - Khô ráo), B. 混む (こむ - Đông đúc, chen lấn), C. 中止する, D. ぶつかる (Va phải, đụng phải)",服が乾きます。(Quần áo khô.)
Q32,Tai nạn,かみなり,じこ,かぜ,けが,B,"A. 雷 (かみなり - Sấm sét), B. 事故 (じこ - Tai nạn), C. 風邪 (かぜ - Cảm lạnh, cảm cúm), D. 怪我 (けが - Bị thương)",事故がありました。(Đã có tai nạn.)
Q33,こむ,Rảnh rỗi,Vắng vẻ,"Đông đúc, chen lấn",Bận rộn,C,"A. 暇 (ひま - Rảnh rỗi), B. 空く (あく - Vắng vẻ), C. 混む (こむ - Đông đúc, chen lấn), D. 忙しい (いそがしい - Bận rộn)",道が混んでいます。(Đường đang đông.)
Q34,"Giương (ô, dù)",(かさを) さす,(かぜを) ひく,かえす,やむ,A,"A. 差す (さす - Giương ô), B. 引く, C. 返す (Trả lại), D. 止む (やむ - Dừng, tạnh mưa)",傘を差します。(Giương ô.)
Q35,やむ,Bắt đầu mưa,"Tạnh, ngừng (mưa, tuyết...)",Trở nên tối,Thất bại,B,"A. 降る (ふる - Mưa), B. 止む (やむ - Dừng, tạnh mưa), C. 暗くなる (くらくなる - Tối đi), D. 失敗する (しっぱいする - Thất bại)",雨が止みました。(Mưa đã tạnh.)
Q36,Lối vào,るす,いりぐち,りょかん,おさら,B,"A. 留守 (るす - Vắng nhà), B. 入り口 (いりぐち - Lối vào), C. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), D. お皿 (おさら - Chiếc đĩa)",入り口はどこですか。(Lối vào ở đâu?)
Q37,かえす,Mượn,Tận hưởng,Đưa đón,Trả lại,D,"A. 借りる (かりる - Mượn), B. 楽しむ (たのしむ - Tận hưởng), C. 迎える (むかえる - Đón), D. 返す (かえす - Trả lại)",本を返します。(Trả lại sách.)
Q38,Khách du lịch,りょこうきゃく,ゆうめいじん,しりあい,いしゃ,A,"A. 旅行客 (りょこうきゃく - Khách du lịch), B. 有名人 (ゆうめいじん - Người nổi tiếng), C. 知り合い (しりあい - Người quen), D. 医者 (いしゃ - Bác sĩ)",旅行客が多いです。(Nhiều khách du lịch.)
Q39,たのしむ,Sợ hãi,"Tận hưởng, mong chờ",Thất vọng,Hối hận,B,"A. 怖がる (こわがる - Sợ hãi), B. 楽しむ (たのしむ - Tận hưởng), C. がっかりする (Thất vọng), D. 後悔する (こうかいする - Hối hận)",音楽を楽しみます。(Thưởng thức âm nhạc.)
Q40,Tự động,うんどう,どうぶつ,じどう,ふどうさん,C,"A. 運動 (うんどう - Vận động), B. 動物 (どうぶつ - Động vật), C. 自動 (じどう - Tự động), D. 不動産 (ふどうさん - Bất động sản)",ドアが自動で開きます。(Cửa mở tự động.)
Q41,せいこう (する),Thất bại,Hoàn thành,Thành công,Bắt đầu,C,"A. 失敗 (しっぱい - Thất bại), B. 完成/できる (Hoàn thành), C. 成功 (せいこう - Thành công), D. 始まる (はじまる - Bắt đầu)",テストに成功しました。(Đã thành công trong bài kiểm tra.)
Q42,Khách sạn / Nhà nghỉ kiểu Nhật,ゆうえんち,りょかん,ふどうさん,いりぐち,B,"A. 遊園地 (ゆうえんち - Khu giải trí), B. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), C. 不動産 (ふどうさん - Bất động sản), D. 入り口 (いりぐち - Lối vào)",旅館に泊まります。(Trọ lại nhà nghỉ kiểu Nhật.)
Q43,しっぱい (する),Thất bại,Thất lễ,Mất mát,Nghiêm khắc,A,"A. 失敗 (しっぱい - Thất bại), B. 失礼 (しつれい - Thất lễ), C. なくなる (Mất, biến mất), D. 厳しい (きびしい - Nghiêm khắc, khắt khe)",失敗を恐れないで。(Đừng sợ thất bại.)
Q44,Chữ Hán “ĐỘNG” trong “Làm việc”,動,働,力,知,B,"A. 動 (うごく - Cử động), B. 働 (はたらく - Làm việc), C. 力 (ちから - Sức mạnh), D. 知 (Biết)",毎日働きます。(Làm việc mỗi ngày.)
Q45,きっと,"Chắc chắn, nhất định",Ngay lập tức,Đáng kể,Có lẽ,A,"A. きっと (Nhất định, chắc chắn), B. すぐに (Ngay lập tức), C. だいぶ (Khá là, đáng kể), D. もしかしたら (Có lẽ)",きっと来ます。(Nhất định sẽ đến.)
Q46,Máu,ち,さら,みじかい,かぜ,A,"A. 血 (ち - Máu), B. 皿, C. 短い (Ngắn), D. 風邪 (かぜ - Cảm lạnh, cảm cúm)",血が出ました。(Chảy máu.)
Q47,おなじ,Khác nhau,Tương tự,"Giống nhau, cùng...",Đặc biệt,C,"A. 違う (ちがう - Khác nhau), B. 似ている (にている - Tương tự), C. 同じ (おなじ - Giống nhau), D. 特別 (とくべつ - Đặc biệt)",私と同じです。(Giống với tôi.)
Q48,"Thông báo, tin báo",おしらせ,しりあい,しょうち,どうが,A,"A. お知らせ (おしらせ - Thông báo), B. 知り合い (しりあい - Người quen), C. 承知 (しょうち - Hiểu rõ), D. 動画 (どうが - Video)",お知らせを読みます。(Đọc thông báo.)
Q49,なくなる,"Chết / Hết, mất, biến mất",Giảm xuống,Chuyển động,Va chạm,A,"A. なくなる (Mất, biến mất), B. 下がる (さがる - Giảm xuống), C. 動く (うごく - Chuyển động), D. ぶつかる (Va phải, đụng phải)",お金がなくなりました。(Hết tiền.)
Q50,"Video, clip ngắn",ふどうさん,どうが,うんどう,どうぶつ,B,"A. 不動産 (ふどうさん - Bất động sản), B. 動画 (どうが - Video), C. 運動 (うんどう - Vận động), D. 動物 (どうぶつ - Động vật)",動画を見ます。(Xem video.)
Q51,すぐに,Dần dần,Ngay lập tức,Cuối cùng,Rất nhiều,B,"A. だんだん (Dần dần), B. すぐに (Ngay lập tức), C. とうとう (Cuối cùng), D. たくさん (Nhiều)",すぐに行きます。(Đi ngay lập tức.)
Q52,"Khu giải trí, công viên trò chơi",ハイキング,ゆうえんち,りょかん,いりぐち,B,"A. ハイキング (Leo núi dã ngoại), B. 遊園地 (ゆうえんち - Khu giải trí), C. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), D. 入り口 (いりぐち - Lối vào)",遊園地で遊びます。(Chơi ở khu giải trí.)
Q53,だいぶ,Có lẽ,Chắc chắn,"Khá là, đáng kể",Hoàn toàn không,C,"A. もしかしたら (Có lẽ), B. きっと (Nhất định, chắc chắn), C. だいぶ (Khá là, đáng kể), D. ぜんぜん (Hoàn toàn không)",だいぶ良くなりました。(Đã tốt lên khá nhiều.)
Q54,Động vật,どうぶつ,どうが,じどう,かんどう,A,"A. 動物 (どうぶつ - Động vật), B. 動画 (どうが - Video), C. 自動 (じどう - Tự động), D. 感動 (かんどう - Cảm động)",動物が好きです。(Thích động vật.)
Q55,ハイキング,Leo núi dã ngoại,Cắm trại,Bơi lội,Chạy bộ,A,"A. ハイキング (Leo núi dã ngoại), B. キャンプ (Cắm trại), C. 水泳 (Bơi lội), D. ジョギング (Chạy bộ)",ハイキングに行きます。(Đi leo núi dã ngoại.)
Q56,Người quen,しりあい,ゆうめいじん,かれ,はいしゃ,A,"A. 知り合い (しりあい - Người quen), B. 有名人 (ゆうめいじん - Người nổi tiếng), C. 彼 (かれ - Anh ấy), D. 歯医者 (はいしゃ - Nha sĩ)",彼は知り合いです。(Anh ấy là người quen.)
Q57,かれ,Cô ấy,Bạn bè,"Anh ấy, ông ấy",Gia đình,C,"A. 彼女 (かのじょ - Cô ấy), B. 友達 (ともだち - Bạn bè), C. 彼 (かれ - Anh ấy), D. 家族 (かぞく - Gia đình)",彼は学生です。(Anh ấy là học sinh.)
Q58,"Cử động, chuyển động",はたらきます,うごきます,さがります,あがります,B,"A. 働きます, B. 動きます, C. 下がります, D. 上がります",機械が動きます。(Máy móc chuyển động.)
Q59,ガソリン,Dầu hỏa,Nước khoáng,Xăng dầu,Khí đốt,C,"A. 灯油 (とうゆ - Dầu hỏa), B. ミネラルウォーター (Nước khoáng), C. ガソリン (Xăng dầu), D. ガス (Khí đốt)",ガソリンを入れます。(Đổ xăng.)
Q60,Ngành Y / Y học,いしゃ,はいしゃ,いがく,しょうち,C,"A. 医者 (いしゃ - Bác sĩ), B. 歯医者 (はいしゃ - Nha sĩ), C. 医学 (いがく - Y học), D. 承知 (しょうち - Hiểu rõ)",医学を勉強します。(Học y học.)
Q61,うんどう (します),"Vận động, thể dục",Lái xe,Chuyển nhà,Làm việc,A,"A. 運動 (うんどう - Vận động), B. 運転 (うんてん - Lái xe), C. 引越し (ひっこし - Chuyển nhà), D. 働く (はたらく - Làm việc)",毎日運動します。(Vận động mỗi ngày.)
Q62,"Hàng thật, đồ thật",ほんもの,せんたくもの,たのしみ,きびしい,A,"A. 本物 (ほんもの - Hàng thật), B. 洗濯物 (せんたくもの - Đồ bẩn cần giặt), C. 楽しみ (たのしみ - Niềm vui), D. 厳しい (きびしい - Nghiêm khắc, khắt khe)",これは本物です。(Đây là hàng thật.)
Q63,かんどう,Tức giận,Buồn bã,"Cảm động, xúc động",Ngạc nhiên,C,"A. 怒る (おこる - Tức giận), B. 悲しむ (かなしむ - Buồn bã), C. 感動 (かんどう - Cảm động), D. 驚く (おどろく - Ngạc nhiên)",映画に感動しました。(Cảm động vì bộ phim.)
Q64,Biết,しります,はたらきます,うごきます,とどきます,A,"A. 知ります, B. 働きます, C. 動きます, D. 届きます",ニュースを知ります。(Biết tin tức.)
Q65,できる,Hỏng hóc,"Được làm, được hoàn thành",Bắt buộc,Biến mất,B,"A. 壊れる (こわれる - Hỏng), B. できる (Được làm, hoàn thành), C. 無理をする (むりをする - Quá sức), D. なくなる (Mất, biến mất)",宿題ができました。(Đã hoàn thành bài tập.)
Q66,Cụm từ: Bị cảm lạnh,じこにあう,かぜをひく,けがをする,かさをさす,B,"A. 事故に遭う (じこにあう - Gặp tai nạn), B. 風邪を引く (Bị cảm lạnh), C. 怪我をする (けがをする - Bị thương), D. 傘を差す (かさをさす - Che ô)",昨日、風邪を引きました。(Hôm qua tôi bị cảm rồi.)
Q67,音読み của chữ Hán 力 (LỰC) là gì?,ドウ,リョク / リキ,イ,チ,B,"A. ドウ (動), B. リョク (力), C. イ (医), D. チ (知)",協力 (きょうりょく - Hợp tác).
Q68,Động từ “Làm việc” có Kanji là:,働きます,動きます,知ります,差します,A,"A. 働きます, B. 動きます, C. 知ります, D. 差します",会社で働きます。(Làm việc ở công ty.)
Q69,訓読み của chữ 短 (ĐOẢN) là gì?,タン,さら,みじか・い,うご・く,C,"A. タン, B. さら, C. みじか・い, D. うご・く",短い時間。(Thời gian ngắn.)
Q70,Chữ Hán “HUYẾT” mang ý nghĩa gì?,Chiếc đĩa,Máu,Bác sĩ,Sức lực,B,"A. 皿, B. 血 (Máu), C. 医, D. 力 (Sức mạnh)",鼻血が出ます。(Chảy máu mũi.)
Q71,Chữ 医者 có cách đọc Hiragana là:,はいしゃ,いしゃ,いがく,ゆうめいじん,B,"A. 歯医者 (はいしゃ - Nha sĩ), B. 医者 (いしゃ - Bác sĩ), C. 医学 (いがく - Y học), D. 有名人 (ゆうめいじん - Người nổi tiếng)",医者になります。(Trở thành bác sĩ.)
Q72,"“Đồng ý, hiểu rõ” tương ứng với từ nào sau đây?",承知 (しょうち),お知らせ (おしらせ),知り合い (しりあい),短気 (たんき),A,"A. 承知 (しょうち - Hiểu rõ), B. お知らせ (おしらせ - Thông báo), C. 知り合い (しりあい - Người quen), D. 短気 (たんき - Nóng nảy)",承知いたしました。(Tôi đã hiểu.)
Q73,Từ “お皿” gồm chữ Hán nào?,血,皿,短,知,B,"A. 血 (ち - Máu), B. 皿, C. 短, D. 知",皿を割りました。(Làm vỡ đĩa.)
Q74,"Từ trái nghĩa với 上がる (leo lên, tăng lên) là:",下がる,止む,乾く,混む,A,"A. 下がる (さがる - Giảm xuống), B. 止む (やむ - Dừng, tạnh mưa), C. 乾く (かわく - Khô ráo), D. 混む (こむ - Đông đúc, chen lấn)",気温が下がります。(Nhiệt độ giảm.)
Q75,歯医者 đọc là:,はしゃ,はいしゃ,いいしゃ,は医者,B,"A. はしゃ, B. はいしゃ, C. いいしゃ, D. は医者",歯医者は怖いです。(Nha sĩ rất đáng sợ.)
Q76,"Khi đi làm/đi học về tới nhà, người Nhật nói gì trước?",おかえりなさい,いってきます,ただいま,いただきます,C,"A. おかえりなさい, B. いってきます (Tôi đi đây), C. ただいま (Tôi đã về rồi đây), D. いただきます",ただいま戻りました。(Tôi đã về đây.)
Q77,Danh từ chỉ “khách du lịch” viết bằng chữ Hán là:,旅館,旅行客,有名人,知り合い,B,"A. 旅館 (りょかん - Nhà nghỉ kiểu Nhật), B. 旅行客 (りょこうきゃく - Khách du lịch), C. 有名人 (ゆうめいじん - Người nổi tiếng), D. 知り合い (しりあい - Người quen)",旅行客が写真を撮ります。(Khách du lịch chụp ảnh.)
Q78,短気 có nghĩa là gì?,Đoản thọ,Đoản mệnh,"Nóng nảy, dễ bực mình",Hẹp hòi,C,"A. 短命, B. 短命, C. 短気 (Nóng nảy), D. 狭い",短気は損気。(Nóng giận mất khôn / Nóng nảy là thiệt thòi.)
Q79,雨が＿＿＿ (Mưa tạnh rồi): Chọn động từ thích hợp.,さがった,やんだ,かわいた,こんだ,B,"A. 下がった, B. 止んだ, C. 乾いた, D. 混んだ",雨がやんだ。(Mưa đã tạnh.)
Q80,“Bất động sản” trong chữ Hán ghép từ các chữ:,不動産,自動産,働動産,運動画,A,"A. 不動産 (ふどうさん - Bất động sản), B. Không có, C. Không có, D. Không có",不動産屋に行きます。(Đi đến văn phòng bất động sản.)
Q81,傘を＿＿＿ (Giương ô): Chọn động từ chính xác.,ひく,かえす,さす,こむ,C,"A. 引く, B. 返す (Trả lại), C. 差す (さす - Giương ô), D. 混む (こむ - Đông đúc, chen lấn)",日傘をさす。(Che ô che nắng.)
Q82,Trái nghĩa với 成功 (せいこう) là:,怪我,中止,失敗,事故,C,"A. 怪我 (けが - Bị thương), B. 中止 (ちゅうし - Hủy bỏ), C. 失敗 (しっぱい - Thất bại), D. 事故 (じこ - Tai nạn)",テストで失敗しました。(Tôi đã thất bại trong bài kiểm tra.)
Q83,荷物が＿＿＿ (Hành lý đã được chuyển tới): Chọn động từ.,とどいた,なくなった,かなえた,はたらいた,A,"A. 届いた, B. 無くなった, C. 叶えた, D. 働いた",手紙が届いた。(Bức thư đã được gửi đến.)
Q84,Tính từ đi thẳng với danh từ không cần な: 同じ＿＿＿,cùng một người,khác một người,người mới,người cũ,A,"A. 同じ人, B. 別の人, C. 新しい人, D. 古い人",いつもと同じ人です。(Vẫn là người giống như mọi khi.)
Q85,Động từ 叶う (かなう) thường đi kèm với chủ ngữ nào?,夢 (ước mơ),車 (xe ô tô),雨 (mưa),薬 (thuốc),A,"A. 夢, B. 車, C. 雨, D. 薬",夢を見る。(Nhìn thấy giấc mơ.)
Q86,"Đường sá đông đúc, tắc nghẽn dùng từ:",道が混む,道が下がる,道が届く,道が叶う,A,"A. 道が混む, B. 道が下がる, C. Sai, D. Sai",朝は道が混む。(Buổi sáng đường đông đúc.)
Q87,洗濯物が＿＿＿ (Quần áo đã khô): Điền từ.,かわいた,こんだ,やんだ,あがった,A,"A. 乾いた, B. 混んだ, C. 止んだ, D. 上がった",タオルが乾いた。(Khăn tắm đã khô.)
Q88,Chữ Hán của “お知らせ” dùng chữ:,知,短,医,働,A,"A. 知, B. 短, C. 医, D. 働",知らせる (しらせる - Thông báo).
Q89,“Bị va phải ô tô” biểu đạt là:,車にぶつかる,車にかわく,車にたのしむ,車にやむ,A,"A. 車にぶつかる, B. Sai, C. Sai, D. Sai",自転車が車にぶつかる。(Xe đạp va vào ô tô.)
Q90,救急車 (きゅうきゅうしゃ) được gọi khi nào?,Khi có tai nạn/người bệnh nặng cấp cứu,Khi muốn đi dã ngoại,Khi mua gia vị,Khi quần áo bẩn,A,"A. Xe cấp cứu, B. ハイキング (Leo núi dã ngoại), C. 調味料 (ちょうみりょう - Gia vị), D. 洗濯物 (せんたくもの - Đồ bẩn cần giặt)",救急車が来ました。(Xe cấp cứu đã đến.)
Q91,"Phó từ mang nghĩa “chắc chắn, nhất định” thường đi với suy đoán:",きっと,もしかしたら,だいぶ,すぐに,A,"A. きっと (Nhất định, chắc chắn), B. もしかしたら (Có lẽ), C. だいぶ (Khá là, đáng kể), D. すぐに (Ngay lập tức)",明日はきっと晴れます。(Ngày mai chắc chắn sẽ nắng.)
Q92,"Phó từ mang nghĩa “có lẽ”, biểu đạt xác suất thấp hoặc dè dặt:",もしかしたら,きっと,すぐに,おなじ,A,"A. もしかしたら (Có lẽ), B. きっと (Nhất định, chắc chắn), C. すぐに (Ngay lập tức), D. 同じ (おなじ - Giống nhau)",もしかしたら彼かもしれません。(Có lẽ là anh ấy.)
Q93,Bị thương ở chân: 足を＿＿＿,けがする,じこする,るすにする,かぜにする,A,"A. 怪我する, B. Sai, C. 留守にする, D. Sai",転んでけがする。(Vấp ngã bị thương.)
Q94,Động từ “Được hoàn thành / làm xong” trong Bài 15 là:,できる,さす,こむ,ひく,A,"A. できる (Được làm, hoàn thành), B. 差す (さす - Giương ô), C. 混む (こむ - Đông đúc, chen lấn), D. 引く",料理ができた。(Món ăn đã làm xong.)
Q95,"“Tối om, tối mịt” trong tiếng Nhật là:",まっくら,きびしい,みじかい,へいじつ,A,"A. 真っ暗 (まっくら - Tối om), B. 厳しい (きびしい - Nghiêm khắc, khắt khe), C. 短い (みじかい - Ngắn), D. 平日 (へいじつ - Ngày thường)",外は真っ暗です。(Bên ngoài tối om.)
Q96,"Nước mắm, đường, muối... được gọi chung là:",ちょうみりょう,ガソリン,せんたくもの,ほんもの,A,"A. 調味料 (ちょうみりょう - Gia vị), B. ガソリン (Xăng dầu), C. 洗濯物 (せんたくもの - Đồ bẩn cần giặt), D. 本物 (ほんもの - Hàng thật)",調味料を入れる。(Cho gia vị vào.)
Q97,"Muốn mượn sách xong phải “trả lại” thư viện, dùng động từ:",かえす,かりる,とどく,あつまる,A,"A. 返す (かえす - Trả lại), B. 借りる (かりる - Mượn), C. 届く (とどく - Được gửi đến), D. 集まる (あつまる - Tập trung lại)",ペンを返す。(Trả lại bút.)
Q98,"Thầy giáo rất “nghiêm khắc, khắt khe”:",きびしい,みじかい,おなじ,まっくら,A,"A. 厳しい (きびしい - Nghiêm khắc, khắt khe), B. 短い (みじかい - Ngắn), C. 同じ (おなじ - Giống nhau), D. 真っ暗 (まっくら - Tối om)",規則が厳しいです。(Quy tắc rất khắt khe.)
