ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
29,Từ nào dưới đây có nghĩa là: 「Chính trị」?,広告,主人公,政治,転びます,C,"A: 広告 (こうこく - Quảng cáo) | B: 主人公 (しゅじんこう - Nhân vật chính) | C: 政治 (せいじ - Chính trị) | D: 転びます (ころびます - Ngã, té). => Đáp án đúng là C vì 'Chính trị' tiếng Nhật là 「政治」.",
30,Từ 「なおします」 được viết bằng chữ Kanji nào?,始めます,保育園,治します,動物園,C,"A: 始めます (はじめます - Bắt đầu (cái gì đó)) | B: 保育園 (ほいくえん - Nhà trẻ) | C: 治します (なおします - Chữa, trị bệnh) | D: 動物園 (どうぶつえん - Sở thú). => Đáp án đúng là C vì từ 'なおします' được viết là 「治します」.",
31,Cách đọc của chữ 「公園」 là gì?,ころびます,せいじ,こうえん,おしょうがつ,C,"A: ころびます (Ngã, té) | B: せいじ (Chính trị) | C: こうえん (Công viên) | D: おしょうがつ (Tết). => Đáp án đúng là C vì chữ 「公園」 đọc là 'こうえん'.",
32,Cách đọc của chữ 「広い」 là gì?,じてんしゃ,こうこく,おしょうがつ,ひろい,D,A: じてんしゃ (Xe đạp) | B: こうこく (Quảng cáo) | C: おしょうがつ (Tết) | D: ひろい (Rộng). => Đáp án đúng là D vì chữ 「広い」 đọc là 'ひろい'.,
33,Cách đọc của chữ 「自転車」 là gì?,じてんしゃ,うんてんしゅ,たいふう,とおい,A,"A: じてんしゃ (Xe đạp) | B: うんてんしゅ (Tài xế, người lái xe) | C: たいふう (Bão) | D: とおい (Xa). => Đáp án đúng là A vì chữ 「自転車」 đọc là 'じてんしゃ'.",
34,Từ nào dưới đây có nghĩa là: 「Công viên」?,公園,政治,治します,開始,A,"A: 公園 (こうえん - Công viên) | B: 政治 (せいじ - Chính trị) | C: 治します (なおします - Chữa, trị bệnh) | D: 開始 (かいし - Bắt đầu, khởi đầu). => Đáp án đúng là A vì 'Công viên' tiếng Nhật là 「公園」.",
35,Cách đọc của chữ 「遠い」 là gì?,はじめます,とおい,きょねん,せいじ,B,A: はじめます (Bắt đầu (cái gì đó)) | B: とおい (Xa) | C: きょねん (Năm ngoái) | D: せいじ (Chính trị). => Đáp án đúng là B vì chữ 「遠い」 đọc là 'とおい'.,
36,Cách đọc của chữ 「動物園」 là gì?,おしょうがつ,ただしい,どうぶつえん,こうこく,C,"A: おしょうがつ (Tết) | B: ただしい (Đúng, chính xác) | C: どうぶつえん (Sở thú) | D: こうこく (Quảng cáo). => Đáp án đúng là C vì chữ 「動物園」 đọc là 'どうぶつえん'.",
37,Cách đọc của chữ 「転びます」 là gì?,ころびます,おしょうがつ,うんてんします,たいふう,A,"A: ころびます (Ngã, té) | B: おしょうがつ (Tết) | C: うんてんします (Lái xe) | D: たいふう (Bão). => Đáp án đúng là A vì chữ 「転びます」 đọc là 'ころびます'.",
38,Cách đọc của chữ 「治します」 là gì?,はじまります,なおします,ひろい,こうえん,B,"A: はじまります ((cái gì đó) Bắt đầu) | B: なおします (Chữa, trị bệnh) | C: ひろい (Rộng) | D: こうえん (Công viên). => Đáp án đúng là B vì chữ 「治します」 đọc là 'なおします'.",
39,"Từ nào dưới đây có nghĩa là: 「Ngã, té」?",始まります,政治,転びます,去年,C,"A: 始まります (はじまります - (cái gì đó) Bắt đầu) | B: 政治 (せいじ - Chính trị) | C: 転びます (ころびます - Ngã, té) | D: 去年 (きょねん - Năm ngoái). => Đáp án đúng là C vì 'Ngã, té' tiếng Nhật là 「転びます」.",
40,Cách đọc của chữ 「保育園」 là gì?,はじまります,ほいくえん,おしょうがつ,うんてんします,B,A: はじまります ((cái gì đó) Bắt đầu) | B: ほいくえん (Nhà trẻ) | C: おしょうがつ (Tết) | D: うんてんします (Lái xe). => Đáp án đúng là B vì chữ 「保育園」 đọc là 'ほいくえん'.,
41,Cách đọc của chữ 「始まります」 là gì?,なおします,はじまります,だいどころ,こうえん,B,"A: なおします (Chữa, trị bệnh) | B: はじまります ((cái gì đó) Bắt đầu) | C: だいどころ (Nhà bếp, phòng bếp) | D: こうえん (Công viên). => Đáp án đúng là B vì chữ 「始まります」 đọc là 'はじまります'.",
42,Từ 「なおります」 được viết bằng chữ Kanji nào?,転びます,治ります,動物園,運転します,B,"A: 転びます (ころびます - Ngã, té) | B: 治ります (なおります - Khỏi (bệnh), lành (vết thương)) | C: 動物園 (どうぶつえん - Sở thú) | D: 運転します (うんてんします - Lái xe). => Đáp án đúng là B vì từ 'なおります' được viết là 「治ります」.",
43,Cách đọc của chữ 「政治」 là gì?,せいじ,どうぶつえん,とおい,ころびます,A,"A: せいじ (Chính trị) | B: どうぶつえん (Sở thú) | C: とおい (Xa) | D: ころびます (Ngã, té). => Đáp án đúng là A vì chữ 「政治」 đọc là 'せいじ'.",
44,Từ 「ただしい」 được viết bằng chữ Kanji nào?,治します,始めます,正しい,動物園,C,"A: 治します (なおします - Chữa, trị bệnh) | B: 始めます (はじめます - Bắt đầu (cái gì đó)) | C: 正しい (ただしい - Đúng, chính xác) | D: 動物園 (どうぶつえん - Sở thú). => Đáp án đúng là C vì từ 'ただしい' được viết là 「正しい」.",
45,Cách đọc của chữ 「始めます」 là gì?,うんてんしゅ,はじめます,せいじ,おしょうがつ,B,"A: うんてんしゅ (Tài xế, người lái xe) | B: はじめます (Bắt đầu (cái gì đó)) | C: せいじ (Chính trị) | D: おしょうがつ (Tết). => Đáp án đúng là B vì chữ 「始めます」 đọc là 'はじめます'.",
46,Từ 「じてんしゃ」 được viết bằng chữ Kanji nào?,転びます,広い,運転手,自転車,D,"A: 転びます (ころびます - Ngã, té) | B: 広い (ひろい - Rộng) | C: 運転手 (うんてんしゅ - Tài xế, người lái xe) | D: 自転車 (じてんしゃ - Xe đạp). => Đáp án đúng là D vì từ 'じてんしゃ' được viết là 「自転車」.",
47,Từ nào dưới đây có nghĩa là: 「Nhân vật chính」?,主人公,開始,転びます,始まります,A,"A: 主人公 (しゅじんこう - Nhân vật chính) | B: 開始 (かいし - Bắt đầu, khởi đầu) | C: 転びます (ころびます - Ngã, té) | D: 始まります (はじまります - (cái gì đó) Bắt đầu). => Đáp án đúng là A vì 'Nhân vật chính' tiếng Nhật là 「主人公」.",
48,Cách đọc của chữ 「台所」 là gì?,こうこく,こうえん,とおい,だいどころ,D,"A: こうこく (Quảng cáo) | B: こうえん (Công viên) | C: とおい (Xa) | D: だいどころ (Nhà bếp, phòng bếp). => Đáp án đúng là D vì chữ 「台所」 đọc là 'だいどころ'.",
49,Cách đọc của chữ 「運転します」 là gì?,とおい,だいどころ,うんてんします,じてんしゃ,C,"A: とおい (Xa) | B: だいどころ (Nhà bếp, phòng bếp) | C: うんてんします (Lái xe) | D: じてんしゃ (Xe đạp). => Đáp án đúng là C vì chữ 「運転します」 đọc là 'うんてんします'.",
50,Từ 「かいし」 được viết bằng chữ Kanji nào?,遊園地,始まります,始めます,開始,D,"A: 遊園地 (ゆうえんち - Khu vui chơi) | B: 始まります (はじまります - (cái gì đó) Bắt đầu) | C: 始めます (はじめます - Bắt đầu (cái gì đó)) | D: 開始 (かいし - Bắt đầu, khởi đầu). => Đáp án đúng là D vì từ 'かいし' được viết là 「開始」.",
51,Từ 「おしょうがつ」 được viết bằng chữ Kanji nào?,始めます,遊園地,お正月,始まります,C,A: 始めます (はじめます - Bắt đầu (cái gì đó)) | B: 遊園地 (ゆうえんち - Khu vui chơi) | C: お正月 (おしょうがつ - Tết) | D: 始まります (はじまります - (cái gì đó) Bắt đầu). => Đáp án đúng là C vì từ 'おしょうがつ' được viết là 「お正月」.,
52,Từ nào dưới đây có nghĩa là: 「Rộng」?,運転します,運転手,保育園,広い,D,"A: 運転します (うんてんします - Lái xe) | B: 運転手 (うんてんしゅ - Tài xế, người lái xe) | C: 保育園 (ほいくえん - Nhà trẻ) | D: 広い (ひろい - Rộng). => Đáp án đúng là D vì 'Rộng' tiếng Nhật là 「広い」.",
53,Cách đọc của chữ 「お正月」 là gì?,たいふう,おしょうがつ,うんてんします,ころびます,B,"A: たいふう (Bão) | B: おしょうがつ (Tết) | C: うんてんします (Lái xe) | D: ころびます (Ngã, té). => Đáp án đúng là B vì chữ 「お正月」 đọc là 'おしょうがつ'.",
54,Từ nào dưới đây có nghĩa là: 「Lái xe」?,台風,始めます,運転します,自転車,C,A: 台風 (たいふう - Bão) | B: 始めます (はじめます - Bắt đầu (cái gì đó)) | C: 運転します (うんてんします - Lái xe) | D: 自転車 (じてんしゃ - Xe đạp). => Đáp án đúng là C vì 'Lái xe' tiếng Nhật là 「運転します」.,
55,Từ 「ゆうえんち」 được viết bằng chữ Kanji nào?,始めます,遊園地,公園,自転車,B,A: 始めます (はじめます - Bắt đầu (cái gì đó)) | B: 遊園地 (ゆうえんち - Khu vui chơi) | C: 公園 (こうえん - Công viên) | D: 自転車 (じてんしゃ - Xe đạp). => Đáp án đúng là B vì từ 'ゆうえんち' được viết là 「遊園地」.,
56,Từ nào dưới đây có nghĩa là: 「Xa」?,去年,遠い,自転車,公園,B,A: 去年 (きょねん - Năm ngoái) | B: 遠い (とおい - Xa) | C: 自転車 (じてんしゃ - Xe đạp) | D: 公園 (こうえん - Công viên). => Đáp án đúng là B vì 'Xa' tiếng Nhật là 「遠い」.,
57,Từ nào dưới đây có nghĩa là: 「Năm ngoái」?,去年,遊園地,広い,開始,A,"A: 去年 (きょねん - Năm ngoái) | B: 遊園地 (ゆうえんち - Khu vui chơi) | C: 広い (ひろい - Rộng) | D: 開始 (かいし - Bắt đầu, khởi đầu). => Đáp án đúng là A vì 'Năm ngoái' tiếng Nhật là 「去年」.",
58,Từ 「うんてんします」 được viết bằng chữ Kanji nào?,運転します,台風,去年,公園,A,A: 運転します (うんてんします - Lái xe) | B: 台風 (たいふう - Bão) | C: 去年 (きょねん - Năm ngoái) | D: 公園 (こうえん - Công viên). => Đáp án đúng là A vì từ 'うんてんします' được viết là 「運転します」.,
59,Từ nào dưới đây có nghĩa là: 「Bắt đầu (cái gì đó)」?,治ります,始めます,政治,転びます,B,"A: 治ります (なおります - Khỏi (bệnh), lành (vết thương)) | B: 始めます (はじめます - Bắt đầu (cái gì đó)) | C: 政治 (せいじ - Chính trị) | D: 転びます (ころびます - Ngã, té). => Đáp án đúng là B vì 'Bắt đầu (cái gì đó)' tiếng Nhật là 「始めます」.",
60,Từ 「だいどころ」 được viết bằng chữ Kanji nào?,台所,主人公,始めます,保育園,A,"A: 台所 (だいどころ - Nhà bếp, phòng bếp) | B: 主人公 (しゅじんこう - Nhân vật chính) | C: 始めます (はじめます - Bắt đầu (cái gì đó)) | D: 保育園 (ほいくえん - Nhà trẻ). => Đáp án đúng là A vì từ 'だいどころ' được viết là 「台所」.",
61,Cách đọc của chữ 「運転手」 là gì?,うんてんします,おしょうがつ,うんてんしゅ,こうえん,C,"A: うんてんします (Lái xe) | B: おしょうがつ (Tết) | C: うんてんしゅ (Tài xế, người lái xe) | D: こうえん (Công viên). => Đáp án đúng là C vì chữ 「運転手」 đọc là 'うんてんしゅ'.",
62,"Từ nào dưới đây có nghĩa là: 「Nhà bếp, phòng bếp」?",自転車,正しい,台所,運転手,C,"A: 自転車 (じてんしゃ - Xe đạp) | B: 正しい (ただしい - Đúng, chính xác) | C: 台所 (だいどころ - Nhà bếp, phòng bếp) | D: 運転手 (うんてんしゅ - Tài xế, người lái xe). => Đáp án đúng là C vì 'Nhà bếp, phòng bếp' tiếng Nhật là 「台所」.",
63,Từ 「はじまります」 được viết bằng chữ Kanji nào?,運転手,開始,始まります,遊園地,C,"A: 運転手 (うんてんしゅ - Tài xế, người lái xe) | B: 開始 (かいし - Bắt đầu, khởi đầu) | C: 始まります (はじまります - (cái gì đó) Bắt đầu) | D: 遊園地 (ゆうえんち - Khu vui chơi). => Đáp án đúng là C vì từ 'はじまります' được viết là 「始まります」.",
64,Cách đọc của chữ 「遊園地」 là gì?,はじまります,ひろい,うんてんします,ゆうえんち,D,A: はじまります ((cái gì đó) Bắt đầu) | B: ひろい (Rộng) | C: うんてんします (Lái xe) | D: ゆうえんち (Khu vui chơi). => Đáp án đúng là D vì chữ 「遊園地」 đọc là 'ゆうえんち'.,
65,Từ 「うんてんしゅ」 được viết bằng chữ Kanji nào?,運転します,運転手,正しい,治ります,B,"A: 運転します (うんてんします - Lái xe) | B: 運転手 (うんてんしゅ - Tài xế, người lái xe) | C: 正しい (ただしい - Đúng, chính xác) | D: 治ります (なおります - Khỏi (bệnh), lành (vết thương)). => Đáp án đúng là B vì từ 'うんてんしゅ' được viết là 「運転手」.",
66,"Từ nào dưới đây có nghĩa là: 「Đúng, chính xác」?",運転します,正しい,お正月,転びます,B,"A: 運転します (うんてんします - Lái xe) | B: 正しい (ただしい - Đúng, chính xác) | C: お正月 (おしょうがつ - Tết) | D: 転びます (ころびます - Ngã, té). => Đáp án đúng là B vì 'Đúng, chính xác' tiếng Nhật là 「正しい」.",
67,Cách đọc của chữ 「台風」 là gì?,うんてんします,たいふう,こうこく,おしょうがつ,B,A: うんてんします (Lái xe) | B: たいふう (Bão) | C: こうこく (Quảng cáo) | D: おしょうがつ (Tết). => Đáp án đúng là B vì chữ 「台風」 đọc là 'たいふう'.,
68,Từ 「きょねん」 được viết bằng chữ Kanji nào?,主人公,台所,開始,去年,D,"A: 主人公 (しゅじんこう - Nhân vật chính) | B: 台所 (だいどころ - Nhà bếp, phòng bếp) | C: 開始 (かいし - Bắt đầu, khởi đầu) | D: 去年 (きょねん - Năm ngoái). => Đáp án đúng là D vì từ 'きょねん' được viết là 「去年」.",
69,Từ nào dưới đây có nghĩa là: 「Nhà trẻ」?,主人公,始めます,保育園,政治,C,A: 主人公 (しゅじんこう - Nhân vật chính) | B: 始めます (はじめます - Bắt đầu (cái gì đó)) | C: 保育園 (ほいくえん - Nhà trẻ) | D: 政治 (せいじ - Chính trị). => Đáp án đúng là C vì 'Nhà trẻ' tiếng Nhật là 「保育園」.,
