ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
11,Cách đọc của chữ 「週末」 là gì?,かかりのひと,ゆうびんきょく,しゅうまつ,こんしゅう,C,A: かかりのひと (Người phụ trách) | B: ゆうびんきょく (Bưu điện) | C: しゅうまつ (Cuối tuần) | D: こんしゅう (Tuần này). => Đáp án đúng là C vì chữ 「週末」 đọc là 'しゅうまつ'.,
12,Từ nào dưới đây có nghĩa là: 「Tôi」?,係の人,顔,宅配便,私,D,"A: 係の人 (かかりのひと - Người phụ trách) | B: 顔 (かお - Gương mặt, khuôn mặt) | C: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | D: 私 (わたし - Tôi). => Đáp án đúng là D vì 'Tôi' tiếng Nhật là 「私」.",
13,Từ 「こうつう」 được viết bằng chữ Kanji nào?,交通,化粧,宅配便,係の人,A,A: 交通 (こうつう - Giao thông) | B: 化粧 (けしょう - Trang điểm) | C: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | D: 係の人 (かかりのひと - Người phụ trách). => Đáp án đúng là A vì từ 'こうつう' được viết là 「交通」.,
14,Từ 「もんだい」 được viết bằng chữ Kanji nào?,顔,問題,宿題,不便,B,"A: 顔 (かお - Gương mặt, khuôn mặt) | B: 問題 (もんだい - Vấn đề) | C: 宿題 (しゅくだい - Bài tập về nhà) | D: 不便 (ふべん - Bất tiện). => Đáp án đúng là B vì từ 'もんだい' được viết là 「問題」.",
15,Cách đọc của chữ 「郵便局」 là gì?,ゆうびんきょく,かお,もんだい,べんり,A,"A: ゆうびんきょく (Bưu điện) | B: かお (Gương mặt, khuôn mặt) | C: もんだい (Vấn đề) | D: べんり (Tiện lợi). => Đáp án đúng là A vì chữ 「郵便局」 đọc là 'ゆうびんきょく'.",
16,Từ nào dưới đây có nghĩa là: 「Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)」?,先週,科学,教科書,通います,D,A: 先週 (せんしゅう - Tuần trước) | B: 科学 (かがく - Khoa học) | C: 教科書 (きょうかしょ - Sách giáo khoa) | D: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)). => Đáp án đúng là D vì 'Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)' tiếng Nhật là 「通います」.,
17,Từ 「ゆうびんきょく」 được viết bằng chữ Kanji nào?,問題,郵便局,週末,通います,B,A: 問題 (もんだい - Vấn đề) | B: 郵便局 (ゆうびんきょく - Bưu điện) | C: 週末 (しゅうまつ - Cuối tuần) | D: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)). => Đáp án đúng là B vì từ 'ゆうびんきょく' được viết là 「郵便局」.,
18,Cách đọc của chữ 「係の人」 là gì?,もんだい,べんり,かかりのひと,しゅうまつ,C,A: もんだい (Vấn đề) | B: べんり (Tiện lợi) | C: かかりのひと (Người phụ trách) | D: しゅうまつ (Cuối tuần). => Đáp án đúng là C vì chữ 「係の人」 đọc là 'かかりのひと'.,
19,Từ 「はやい」 được viết bằng chữ Kanji nào?,速い,食べ放題,宿題,来週,A,"A: 速い (はやい - Nhanh) | B: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | C: 宿題 (しゅくだい - Bài tập về nhà) | D: 来週 (らいしゅう - Tuần sau). => Đáp án đúng là A vì từ 'はやい' được viết là 「速い」.",
20,Cách đọc của chữ 「先週」 là gì?,たべほうだい,かかりのひと,せんしゅう,りよう,C,"A: たべほうだい (Ăn thỏa thích, buffet) | B: かかりのひと (Người phụ trách) | C: せんしゅう (Tuần trước) | D: りよう (Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là C vì chữ 「先週」 đọc là 'せんしゅう'.",
21,Cách đọc của chữ 「文化」 là gì?,ぶんか,らいしゅう,しゅくだい,しゅうまつ,A,A: ぶんか (Văn hóa) | B: らいしゅう (Tuần sau) | C: しゅくだい (Bài tập về nhà) | D: しゅうまつ (Cuối tuần). => Đáp án đúng là A vì chữ 「文化」 đọc là 'ぶんか'.,
22,Cách đọc của chữ 「通います」 là gì?,たべほうだい,はやい,かよいます,もんだい,C,"A: たべほうだい (Ăn thỏa thích, buffet) | B: はやい (Nhanh) | C: かよいます (Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | D: もんだい (Vấn đề). => Đáp án đúng là C vì chữ 「通います」 đọc là 'かよいます'.",
23,Từ nào dưới đây có nghĩa là: 「Văn hóa」?,交通,文化,来週,化粧品,B,A: 交通 (こうつう - Giao thông) | B: 文化 (ぶんか - Văn hóa) | C: 来週 (らいしゅう - Tuần sau) | D: 化粧品 (けしょうひん - Mỹ phẩm). => Đáp án đúng là B vì 'Văn hóa' tiếng Nhật là 「文化」.,
24,Từ 「けしょう」 được viết bằng chữ Kanji nào?,宿題,教科書,便利,化粧,D,A: 宿題 (しゅくだい - Bài tập về nhà) | B: 教科書 (きょうかしょ - Sách giáo khoa) | C: 便利 (べんり - Tiện lợi) | D: 化粧 (けしょう - Trang điểm). => Đáp án đúng là D vì từ 'けしょう' được viết là 「化粧」.,
25,Từ nào dưới đây có nghĩa là: 「Cuối tuần」?,週末,通います,食べ放題,先週,A,"A: 週末 (しゅうまつ - Cuối tuần) | B: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | C: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | D: 先週 (せんしゅう - Tuần trước). => Đáp án đúng là A vì 'Cuối tuần' tiếng Nhật là 「週末」.",
26,Cách đọc của chữ 「顔」 là gì?,わたし,ふべん,けしょう,かお,D,"A: わたし (Tôi) | B: ふべん (Bất tiện) | C: けしょう (Trang điểm) | D: かお (Gương mặt, khuôn mặt). => Đáp án đúng là D vì chữ 「顔」 đọc là 'かお'.",
27,Cách đọc của chữ 「利用」 là gì?,ふべん,らいしゅう,けしょう,りよう,D,"A: ふべん (Bất tiện) | B: らいしゅう (Tuần sau) | C: けしょう (Trang điểm) | D: りよう (Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là D vì chữ 「利用」 đọc là 'りよう'.",
28,Cách đọc của chữ 「化粧品」 là gì?,しゅくだい,わたし,けしょうひん,もんだい,C,A: しゅくだい (Bài tập về nhà) | B: わたし (Tôi) | C: けしょうひん (Mỹ phẩm) | D: もんだい (Vấn đề). => Đáp án đúng là C vì chữ 「化粧品」 đọc là 'けしょうひん'.,
29,Từ 「かよいます」 được viết bằng chữ Kanji nào?,問題,来週,再来週,通います,D,A: 問題 (もんだい - Vấn đề) | B: 来週 (らいしゅう - Tuần sau) | C: 再来週 (さいらいしゅう - Tuần sau nữa) | D: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)). => Đáp án đúng là D vì từ 'かよいます' được viết là 「通います」.,
30,Cách đọc của chữ 「速い」 là gì?,こんしゅう,はやい,こうつう,せんしゅう,B,A: こんしゅう (Tuần này) | B: はやい (Nhanh) | C: こうつう (Giao thông) | D: せんしゅう (Tuần trước). => Đáp án đúng là B vì chữ 「速い」 đọc là 'はやい'.,
31,Từ 「ふべん」 được viết bằng chữ Kanji nào?,今週,不便,速い,先週,B,A: 今週 (こんしゅう - Tuần này) | B: 不便 (ふべん - Bất tiện) | C: 速い (はやい - Nhanh) | D: 先週 (せんしゅう - Tuần trước). => Đáp án đúng là B vì từ 'ふべん' được viết là 「不便」.,
32,Từ nào dưới đây có nghĩa là: 「Người phụ trách」?,問題,文化,係の人,交通,C,A: 問題 (もんだい - Vấn đề) | B: 文化 (ぶんか - Văn hóa) | C: 係の人 (かかりのひと - Người phụ trách) | D: 交通 (こうつう - Giao thông). => Đáp án đúng là C vì 'Người phụ trách' tiếng Nhật là 「係の人」.,
33,"Từ nào dưới đây có nghĩa là: 「Sử dụng, tận dụng; lợi dụng」?",利用,化粧,宿題,交通,A,"A: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | B: 化粧 (けしょう - Trang điểm) | C: 宿題 (しゅくだい - Bài tập về nhà) | D: 交通 (こうつう - Giao thông). => Đáp án đúng là A vì 'Sử dụng, tận dụng; lợi dụng' tiếng Nhật là 「利用」.",
34,Từ 「こんしゅう」 được viết bằng chữ Kanji nào?,交通,利用,問題,今週,D,"A: 交通 (こうつう - Giao thông) | B: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | C: 問題 (もんだい - Vấn đề) | D: 今週 (こんしゅう - Tuần này). => Đáp án đúng là D vì từ 'こんしゅう' được viết là 「今週」.",
35,Từ nào dưới đây có nghĩa là: 「Bưu điện」?,便利,化粧品,郵便局,利用,C,"A: 便利 (べんり - Tiện lợi) | B: 化粧品 (けしょうひん - Mỹ phẩm) | C: 郵便局 (ゆうびんきょく - Bưu điện) | D: 利用 (りよう - Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là C vì 'Bưu điện' tiếng Nhật là 「郵便局」.",
36,Cách đọc của chữ 「交通」 là gì?,ぶんか,べんり,こうつう,かお,C,"A: ぶんか (Văn hóa) | B: べんり (Tiện lợi) | C: こうつう (Giao thông) | D: かお (Gương mặt, khuôn mặt). => Đáp án đúng là C vì chữ 「交通」 đọc là 'こうつう'.",
37,Từ nào dưới đây có nghĩa là: 「Bất tiện」?,週末,来週,顔,不便,D,"A: 週末 (しゅうまつ - Cuối tuần) | B: 来週 (らいしゅう - Tuần sau) | C: 顔 (かお - Gương mặt, khuôn mặt) | D: 不便 (ふべん - Bất tiện). => Đáp án đúng là D vì 'Bất tiện' tiếng Nhật là 「不便」.",
38,Từ nào dưới đây có nghĩa là: 「Bài tập về nhà」?,顔,係の人,先週,宿題,D,"A: 顔 (かお - Gương mặt, khuôn mặt) | B: 係の人 (かかりのひと - Người phụ trách) | C: 先週 (せんしゅう - Tuần trước) | D: 宿題 (しゅくだい - Bài tập về nhà). => Đáp án đúng là D vì 'Bài tập về nhà' tiếng Nhật là 「宿題」.",
39,Từ nào dưới đây có nghĩa là: 「Tiện lợi」?,顔,便利,通います,再来週,B,"A: 顔 (かお - Gương mặt, khuôn mặt) | B: 便利 (べんり - Tiện lợi) | C: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | D: 再来週 (さいらいしゅう - Tuần sau nữa). => Đáp án đúng là B vì 'Tiện lợi' tiếng Nhật là 「便利」.",
40,Từ 「しゅうまつ」 được viết bằng chữ Kanji nào?,宿題,教科書,週末,文化,C,A: 宿題 (しゅくだい - Bài tập về nhà) | B: 教科書 (きょうかしょ - Sách giáo khoa) | C: 週末 (しゅうまつ - Cuối tuần) | D: 文化 (ぶんか - Văn hóa). => Đáp án đúng là C vì từ 'しゅうまつ' được viết là 「週末」.,
41,Từ 「たべほうだい」 được viết bằng chữ Kanji nào?,再来週,問題,食べ放題,教科書,C,"A: 再来週 (さいらいしゅう - Tuần sau nữa) | B: 問題 (もんだい - Vấn đề) | C: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | D: 教科書 (きょうかしょ - Sách giáo khoa). => Đáp án đúng là C vì từ 'たべほうだい' được viết là 「食べ放題」.",
42,Cách đọc của chữ 「宿題」 là gì?,わたし,かよいます,しゅくだい,かがく,C,A: わたし (Tôi) | B: かよいます (Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | C: しゅくだい (Bài tập về nhà) | D: かがく (Khoa học). => Đáp án đúng là C vì chữ 「宿題」 đọc là 'しゅくだい'.,
43,Cách đọc của chữ 「今週」 là gì?,ふべん,こんしゅう,ぶんか,さいらいしゅう,B,A: ふべん (Bất tiện) | B: こんしゅう (Tuần này) | C: ぶんか (Văn hóa) | D: さいらいしゅう (Tuần sau nữa). => Đáp án đúng là B vì chữ 「今週」 đọc là 'こんしゅう'.,
44,Từ nào dưới đây có nghĩa là: 「Mỹ phẩm」?,宅配便,利用,化粧品,顔,C,"A: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | B: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | C: 化粧品 (けしょうひん - Mỹ phẩm) | D: 顔 (かお - Gương mặt, khuôn mặt). => Đáp án đúng là C vì 'Mỹ phẩm' tiếng Nhật là 「化粧品」.",
45,Cách đọc của chữ 「再来週」 là gì?,かがく,べんり,さいらいしゅう,わたし,C,A: かがく (Khoa học) | B: べんり (Tiện lợi) | C: さいらいしゅう (Tuần sau nữa) | D: わたし (Tôi). => Đáp án đúng là C vì chữ 「再来週」 đọc là 'さいらいしゅう'.,
46,Từ 「りよう」 được viết bằng chữ Kanji nào?,宿題,利用,再来週,宅配便,B,"A: 宿題 (しゅくだい - Bài tập về nhà) | B: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | C: 再来週 (さいらいしゅう - Tuần sau nữa) | D: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà). => Đáp án đúng là B vì từ 'りよう' được viết là 「利用」.",
47,Cách đọc của chữ 「不便」 là gì?,ふべん,かかりのひと,たべほうだい,らいしゅう,A,"A: ふべん (Bất tiện) | B: かかりのひと (Người phụ trách) | C: たべほうだい (Ăn thỏa thích, buffet) | D: らいしゅう (Tuần sau). => Đáp án đúng là A vì chữ 「不便」 đọc là 'ふべん'.",
48,Cách đọc của chữ 「化粧」 là gì?,かかりのひと,けしょう,しゅうまつ,たくはいびん,B,A: かかりのひと (Người phụ trách) | B: けしょう (Trang điểm) | C: しゅうまつ (Cuối tuần) | D: たくはいびん (Dịch vụ chuyển phát nhanh tận nhà). => Đáp án đúng là B vì chữ 「化粧」 đọc là 'けしょう'.,
49,Từ nào dưới đây có nghĩa là: 「Nhanh」?,通います,速い,化粧品,問題,B,A: 通います (かよいます - Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | B: 速い (はやい - Nhanh) | C: 化粧品 (けしょうひん - Mỹ phẩm) | D: 問題 (もんだい - Vấn đề). => Đáp án đúng là B vì 'Nhanh' tiếng Nhật là 「速い」.,
50,Cách đọc của chữ 「私」 là gì?,わたし,べんり,らいしゅう,けしょう,A,A: わたし (Tôi) | B: べんり (Tiện lợi) | C: らいしゅう (Tuần sau) | D: けしょう (Trang điểm). => Đáp án đúng là A vì chữ 「私」 đọc là 'わたし'.,
51,Từ 「せんしゅう」 được viết bằng chữ Kanji nào?,文化,交通,科学,先週,D,A: 文化 (ぶんか - Văn hóa) | B: 交通 (こうつう - Giao thông) | C: 科学 (かがく - Khoa học) | D: 先週 (せんしゅう - Tuần trước). => Đáp án đúng là D vì từ 'せんしゅう' được viết là 「先週」.,
52,Từ nào dưới đây có nghĩa là: 「Sách giáo khoa」?,利用,来週,教科書,交通,C,"A: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | B: 来週 (らいしゅう - Tuần sau) | C: 教科書 (きょうかしょ - Sách giáo khoa) | D: 交通 (こうつう - Giao thông). => Đáp án đúng là C vì 'Sách giáo khoa' tiếng Nhật là 「教科書」.",
53,Từ 「けしょうひん」 được viết bằng chữ Kanji nào?,顔,化粧品,来週,利用,B,"A: 顔 (かお - Gương mặt, khuôn mặt) | B: 化粧品 (けしょうひん - Mỹ phẩm) | C: 来週 (らいしゅう - Tuần sau) | D: 利用 (りよう - Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là B vì từ 'けしょうひん' được viết là 「化粧品」.",
54,Từ 「かがく」 được viết bằng chữ Kanji nào?,便利,顔,利用,科学,D,"A: 便利 (べんり - Tiện lợi) | B: 顔 (かお - Gương mặt, khuôn mặt) | C: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | D: 科学 (かがく - Khoa học). => Đáp án đúng là D vì từ 'かがく' được viết là 「科学」.",
55,"Từ nào dưới đây có nghĩa là: 「Ăn thỏa thích, buffet」?",食べ放題,宿題,文化,郵便局,A,"A: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | B: 宿題 (しゅくだい - Bài tập về nhà) | C: 文化 (ぶんか - Văn hóa) | D: 郵便局 (ゆうびんきょく - Bưu điện). => Đáp án đúng là A vì 'Ăn thỏa thích, buffet' tiếng Nhật là 「食べ放題」.",
56,Cách đọc của chữ 「問題」 là gì?,もんだい,けしょう,せんしゅう,べんり,A,A: もんだい (Vấn đề) | B: けしょう (Trang điểm) | C: せんしゅう (Tuần trước) | D: べんり (Tiện lợi). => Đáp án đúng là A vì chữ 「問題」 đọc là 'もんだい'.,
57,Từ 「かお」 được viết bằng chữ Kanji nào?,科学,顔,化粧,不便,B,"A: 科学 (かがく - Khoa học) | B: 顔 (かお - Gương mặt, khuôn mặt) | C: 化粧 (けしょう - Trang điểm) | D: 不便 (ふべん - Bất tiện). => Đáp án đúng là B vì từ 'かお' được viết là 「顔」.",
58,Từ nào dưới đây có nghĩa là: 「Khoa học」?,科学,私,食べ放題,便利,A,"A: 科学 (かがく - Khoa học) | B: 私 (わたし - Tôi) | C: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | D: 便利 (べんり - Tiện lợi). => Đáp án đúng là A vì 'Khoa học' tiếng Nhật là 「科学」.",
59,Từ 「しゅくだい」 được viết bằng chữ Kanji nào?,郵便局,宿題,便利,食べ放題,B,"A: 郵便局 (ゆうびんきょく - Bưu điện) | B: 宿題 (しゅくだい - Bài tập về nhà) | C: 便利 (べんり - Tiện lợi) | D: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet). => Đáp án đúng là B vì từ 'しゅくだい' được viết là 「宿題」.",
60,Cách đọc của chữ 「食べ放題」 là gì?,たべほうだい,かよいます,こうつう,べんり,A,"A: たべほうだい (Ăn thỏa thích, buffet) | B: かよいます (Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)) | C: こうつう (Giao thông) | D: べんり (Tiện lợi). => Đáp án đúng là A vì chữ 「食べ放題」 đọc là 'たべほうだい'.",
61,Cách đọc của chữ 「便利」 là gì?,せんしゅう,べんり,ふべん,かよいます,B,A: せんしゅう (Tuần trước) | B: べんり (Tiện lợi) | C: ふべん (Bất tiện) | D: かよいます (Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)). => Đáp án đúng là B vì chữ 「便利」 đọc là 'べんり'.,
62,Từ 「ぶんか」 được viết bằng chữ Kanji nào?,今週,問題,郵便局,文化,D,A: 今週 (こんしゅう - Tuần này) | B: 問題 (もんだい - Vấn đề) | C: 郵便局 (ゆうびんきょく - Bưu điện) | D: 文化 (ぶんか - Văn hóa). => Đáp án đúng là D vì từ 'ぶんか' được viết là 「文化」.,
63,Từ nào dưới đây có nghĩa là: 「Dịch vụ chuyển phát nhanh tận nhà」?,科学,不便,宅配便,利用,C,"A: 科学 (かがく - Khoa học) | B: 不便 (ふべん - Bất tiện) | C: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | D: 利用 (りよう - Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là C vì 'Dịch vụ chuyển phát nhanh tận nhà' tiếng Nhật là 「宅配便」.",
64,Từ 「わたし」 được viết bằng chữ Kanji nào?,週末,教科書,私,科学,C,A: 週末 (しゅうまつ - Cuối tuần) | B: 教科書 (きょうかしょ - Sách giáo khoa) | C: 私 (わたし - Tôi) | D: 科学 (かがく - Khoa học). => Đáp án đúng là C vì từ 'わたし' được viết là 「私」.,
65,Từ 「らいしゅう」 được viết bằng chữ Kanji nào?,来週,教科書,食べ放題,利用,A,"A: 来週 (らいしゅう - Tuần sau) | B: 教科書 (きょうかしょ - Sách giáo khoa) | C: 食べ放題 (たべほうだい - Ăn thỏa thích, buffet) | D: 利用 (りよう - Sử dụng, tận dụng; lợi dụng). => Đáp án đúng là A vì từ 'らいしゅう' được viết là 「来週」.",
66,Từ 「べんり」 được viết bằng chữ Kanji nào?,便利,交通,宿題,顔,A,"A: 便利 (べんり - Tiện lợi) | B: 交通 (こうつう - Giao thông) | C: 宿題 (しゅくだい - Bài tập về nhà) | D: 顔 (かお - Gương mặt, khuôn mặt). => Đáp án đúng là A vì từ 'べんり' được viết là 「便利」.",
67,Từ 「さいらいしゅう」 được viết bằng chữ Kanji nào?,交通,利用,宿題,再来週,D,"A: 交通 (こうつう - Giao thông) | B: 利用 (りよう - Sử dụng, tận dụng; lợi dụng) | C: 宿題 (しゅくだい - Bài tập về nhà) | D: 再来週 (さいらいしゅう - Tuần sau nữa). => Đáp án đúng là D vì từ 'さいらいしゅう' được viết là 「再来週」.",
68,Cách đọc của chữ 「来週」 là gì?,らいしゅう,しゅうまつ,きょうかしょ,べんり,A,A: らいしゅう (Tuần sau) | B: しゅうまつ (Cuối tuần) | C: きょうかしょ (Sách giáo khoa) | D: べんり (Tiện lợi). => Đáp án đúng là A vì chữ 「来週」 đọc là 'らいしゅう'.,
69,Từ nào dưới đây có nghĩa là: 「Giao thông」?,問題,交通,顔,化粧,B,"A: 問題 (もんだい - Vấn đề) | B: 交通 (こうつう - Giao thông) | C: 顔 (かお - Gương mặt, khuôn mặt) | D: 化粧 (けしょう - Trang điểm). => Đáp án đúng là B vì 'Giao thông' tiếng Nhật là 「交通」.",
70,Từ 「たくはいびん」 được viết bằng chữ Kanji nào?,先週,文化,宅配便,交通,C,A: 先週 (せんしゅう - Tuần trước) | B: 文化 (ぶんか - Văn hóa) | C: 宅配便 (たくはいびん - Dịch vụ chuyển phát nhanh tận nhà) | D: 交通 (こうつう - Giao thông). => Đáp án đúng là C vì từ 'たくはいびん' được viết là 「宅配便」.,
71,Cách đọc của chữ 「宅配便」 là gì?,りよう,たくはいびん,かがく,しゅくだい,B,"A: りよう (Sử dụng, tận dụng; lợi dụng) | B: たくはいびん (Dịch vụ chuyển phát nhanh tận nhà) | C: かがく (Khoa học) | D: しゅくだい (Bài tập về nhà). => Đáp án đúng là B vì chữ 「宅配便」 đọc là 'たくはいびん'.",
72,Từ nào dưới đây có nghĩa là: 「Tuần sau」?,週末,先週,教科書,来週,D,A: 週末 (しゅうまつ - Cuối tuần) | B: 先週 (せんしゅう - Tuần trước) | C: 教科書 (きょうかしょ - Sách giáo khoa) | D: 来週 (らいしゅう - Tuần sau). => Đáp án đúng là D vì 'Tuần sau' tiếng Nhật là 「来週」.,
