Chương,Kanji (Hán Việt),Từ vựng,Cách đọc,Ý nghĩa
22,題 (ĐỀ),問題,もんだい,Vấn đề
22,題 (ĐỀ),宿題,しゅくだい,Bài tập về nhà
22,題 (ĐỀ),食べ放題,たべほうだい,"Ăn thỏa thích, buffet"
22,速 (TỐC),速い,はやい,Nhanh
22,週 (CHU),先週,せんしゅう,Tuần trước
22,週 (CHU),今週,こんしゅう,Tuần này
22,週 (CHU),週末,しゅうまつ,Cuối tuần
22,週 (CHU),来週,らいしゅう,Tuần sau
22,週 (CHU),再来週,さいらいしゅう,Tuần sau nữa
22,通 (THÔNG),通います,かよいます,Đi lại (chỉ việc thường hay đi đến một địa điểm nào đó)
22,通 (THÔNG),交通,こうつう,Giao thông
23,夫 (PHU),夫,おっと,"Chồng (mình)"
23,夫 (PHU),大丈夫,だいじょうぶ,"Ổn, không sao"
23,鉄 (THIẾT),地下鉄,ちかてつ,Tàu điện ngầm
23,姉 (TỈ),姉,あね,Chị gái
23,姉 (TỈ),お姉さん,おねえさん,"Chị gái (người khác)"
23,姉 (TỈ),姉妹,しまい,Chị em gái
23,妹 (MUỘI),妹,いもうと,Em gái
23,妹 (MUỘI),妹さん,いもうとさん,"Em gái (người khác)"
23,妹 (MUỘI),姉妹,しまい,Chị em gái
23,妻 (THÊ),妻,つま,"Vợ (mình)"
23,天 (THIÊN),天気,てんき,Thời tiết
23,天 (THIÊN),天気予報,てんきよほう,Dự báo thời tiết
23,送 (TỐNG),送ります,おくります,"Gửi, tiễn (người)"
23,弟 (ĐỆ),弟,おとうと,Em trai
23,弟 (ĐỆ),弟さん,おとうとさん,"Em trai (người khác)"
23,弟 (ĐỆ),兄弟,きょうだい,Anh chị em
23,引 (DẪN),引きます,ひきます,Kéo
23,引 (DẪN),引き出し,ひきだし,Ngăn kéo
23,引 (DẪN),引き出します,ひきだします,"Rút (tiền)"
23,引 (DẪN),引っ越します,ひっこします,Chuyển nhà
23,弱 (NHƯỢC),弱い,よわい,Yếu
23,者 (GIẢ),医者,いしゃ,Bác sĩ
23,者 (GIẢ),研究者,けんきゅうしゃ,Nhà nghiên cứu
23,者 (GIẢ),歯医者,はいしゃ,Nha sĩ
23,考 (KHẢO),考えます,かんがえます,Suy nghĩ
23,都 (ĐÔ),都合,つごう,Sự thuận tiện
23,都 (ĐÔ),都会,とかい,"Thành phố, đô thị"
23,暑 (THỬ),暑い,あつい,"Nóng (thời tiết)"
24,開 (KHAI),開きます,あきます,"(cái gì đó) Mở"
24,開 (KHAI),開けます,あけます,"Mở (cái gì đó)"
24,開 (KHAI),開始,かいし,"Bắt đầu, khởi đầu"
24,開 (KHAI),開催,かいさい,"Tổ chức, khai mạc"
24,閉 (BẾ),閉まります,しまります,"(cái gì đó) Đóng"
24,閉 (BẾ),閉めます,しめます,"Đóng (cái gì đó)"
24,閉 (BẾ),閉じます,とじます,"Đóng, nhắm (mắt)"
24,問 (VẤN),問題,もんだい,"Vấn đề, câu hỏi"
24,問 (VẤN),質問,しつもん,"Câu hỏi, thắc mắc"
24,問 (VẤN),疑問,ぎもん,Nghi vấn
24,質 (CHẤT),質問,しつもん,"Câu hỏi, thắc mắc"
24,貸 (THẢI),貸します,かします,"Cho vay, cho mượn"
24,員 (VIÊN),社員,しゃいん,Nhân viên công ty
24,員 (VIÊN),店員,てんいん,Nhân viên cửa hàng
24,員 (VIÊN),駅員,えきいん,Nhân viên nhà ga
24,員 (VIÊN),会社員,かいしゃいん,Nhân viên công ty
24,員 (VIÊN),全員,ぜんいん,Tất cả mọi người
24,店 (ĐIẾM),店,みせ,"Cửa hàng, tiệm"
24,店 (ĐIẾM),店員,てんいん,Nhân viên cửa hàng
24,店 (ĐIẾM),店長,てんちょう,"Trưởng/ quản lý cửa hàng"
24,店 (ĐIẾM),喫茶店,きっさてん,"Quán cà phê, quán giải khát"
24,度 (ĐỘ),~度,ど,Độ
24,度 (ĐỘ),今度,こんど,Lần tới
24,度 (ĐỘ),温度,おんど,Nhiệt độ
24,度 (ĐỘ),支度,したく,"Chuẩn bị, sửa soạn"
24,度 (ĐỘ),何度も,なんども,"Nhiều lần, bao lần"
24,黒 (HẮC),黒,くろ,Màu đen
24,黒 (HẮC),黒い,くろい,Đen
24,黒 (HẮC),真っ黒,まっくろ,"Đen thui, đen sì"
24,黒 (HẮC),黒板,こくばん,Bảng đen
24,然 (NHIÊN),全然,ぜんぜん,Hoàn toàn
24,然 (NHIÊN),自然,しぜん,Tự nhiên
24,点 (ĐIỂM),点,てん,Điểm
24,点 (ĐIỂM),点数,てんすう,Điểm số
24,点 (ĐIỂM),交差点,こうさてん,"Ngã tư, điểm giao nhau"
25,声 (THANH),声,こえ,Giọng nói
25,声 (THANH),音声,おんせい,Âm thanh
25,仕 (SĨ),仕事,しごと,Công việc
25,予 (DỰ),予約します,よやくします,"Đặt trước, hẹn trước"
25,予 (DỰ),天気予報,てんきよほう,Dự báo thời tiết
25,予 (DỰ),予習,よしゅう,Chuẩn bị bài trước
25,予 (DỰ),予定,よてい,Dự định
25,予 (DỰ),予想します,よそうします,Dự đoán
25,才 (TÀI),天才,てんさい,Thiên tài
25,才 (TÀI),才能,さいのう,Tài năng
25,事 (SỰ),仕事,しごと,Công việc
25,事 (SỰ),事務所,じむしょ,Văn phòng
25,事 (SỰ),工事します,こうじします,"Thi công, sửa chữa"
25,事 (SỰ),用事,ようじ,Việc bận
25,事 (SỰ),事故,じこ,"Sự cố, tai nạn"
25,事 (SỰ),火事,かじ,Hỏa hoạn
25,事 (SỰ),大事,だいじ,Quan trọng
25,報 (BÁO),天気予報,てんきよほう,Dự báo thời tiết
25,服 (PHỤC),服,ふく,Quần áo
25,服 (PHỤC),制服,せいふく,Đồng phục
25,服 (PHỤC),洋服,ようふく,"Quần áo, quần áo kiểu Tây"
25,指 (CHỈ),指,ゆび,"Ngón (tay)"
25,指 (CHỈ),指輪,ゆびわ,Nhẫn
25,押 (ÁP),押します,おします,"Nhấn, ấn"
25,洋 (DƯƠNG),洋服,ようふく,"Quần áo, quần áo kiểu Tây"
25,洋 (DƯƠNG),洋食,ようしょく,Đồ ăn kiểu Tây
25,遅 (TRÌ),遅い,おそい,"Muộn, chậm"
25,遅 (TRÌ),遅れます,おくれます,"Muộn, trễ"
25,遅 (TRÌ),遅刻,ちこく,"Trễ giờ, đến muộn"
25,遅 (TRÌ),遅延,ちえん,"Trễ, chậm (so với lịch trình dự kiến)"
25,様 (DẠNG),お客様,おきゃくさま,"Quý khách, khách hàng"
25,様 (DẠNG),奥様,おくさま,"Phu nhân, vợ (người khác)"
25,様 (DẠNG),様子,ようす,"Tình hình, trạng thái"
25,着 (TRƯỚC),着ます,きます,Mặc
25,着 (TRƯỚC),着物,きもの,Kimono
25,着 (TRƯỚC),上着,うわぎ,Áo khoác
25,着 (TRƯỚC),試着,しちゃく,Mặc thử
